Patente|Pedimento|SeccionAduanera|ConsecutivoRemesa|NumeroSeleccion|FechaInicioReconocimiento|HoraInicioReconocimiento|FechaFinReconocimiento|HoraFinReconocimiento|Fraccion|SecuenciaFraccion|ClaveDocumento|TipoOperacion|GradoIncidencia|FechaSeleccion
3043|6700014|520|11|1|2026-04-01|12:08|2026-04-01|13:33|00000000|0|RT|2|C|2026-04-01|
3577|6300629|521|0|1|2026-04-07|18:25|2026-04-07|19:10|00000000|0|IN|1|C|2026-04-07|
3577|6300685|521|0|1|2026-04-15|18:18|2026-04-15|19:49|00000000|0|A1|1|C|2026-04-15|
1925|6100271|160|0|1|2026-04-20|12:39|2026-04-20|17:30|00000000|0|IN|1|C|2026-04-20|
3496|6000408|850|0|1|2026-04-21|16:39|2026-04-21|19:09|00000000|0|A1|1|C|2026-04-21|
3471|6400997|160|0|1|2026-04-25|08:33|2026-04-25|18:28|00000000|0|A1|1|C|2026-04-25|
3471|6400777|160|0|1|2026-04-06|10:06|2026-04-06|13:07|00000000|0|IN|1|C|2026-04-06|
3471|6400941|160|0|1|2026-04-21|11:36|2026-04-21|15:04|00000000|0|A1|1|C|2026-04-21|
3577|6300762|520|4|1|2026-04-21|17:41|2026-04-21|18:28|00000000|0|IN|1|C|2026-04-21|
1925|6000478|160|0|1|2026-04-29|09:27|2026-04-29|13:27|00000000|0|IN|1|C|2026-04-29|
3577|6300644|521|0|1|2026-04-09|16:39|2026-04-09|17:13|00000000|0|IN|1|C|2026-04-09|
3496|6000321|850|0|1|2026-04-21|16:39|2026-04-21|19:09|00000000|0|IN|1|C|2026-04-21|
1614|6002045|160|0|1|2026-04-16|21:41|2026-04-16|23:32|00000000|0|A1|1|C|2026-04-16|
3577|6300762|520|6|1|2026-04-23|17:18|2026-04-23|18:09|00000000|0|IN|1|C|2026-04-23|
3471|6400940|160|0|1|2026-04-21|11:36|2026-04-21|15:03|00000000|0|IN|1|C|2026-04-21|
3471|6400996|160|0|1|2026-04-25|08:33|2026-04-25|17:51|00000000|0|IN|1|C|2026-04-25|
3043|6700013|520|11|1|2026-04-01|12:08|2026-04-01|13:32|00000000|0|RT|2|C|2026-04-01|
3471|6400947|160|0|1|2026-04-21|09:09|2026-04-21|12:29|00000000|0|A1|1|C|2026-04-21|
3577|6300630|521|0|1|2026-04-07|18:25|2026-04-07|19:11|00000000|0|IN|1|C|2026-04-07|
1925|6100312|160|0|1|2026-04-21|17:39|2026-04-21|22:43|00000000|0|A1|1|C|2026-04-21|
3153|6005879|240|0|1|2026-04-10|18:36|2026-04-10|21:33|00000000|0|IN|1|C|2026-04-10|
