Patente|Pedimento|SeccionAduanera|ClaveCaso|IdentificadorCaso|TipoPedimento|ComplementoCaso|FechaValidacionPagoR
3471|6401102|160|ED|0436260OA00X7|1||2026-04-29 18:54:01|
1925|6700204|160|ED|0428260HFW9I3|1||2026-04-24 10:16:02|
3471|6401057|160|IM|482023|1||2026-04-29 13:11:05|
1614|6002298|160|ED|MNVA26006IL64|1||2026-04-20 14:08:07|
1925|6000480|160|ED|0170261AQLLJ7|1||2026-04-24 17:08:02|
1614|6002339|160|ED|0438261EEFD53|1||2026-04-27 09:16:02|
1925|6700294|160|ED|0428260HHNN56|2||2026-04-29 10:50:04|
3471|6401088|160|ED|0438261EMFYU3|1||2026-04-29 10:20:05|
3471|6401101|160|ED|MNVA26007JUG6|1||2026-04-29 18:53:02|
3043|6700016|523|ST|22|1||2026-04-18 12:09:01|
1614|6002307|160|SO|AA|1||2026-04-20 16:05:04|
1614|6003566|160|ED|MNVA26006IP92|2||2026-04-22 20:06:02|
1925|6100312|160|CR|40|1||2026-04-17 14:11:03|
1614|6002174|160|CR|40|1||2026-04-20 16:19:02|
3471|6401041|160|PP|20239540|1||2026-04-25 13:14:02|
3471|6400845|160|ED|0436260O0XMX8|1||2026-04-01 18:26:02|
1925|6700254|160|ED|0428260HHTZE2|1||2026-04-29 17:20:04|
1925|6700204|160|ED|0428260HG1QX8|1||2026-04-24 10:16:02|
3043|6001078|523|IM|482023|1||2026-04-28 16:27:01|
1925|6100311|160|ED|01922618HKUB5|1||2026-04-17 14:09:05|
1925|6700202|160|ED|MNVA26006YQR7|1||2026-04-23 20:27:02|
1925|6700248|160|ED|0170261AVTSK8|1||2026-04-28 20:00:02|
1614|6002174|160|PP|20239540|1||2026-04-20 16:19:02|
3471|6401057|160|ED|0436260OA1WI8|1||2026-04-29 13:11:05|
1925|6700254|160|ED|0428260HHTZX1|1||2026-04-29 17:20:04|
1614|6003557|160|PP|20239540|2||2026-04-23 09:17:03|
1925|6700206|160|ED|01922618KHKV3|1||2026-04-23 20:27:03|
1925|6700260|160|PP|20239540|1||2026-04-29 13:55:04|
3471|6401096|160|ED|0436260OA1R44|1||2026-04-29 18:13:02|
1614|6002169|160|ED|0170261A3UKB8|1||2026-04-20 14:21:06|
3471|6400946|160|ED|0436260O5HN54|1||2026-04-17 14:11:01|
1925|6700202|160|ED|0428260HFWA32|1||2026-04-23 20:27:02|
1614|6002233|160|CR|39|1||2026-04-21 10:01:02|
1925|6700204|160|ED|0428260HFWA94|1||2026-04-24 10:16:02|
1925|6700204|160|ED|04412602T1SY6|1||2026-04-24 10:16:02|
3043|6700020|523|AT||1||2026-04-25 19:24:01|
3471|6400845|160|ED|0436260O0XOT8|1||2026-04-01 18:26:02|
3471|6400941|160|ED|0170261AAAZI2|1||2026-04-17 12:39:03|
3471|6401011|160|ED|0436260O8BAG3|1||2026-04-23 10:26:05|
3471|6401104|160|ED|0170261AR4DB4|1||2026-04-29 19:45:02|
1925|6700254|160|ED|01762600A5SR6|1||2026-04-29 17:20:04|
3471|6401056|160|CR|40|1||2026-04-29 13:10:02|
1925|6700262|160|ED|0428260HFWRN8|1||2026-04-29 14:06:02|
1647|6008844|240|ED|0433260DUGY35|1||2026-04-24 20:02:08|
1925|6700261|160|ED|0170261AW0EF7|1||2026-04-29 12:54:01|
1614|6002169|160|SO|AA|1||2026-04-20 14:21:06|
1614|6002304|160|ED|MNVA26006IG57|1||2026-04-20 14:08:06|
1925|6700202|160|ED|0170261AQG8B8|1||2026-04-23 20:27:02|
1614|6002233|160|ED|0436260O257V2|1||2026-04-21 10:01:02|
1925|6700204|160|ED|0428260HFWAY6|1||2026-04-24 10:16:02|
3471|6400967|160|ED|0436260O637L8|1||2026-04-17 19:49:03|
1925|6000476|160|ED|01922618N8TK6|1||2026-04-24 17:09:04|
1614|6001825|160|PP|20239540|1||2026-04-07 12:21:03|
1925|6700256|160|ED|0428260HFW9B1|1||2026-04-29 13:55:03|
3471|6401084|160|ED|0436260O9XXQ6|1||2026-04-29 11:55:04|
3471|6401104|160|ED|0438261EM9Q78|1||2026-04-29 19:45:02|
1614|6003575|160|PP|20239540|2||2026-04-23 09:10:05|
1925|6700256|160|ED|0428260HHNRB1|1||2026-04-29 13:55:03|
3471|6401090|160|IM|482023|1||2026-04-29 10:20:05|
3471|6401059|160|ED|0170261AQHPR8|1||2026-04-29 12:33:03|
1614|6002344|160|ED|0170261AHM014|1||2026-04-25 13:02:02|
1925|6700246|160|ED|0428260HHNMV1|1||2026-04-28 20:00:02|
1925|6700242|160|ED|0428260HHNNA5|1||2026-04-28 18:17:04|
3577|6300627|521|ED|04412602SJ661|1||2026-04-15 13:33:02|
1925|6000477|160|CR|40|1||2026-04-24 17:09:02|
3471|6401106|160|ED|0438261EMDN77|1||2026-04-29 19:45:01|
3471|6401106|160|ED|MNVA26007L0C1|1||2026-04-29 19:45:01|
1614|6002343|160|SO|AA|1||2026-04-27 09:17:01|
3471|6400756|160|ED|0170261A6KWQ5|1||2026-04-01 23:55:02|
3471|6400946|160|ED|0170261A9JKT2|1||2026-04-17 14:11:01|
3471|6401090|160|ED|MNVA26007IKS6|1||2026-04-29 10:20:05|
1614|6002345|160|ED|0170261AHLZU3|1||2026-04-27 09:17:01|
1925|6700204|160|ED|0428260HFWR87|1||2026-04-24 10:16:02|
1925|6700204|160|ED|0170261AOFZX6|1||2026-04-24 10:16:02|
1925|6700203|160|ED|0438261EFQH67|1||2026-04-23 16:43:01|
1925|6700259|160|ED|01922618PZII3|1||2026-04-29 12:49:03|
1614|6002341|160|ED|MNVA260074G91|1||2026-04-27 09:16:01|
3471|6401084|160|CR|40|1||2026-04-29 11:55:04|
1647|6008844|240|ED|0428260HETHS6|1||2026-04-24 20:02:08|
1614|6001961|160|ED|01702619SW4V8|1||2026-04-06 10:12:02|
3471|6401104|160|ED|MNVA26007KH05|1||2026-04-29 19:45:02|
1925|6000476|160|ED|MNVA260071QJ1|1||2026-04-24 17:09:04|
3577|6300618|521|ED|0438261E3X3X2|1||2026-04-29 14:02:02|
3471|6400950|160|ED|0436260O3I3I8|1||2026-04-17 17:06:02|
1925|6700202|160|ED|0428260HFWAO5|1||2026-04-23 20:27:02|
1905|6009723|160|ED|04412602SXKM2|1||2026-04-20 18:03:03|
3471|6401086|160|PP|20239540|1||2026-04-29 11:42:03|
1614|6003582|160|CR|40|2||2026-04-22 20:47:02|
1925|6700254|160|ED|0428260HHTZY7|1||2026-04-29 17:20:04|
3496|6000413|850|ED|0438261EE2QD4|1||2026-04-17 14:46:11|
3471|6401053|160|ED|MNVA26007I4B2|1||2026-04-29 12:32:05|
1925|6700254|160|ED|0438261EMUZL8|1||2026-04-29 17:20:04|
1614|6002336|160|ED|MNVA260074MI7|1||2026-04-25 13:02:01|
3471|6401061|160|PP|20239540|1||2026-04-29 17:30:05|
1925|6700212|160|ED|01922618LBTF1|1||2026-04-23 14:32:02|
1614|6002007|160|ED|0170261A95XO8|1||2026-04-08 08:43:02|
1925|6700202|160|ED|0428260HFW8C3|1||2026-04-23 20:27:02|
3471|6401066|160|ED|MNVA26006X6B2|1||2026-04-22 19:31:01|
1647|6009460|240|ED|0428260HH0118|1||2026-04-23 12:24:04|
1925|6700204|160|ED|0428260HG1QY2|1||2026-04-24 10:16:02|
1925|6700215|160|ED|0428260HGGL42|1||2026-04-23 14:49:02|
1925|6700248|160|ED|0428260HHNRD2|1||2026-04-28 20:00:02|
3471|6401061|160|IM|482023|1||2026-04-29 17:30:05|
1925|6700261|160|CR|241|1||2026-04-29 12:54:01|
1925|6700260|160|ED|0428260HFW9I3|1||2026-04-29 13:55:04|
1925|6000479|160|ED|0170261AQLBY8|1||2026-04-24 17:09:02|
1925|6700262|160|ED|0428260HFWAF6|1||2026-04-29 14:06:02|
1925|6700294|160|ED|0428260HHNMW7|2||2026-04-29 10:50:04|
1925|6700256|160|ED|04412602T2Y15|1||2026-04-29 13:55:03|
1925|6700246|160|ED|0428260HHNM54|1||2026-04-28 20:00:02|
1614|6002329|160|PP|20239540|1||2026-04-23 18:49:03|
1614|6002168|160|FR|1|1||2026-04-20 16:19:01|
1647|6008844|240|ED|0428260HF6V06|1||2026-04-24 20:02:08|
3577|6300618|521|ED|MNVA26007M003|1||2026-04-29 14:02:02|
