Patente|Pedimento|SeccionAduanera|Fraccion|SecuenciaFraccion|ClaveCaso|IdentificadorCaso|ComplementoCaso|FechaPagoReal
3471|6401084|160|98020019|171|EC|1||2026-04-29 11:55:04|
3471|6401084|160|98020019|77|EC|1||2026-04-29 11:55:04|
3471|6401098|160|87089999|51|EN|X|NOM-050-SCFI-2004|2026-04-29 18:53:01|
3471|6401082|160|98020019|46|EC|1||2026-04-29 18:13:05|
3471|6401102|160|39263002|76|PS|XIX||2026-04-29 18:54:01|
3471|6401102|160|98020019|235|EC|1||2026-04-29 18:54:01|
1925|6700262|160|87082101|145|EN|X|NOM-119-SCFI-2000|2026-04-29 14:06:02|
3471|6401058|160|73269099|10|XP|T1|U|2026-04-29 12:33:02|
3471|6401055|160|87089412|48|EN|X|NOM-050-SCFI-2004|2026-04-29 13:11:05|
1925|6700260|160|84253101|37|PS|XIX||2026-04-29 13:55:04|
3471|6401102|160|87082999|74|PS|XIX||2026-04-29 18:54:01|
1647|6008977|240|73269099|1|XP|T8|U|2026-04-30 18:35:05|
3471|6401080|160|87089412|18|EN|X|NOM-050-SCFI-2004|2026-04-29 11:55:03|
1925|6700260|160|39263002|74|PS|XIX||2026-04-29 13:55:04|
3471|6400752|160|84253101|8|PS|XIX||2026-04-01 16:33:04|
3471|6400750|160|87082999|57|PS|XIX||2026-04-01 18:25:04|
3471|6401055|160|87089999|63|EN|X|NOM-050-SCFI-2004|2026-04-29 13:11:05|
1925|6700254|160|87082999|22|PS|XIX||2026-04-29 17:20:04|
3471|6401080|160|85365099|109|EN|X|NOM-024-SCFI-2013|2026-04-29 11:55:03|
1925|6700254|160|98020019|151|EC|1||2026-04-29 17:20:04|
3471|6401098|160|85122099|97|PS|XIX||2026-04-29 18:53:01|
3471|6401082|160|73181504|47|EN|X|NOM-050-SCFI-2004|2026-04-29 18:13:05|
1925|6700261|160|73269099|1|XP|T9|U|2026-04-29 12:54:01|
3471|6401082|160|87082999|19|PS|XIX||2026-04-29 18:13:05|
3471|6401082|160|87082999|39|PS|XIX||2026-04-29 18:13:05|
1925|6700294|160|87088099|65|EN|X|NOM-050-SCFI-2004|2026-04-29 10:50:04|
3471|6401084|160|84152001|36|EN|X|NOM-050-SCFI-2004|2026-04-29 11:55:04|
1925|6700258|160|87082999|33|PS|XIX||2026-04-29 13:55:03|
3471|6401103|160|73269099|2|XP|T3|U|2026-04-30 09:31:01|
3471|6401055|160|98020019|76|EC|1||2026-04-29 13:11:05|
3471|6400847|160|85269299|14|XP|D1|U|2026-04-01 18:26:03|
3471|6400802|160|87089999|124|EN|X|NOM-050-SCFI-2004|2026-04-02 12:32:02|
3471|6401055|160|98020019|120|EC|1||2026-04-29 13:11:05|
3471|6401080|160|98020019|207|EC|1||2026-04-29 11:55:03|
3471|6401051|160|84213199|2|PS|XIX||2026-04-29 12:32:03|
3471|6401084|160|87089999|28|EN|X|NOM-050-SCFI-2004|2026-04-29 11:55:04|
3471|6401084|160|98020019|168|EC|1||2026-04-29 11:55:04|
3471|6401102|160|87082999|179|PS|XIX||2026-04-29 18:54:01|
3471|6401057|160|87082999|11|PS|XIX||2026-04-29 13:11:05|
1925|6700262|160|87088099|126|PS|XIX||2026-04-29 14:06:02|
1925|6700257|160|73269099|2|XP|T1|U|2026-04-29 12:49:01|
3471|6401100|160|87082999|51|PS|XIX||2026-04-29 18:53:02|
3471|6401081|160|73269099|4|XP|T3|U|2026-04-29 10:20:04|
3471|6401096|160|98020019|69|EC|1||2026-04-29 18:13:02|
3471|6401080|160|98020019|214|EC|1||2026-04-29 11:55:03|
3471|6401057|160|87082999|82|PS|XIX||2026-04-29 13:11:05|
3471|6400845|160|84833004|4|EN|X|NOM-050-SCFI-2004|2026-04-01 18:26:02|
3471|6400802|160|85129007|20|EN|U|NOM-050-SCFI-2004|2026-04-02 12:32:02|
1925|6700262|160|39269020|2|EN|X|NOM-050-SCFI-2004|2026-04-29 14:06:02|
3471|6401098|160|87082999|38|PS|XIX||2026-04-29 18:53:01|
1925|6700256|160|87082999|38|PS|XIX||2026-04-29 13:55:03|
3471|6401106|160|87082999|39|PS|XIX||2026-04-29 19:45:01|
3471|6401059|160|87088099|62|EN|X|NOM-050-SCFI-2004|2026-04-29 12:33:03|
3471|6401082|160|87082999|15|PS|XIX||2026-04-29 18:13:05|
3471|6401090|160|87089999|75|EN|X|NOM-050-SCFI-2004|2026-04-29 10:20:05|
3471|6401098|160|87082999|79|PS|XIX||2026-04-29 18:53:01|
3471|6401080|160|98020019|164|EC|1||2026-04-29 11:55:03|
3471|6401097|160|73269099|3|XP|T3|U|2026-04-29 18:13:02|
3471|6401057|160|98020019|212|EC|1||2026-04-29 13:11:05|
1925|6700254|160|98020019|125|EC|1||2026-04-29 17:20:04|
3471|6401080|160|87082999|32|PS|XIX||2026-04-29 11:55:03|
3471|6401102|160|98020019|127|EC|1||2026-04-29 18:54:01|
3471|6400754|160|84833004|25|EN|X|NOM-050-SCFI-2004|2026-04-01 23:19:01|
3471|6400802|160|87082999|82|PS|XIX||2026-04-02 12:32:02|
3471|6401080|160|84152001|124|EN|X|NOM-050-SCFI-2004|2026-04-29 11:55:03|
3471|6401098|160|98020019|104|EC|1||2026-04-29 18:53:01|
3471|6401100|160|84253101|56|PS|XIX||2026-04-29 18:53:02|
3471|6401096|160|98020019|77|EC|1||2026-04-29 18:13:02|
3471|6401102|160|98020019|112|EC|1||2026-04-29 18:54:01|
3471|6401051|160|87089999|95|EN|X|NOM-050-SCFI-2004|2026-04-29 12:32:03|
3471|6401104|160|85124001|12|EN|X|NOM-024-SCFI-2013|2026-04-29 19:45:02|
1925|6700294|160|87082999|18|PS|XIX||2026-04-29 10:50:04|
3471|6401051|160|98020019|142|EC|1||2026-04-29 12:32:03|
3471|6401081|160|73269099|6|XP|T9|U|2026-04-29 10:20:04|
3471|6401096|160|98020019|60|EC|1||2026-04-29 18:13:02|
3471|6401082|160|87089999|130|EN|X|NOM-050-SCFI-2004|2026-04-29 18:13:05|
1925|6700254|160|98020019|152|EC|1||2026-04-29 17:20:04|
3471|6401080|160|98020019|193|EC|1||2026-04-29 11:55:03|
3471|6400754|160|87089412|79|EN|X|NOM-050-SCFI-2004|2026-04-01 23:19:01|
1925|6000394|160|85122099|56|PS|XIX||2026-04-01 12:58:01|
3471|6401053|160|98020019|63|EC|1||2026-04-29 12:32:05|
3471|6401098|160|87082999|35|PS|XIX||2026-04-29 18:53:01|
3471|6401085|160|73269099|11|XP|T3|U|2026-04-29 11:42:03|
3471|6401102|160|98020019|94|EC|1||2026-04-29 18:54:01|
1925|6700254|160|98020019|158|EC|1||2026-04-29 17:20:04|
3471|6401051|160|85013199|46|PS|XIX||2026-04-29 12:32:03|
3471|6401060|160|73269099|3|XP|T1|U|2026-04-29 17:30:04|
3471|6401090|160|87082999|7|PS|XIX||2026-04-29 10:20:05|
1925|6700260|160|87089999|47|EN|X|NOM-050-SCFI-2004|2026-04-29 13:55:04|
3471|6401098|160|85444299|69|PS|XIX||2026-04-29 18:53:01|
3471|6401096|160|87083099|23|EN|X|NOM-050-SCFI-2004|2026-04-29 18:13:02|
3471|6401106|160|87082999|25|PS|XIX||2026-04-29 19:45:01|
3471|6401100|160|87088099|48|EN|X|NOM-050-SCFI-2004|2026-04-29 18:53:02|
3471|6401086|160|87082999|20|PS|XIX||2026-04-29 11:42:03|
3471|6400760|160|87089999|17|EN|X|NOM-050-SCFI-2004|2026-04-01 16:33:04|
1925|6000394|160|98020019|134|EC|1||2026-04-01 12:58:01|
1925|6700254|160|87082999|25|PS|XIX||2026-04-29 17:20:04|
3471|6401080|160|98020019|191|EC|1||2026-04-29 11:55:03|
3471|6401100|160|98020019|119|EC|1||2026-04-29 18:53:02|
3471|6401102|160|98020019|84|EC|1||2026-04-29 18:54:01|
3471|6401055|160|98020019|109|EC|1||2026-04-29 13:11:05|
3043|6001043|523|73269099|1|XP|T9|U|2026-04-29 12:36:01|
3471|6401057|160|98020019|178|EC|1||2026-04-29 13:11:05|
3471|6401084|160|98020019|158|EC|1||2026-04-29 11:55:04|
3471|6401105|160|73269099|1|XP|T9|U|2026-04-29 19:45:02|
3471|6401104|160|87082999|13|PS|XIX||2026-04-29 19:45:02|
3471|6401096|160|87087099|114|EN|U|NOM-086-1-SCFI-2020|2026-04-29 18:13:02|
1925|6700254|160|83023091|62|PS|XIX||2026-04-29 17:20:04|
3471|6401098|160|39269029|95|EN|X|NOM-050-SCFI-2004|2026-04-29 18:53:01|
1925|6700294|160|98020019|154|EC|1||2026-04-29 10:50:04|
3471|6400762|160|87089412|44|EN|X|NOM-050-SCFI-2004|2026-04-01 23:54:02|
3471|6400841|160|87088007|37|PS|XIX||2026-04-01 18:25:04|
1925|6700294|160|87082999|7|PS|XIX||2026-04-29 10:50:04|
1925|6700294|160|87082999|14|PS|XIX||2026-04-29 10:50:04|
1925|6700254|160|87082999|23|PS|XIX||2026-04-29 17:20:04|
3471|6401100|160|98020019|156|EC|1||2026-04-29 18:53:02|
3471|6401051|160|84253101|96|PS|XIX||2026-04-29 12:32:03|
3471|6401102|160|87089412|26|EN|X|NOM-050-SCFI-2004|2026-04-29 18:54:01|
1925|6700260|160|87082999|73|PS|XIX||2026-04-29 13:55:04|
3471|6401082|160|85365099|107|EN|X|NOM-024-SCFI-2013|2026-04-29 18:13:05|
3471|6401084|160|98020019|162|EC|1||2026-04-29 11:55:04|
3471|6401051|160|98020019|127|EC|1||2026-04-29 12:32:03|
3471|6401084|160|98020019|80|EC|1||2026-04-29 11:55:04|
1925|6700294|160|98020019|150|EC|1||2026-04-29 10:50:04|
1925|6700294|160|87082999|2|PS|XIX||2026-04-29 10:50:04|
3471|6401061|160|87082999|18|PS|XIX||2026-04-29 17:30:05|
3496|6000302|850|98020019|122|EC|1||2026-04-01 13:03:12|
3496|6000302|850|98020019|87|EC|1||2026-04-01 13:03:12|
3471|6401089|160|73269099|4|XP|T3|U|2026-04-29 10:20:05|
3471|6401090|160|87082999|43|PS|XIX||2026-04-29 10:20:05|
3471|6401102|160|87082999|190|PS|XIX||2026-04-29 18:54:01|
3471|6401059|160|85122099|55|EN|X|NOM-024-SCFI-2013|2026-04-29 12:33:03|
3471|6401102|160|87082999|177|PS|XIX||2026-04-29 18:54:01|
3471|6401096|160|87088007|13|EN|X|NOM-050-SCFI-2004|2026-04-29 18:13:02|
3471|6401106|160|87082999|17|PS|XIX||2026-04-29 19:45:01|
3471|6401096|160|87089999|128|EN|X|NOM-050-SCFI-2004|2026-04-29 18:13:02|
3471|6401055|160|83100099|50|EN|X|NOM-050-SCFI-2004|2026-04-29 13:11:05|
3471|6401051|160|90328999|42|PS|XIX||2026-04-29 12:32:03|
3471|6401084|160|84152001|134|PS|XIX||2026-04-29 11:55:04|
3471|6401080|160|87082999|10|PS|XIX||2026-04-29 11:55:03|
3471|6401056|160|73269099|3|XP|T1|U|2026-04-29 13:10:02|
3471|6401081|160|73269099|1|XP|T3|U|2026-04-29 10:20:04|
3471|6400807|160|56090002|3|EN|ENOM|NOM-004-SE-2021|2026-04-02 00:48:02|
3471|6400804|160|87088099|98|PS|XIX||2026-04-02 01:05:02|
1925|6700254|160|98020019|139|EC|1||2026-04-29 17:20:04|
3471|6401056|160|73269099|4|XP|T3|U|2026-04-29 13:10:02|
3471|6401090|160|87082999|80|PS|XIX||2026-04-29 10:20:05|
3471|6401100|160|98020019|113|EC|1||2026-04-29 18:53:02|
3471|6401057|160|98020019|221|EC|1||2026-04-29 13:11:05|
3471|6401096|160|98020019|133|EC|1||2026-04-29 18:13:02|
1925|6700262|160|98020019|92|EC|1||2026-04-29 14:06:02|
1925|6700262|160|87082999|41|PS|XIX||2026-04-29 14:06:02|
3471|6401096|160|98020019|61|EC|1||2026-04-29 18:13:02|
3471|6401057|160|98020019|189|EC|1||2026-04-29 13:11:05|
3471|6401059|160|87089999|36|EN|X|NOM-050-SCFI-2004|2026-04-29 12:33:03|
3471|6401098|160|98020019|112|EC|1||2026-04-29 18:53:01|
3471|6401051|160|87089999|75|EN|X|NOM-050-SCFI-2004|2026-04-29 12:32:03|
3471|6401098|160|98020019|119|EC|1||2026-04-29 18:53:01|
3471|6400841|160|98020019|89|EC|1||2026-04-01 18:25:04|
3471|6400762|160|87082999|30|PS|XIX||2026-04-01 23:54:02|
3471|6401096|160|87087099|114|EN|U|NOM-050-SCFI-2004|2026-04-29 18:13:02|
1925|6700294|160|98020019|149|EC|1||2026-04-29 10:50:04|
1925|6700294|160|98020019|98|EC|1||2026-04-29 10:50:04|
3471|6401055|160|87082999|57|PS|XIX||2026-04-29 13:11:05|
1925|6700254|160|85365099|45|EN|U|NOM-003-SCFI-2014|2026-04-29 17:20:04|
1925|6700258|160|98020019|49|EC|1||2026-04-29 13:55:03|
3471|6401102|160|98020019|81|EC|1||2026-04-29 18:54:01|
3471|6401104|160|84213199|8|PS|XIX||2026-04-29 19:45:02|
3471|6401082|160|87089999|26|EN|X|NOM-050-SCFI-2004|2026-04-29 18:13:05|
3471|6401057|160|98020019|141|EC|1||2026-04-29 13:11:05|
1925|6700258|160|87082999|53|PS|XIX||2026-04-29 13:55:03|
1925|6700254|160|98020019|157|EC|1||2026-04-29 17:20:04|
3471|6401085|160|73269099|11|XP|T1|U|2026-04-29 11:42:03|
3471|6401057|160|98020019|205|EC|1||2026-04-29 13:11:05|
1614|6001960|160|98020019|103|EC|1||2026-04-01 10:31:03|
3471|6400805|160|73181606|6|EN|ENOM|NOM-050-SCFI-2004|2026-04-02 01:06:01|
1925|6700262|160|87088007|121|EN|X|NOM-050-SCFI-2004|2026-04-29 14:06:02|
3471|6401090|160|87082999|83|PS|XIX||2026-04-29 10:20:05|
1925|6700256|160|98020019|64|EC|1||2026-04-29 13:55:03|
3471|6401058|160|73269099|8|XP|T1|U|2026-04-29 12:33:02|
3471|6401102|160|83023091|53|PS|XIX||2026-04-29 18:54:01|
1925|6700294|160|98020019|198|EC|1||2026-04-29 10:50:04|
3471|6401096|160|98020019|49|EC|1||2026-04-29 18:13:02|
3471|6401061|160|87089999|52|EN|X|NOM-050-SCFI-2004|2026-04-29 17:30:05|
1925|6700262|160|98020019|185|EC|1||2026-04-29 14:06:02|
3471|6401082|160|87082999|33|PS|XIX||2026-04-29 18:13:05|
3471|6401100|160|84152001|79|EN|X|NOM-050-SCFI-2004|2026-04-29 18:53:02|
3471|6401080|160|87089999|28|EN|X|NOM-050-SCFI-2004|2026-04-29 11:55:03|
3471|6401086|160|84213199|1|EN|X|NOM-050-SCFI-2004|2026-04-29 11:42:03|
3471|6401080|160|85129007|78|EN|X|NOM-024-SCFI-2013|2026-04-29 11:55:03|
3471|6400835|160|98020019|154|EC|1||2026-04-01 16:33:05|
3471|6400835|160|98020019|165|EC|1||2026-04-01 16:33:05|
3471|6401080|160|84818099|128|PS|XIX||2026-04-29 11:55:03|
1925|6700294|160|98020019|177|EC|1||2026-04-29 10:50:04|
3471|6401080|160|40093205|101|EN|U|NOM-209-SCFI-2017|2026-04-29 11:55:03|
3471|6401086|160|87082999|11|PS|XIX||2026-04-29 11:42:03|
1925|6700258|160|87082999|61|PS|XIX||2026-04-29 13:55:03|
3471|6401082|160|98020019|194|EC|1||2026-04-29 18:13:05|
3471|6401082|160|87089999|5|EN|X|NOM-050-SCFI-2004|2026-04-29 18:13:05|
3471|6401085|160|73181599|12|EC|1||2026-04-29 11:42:03|
1925|6700256|160|73181504|59|EN|X|NOM-050-SCFI-2004|2026-04-29 13:55:03|
1925|6700256|160|87082999|39|PS|XIX||2026-04-29 13:55:03|
3471|6401100|160|98020019|139|EC|1||2026-04-29 18:53:02|
3471|6401100|160|98020019|143|EC|1||2026-04-29 18:53:02|
3471|6401098|160|87089999|39|EN|X|NOM-050-SCFI-2004|2026-04-29 18:53:01|
3471|6401051|160|85044099|27|PS|XIX||2026-04-29 12:32:03|
3471|6400804|160|87082999|55|PS|XIX||2026-04-02 01:05:02|
3471|6400798|160|87082999|75|PS|XIX||2026-04-02 00:49:02|
1925|6700254|160|87089999|42|EN|X|NOM-050-SCFI-2004|2026-04-29 17:20:04|
3471|6401055|160|87089999|17|EN|X|NOM-050-SCFI-2004|2026-04-29 13:11:05|
3471|6401090|160|87082999|62|PS|XIX||2026-04-29 10:20:05|
3471|6401060|160|73269099|4|XP|T1|U|2026-04-29 17:30:04|
3471|6401082|160|98020019|166|EC|1||2026-04-29 18:13:05|
3043|6001114|523|56090002|1|MA| ||2026-04-30 11:14:01|
3471|6401098|160|98020019|115|EC|1||2026-04-29 18:53:01|
3471|6401051|160|98020019|64|EC|1||2026-04-29 12:32:03|
3471|6401090|160|87082999|54|PS|XIX||2026-04-29 10:20:05|
3471|6401080|160|98020019|223|EC|1||2026-04-29 11:55:03|
3471|6401102|160|98020019|248|EC|1||2026-04-29 18:54:01|
1647|6008913|240|39269099|1|MA| ||2026-04-30 18:35:04|
3471|6401051|160|85122099|115|PS|XIX||2026-04-29 12:32:03|
3471|6401080|160|98020019|222|EC|1||2026-04-29 11:55:03|
1614|6001960|160|84821099|108|EN|X|NOM-050-SCFI-2004|2026-04-01 10:31:03|
3471|6400800|160|87089412|63|EN|X|NOM-050-SCFI-2004|2026-04-02 00:48:02|
3471|6401051|160|85371004|41|PS|XIX||2026-04-29 12:32:03|
3471|6401103|160|73269099|6|XP|T3|U|2026-04-30 09:31:01|
3471|6401104|160|84152001|6|PS|XIX||2026-04-29 19:45:02|
3471|6401053|160|98020019|13|EC|1||2026-04-29 12:32:05|
3471|6401080|160|85044099|105|EN|ENOM|NOM-058-SCFI-2017|2026-04-29 11:55:03|
3471|6401102|160|87089999|51|EN|X|NOM-050-SCFI-2004|2026-04-29 18:54:01|
3471|6401051|160|87089999|10|EN|X|NOM-050-SCFI-2004|2026-04-29 12:32:03|
3043|6700022|520|87032199|1|MA| ||2026-04-30 16:23:01|
1925|6700262|160|87089999|49|EN|X|NOM-050-SCFI-2004|2026-04-29 14:06:02|
3471|6401080|160|98020019|215|EC|1||2026-04-29 11:55:03|
3471|6401102|160|87082999|30|PS|XIX||2026-04-29 18:54:01|
1647|6008913|240|56090002|2|MA| ||2026-04-30 18:35:04|
3471|6401058|160|73269099|3|XP|T1|U|2026-04-29 12:33:02|
1925|6700254|160|98020019|136|EC|1||2026-04-29 17:20:04|
1925|6000396|160|85444299|16|PS|XIX||2026-04-01 12:57:03|
3471|6400752|160|98020019|134|EC|1||2026-04-01 16:33:04|
3471|6401080|160|87088099|92|PS|XIX||2026-04-29 11:55:03|
1647|6008977|240|73269099|1|XP|C6|UM|2026-04-30 18:35:05|
1925|6700294|160|98020019|184|EC|1||2026-04-29 10:50:04|
3471|6401102|160|87082999|225|PS|XIX||2026-04-29 18:54:01|
1925|6700260|160|98020019|91|EC|1||2026-04-29 13:55:04|
1925|6700262|160|87089999|107|EN|X|NOM-050-SCFI-2004|2026-04-29 14:06:02|
3471|6401055|160|85365099|49|EN|U|NOM-003-SCFI-2014|2026-04-29 13:11:05|
3471|6401055|160|87089999|69|EN|X|NOM-050-SCFI-2004|2026-04-29 13:11:05|
1925|6700262|160|87089999|67|EN|X|NOM-050-SCFI-2004|2026-04-29 14:06:02|
3471|6401106|160|87082999|11|PS|XIX||2026-04-29 19:45:01|
3471|6401053|160|98020019|64|EC|1||2026-04-29 12:32:05|
3471|6401090|160|87082999|58|PS|XIX||2026-04-29 10:20:05|
3471|6401059|160|39263002|29|PS|XIX||2026-04-29 12:33:03|
1925|6700260|160|87082999|53|PS|XIX||2026-04-29 13:55:04|
1925|6000396|160|87088099|4|PS|XIX||2026-04-01 12:57:03|
3471|6400764|160|82060001|4|EN|X|NOM-050-SCFI-2004|2026-04-03 22:59:00|
3471|6401057|160|98020019|161|EC|1||2026-04-29 13:11:05|
1925|6700258|160|85122099|40|EN|X|NOM-024-SCFI-2013|2026-04-29 13:55:03|
3471|6401102|160|87082999|228|PS|XIX||2026-04-29 18:54:01|
1925|6700261|160|73269099|2|XP|T1|U|2026-04-29 12:54:01|
1925|6700260|160|39235001|6|PS|XIX||2026-04-29 13:55:04|
3471|6401057|160|87089999|73|EN|X|NOM-050-SCFI-2004|2026-04-29 13:11:05|
3471|6401083|160|56090002|6|EX|31||2026-04-29 17:30:04|
3471|6401090|160|87082999|38|PS|XIX||2026-04-29 10:20:05|
3471|6401055|160|87082999|130|PS|XIX||2026-04-29 13:11:05|
3471|6401106|160|87082999|27|PS|XIX||2026-04-29 19:45:01|
3471|6401080|160|98020019|61|EC|1||2026-04-29 11:55:03|
1925|6700294|160|98020019|200|EC|1||2026-04-29 10:50:04|
1925|6700260|160|87082201|124|PS|XIX||2026-04-29 13:55:04|
3471|6401102|160|84213199|1|EN|X|NOM-050-SCFI-2004|2026-04-29 18:54:01|
3471|6400759|160|73269099|5|XP|T3|U|2026-04-01 23:55:01|
3471|6400807|160|94049099|9|EX|31||2026-04-02 00:48:02|
3471|6401102|160|85365099|43|EN|X|NOM-024-SCFI-2013|2026-04-29 18:54:01|
1925|6700254|160|87089203|173|EN|X|NOM-050-SCFI-2004|2026-04-29 17:20:04|
3471|6401059|160|87082999|20|PS|XIX||2026-04-29 12:33:03|
3471|6401082|160|87082999|142|PS|XIX||2026-04-29 18:13:05|
1925|6700253|160|73269099|5|XP|T1|U|2026-04-29 12:49:02|
3471|6401081|160|73269099|4|XP|T9|U|2026-04-29 10:20:04|
3471|6401082|160|87088007|85|PS|XIX||2026-04-29 18:13:05|
