Patente|Pedimento|SeccionAduanera|RfcTransportista|CurpTransportista|NombreTransportista|PaisTransporte|IdentificadorTransporte|FechaPagoReal
1614|6002068|160|||EVER FAME|PAN|0672-028E|2026-04-14 09:43:02|
1614|6002012|160|||ZIM MOUNT BLANC|SGP|12E|2026-04-08 09:16:04|
1925|6700203|160|||ZIM MOUNT DENALI|SGP|ZIMMOUNTDENALI|2026-04-23 16:43:01|
1925|6700253|160|||CSCL SPRING|HKG|CSCLSPRING|2026-04-29 12:49:02|
1614|6003583|160|||EVER FASHION|GBR|026E|2026-04-23 09:09:03|
3471|6400878|160|||ZIM MEXICO INTEGRATED SHIPPING SERVICES S.DE.R.L. DE C.V|SGP|ZIMMOUNTBLANC|2026-04-08 09:56:05|
1614|6002247|160|||ZIM MOUNT DENALI|SGP|13E|2026-04-21 10:02:04|
1925|6100274|160|||EVER FAME|PAN|EVERFAME|2026-04-15 20:55:02|
3043|6700015|523|||KANSAS CITY SOUTHERN|USA|1|2026-04-18 12:09:02|
1614|6002060|160|||EVER FAME|PAN|0672-028E|2026-04-14 09:42:04|
1614|6003569|160|||EVER LISSOME|GBR|073E|2026-04-23 10:28:03|
3471|6400886|160|||MAERSK LINE|SGP|MAERSKEMERALD|2026-04-16 14:42:01|
1614|6003575|160|||EVER LISSOME|GBR|073E|2026-04-23 09:10:05|
1614|6002330|160|||WAN HAI A02|SGP|E016|2026-04-23 16:50:09|
3471|6401011|160|||EVERGREEN LINE|GBR|EVERLISSOME|2026-04-23 10:26:05|
1614|6002344|160|||COSCO PACIFIC|CHN|098E|2026-04-25 13:02:02|
3471|6401097|160|||EVERGREEN LINE|TWN|EVERLOYAL|2026-04-29 18:13:02|
1925|6700262|160|||CSCL SPRING|HKG|CSCLSPRING|2026-04-29 14:06:02|
1614|6003579|160|||EVER FASHION|GBR|026E|2026-04-23 09:09:01|
1614|6002119|160|||XIN OU ZHOU|CHN|077E|2026-04-14 12:19:06|
1925|6100278|160|||EVER FAME|PAN|EVERFAME|2026-04-15 20:55:03|
1614|6002208|160|||EVER FASHION|LBR|0775-026E|2026-04-16 11:09:01|
3471|6400789|160|||WAN HAI LINES LTD|SGP|WANHAIA09|2026-04-01 11:54:01|
3471|6400893|160|||PACIFIC INTERNATIONAL LINES|PAN|EVERFAME|2026-04-14 23:20:02|
3043|6000966|523|||KANSAS CITY SOUTHERN DE MEXICO|MEX|SNLU196279|2026-04-15 08:59:01|
1614|6002009|160|||ZIM MOUNT BLANC|SGP|12E|2026-04-08 08:43:01|
1614|6002217|160|||EVER FASHION|LBR|0775-026E|2026-04-16 19:40:03|
1614|6002303|160|||EVER LISSOME|GBR|073E|2026-04-20 16:04:02|
3471|6401015|160|||EVERGREEN LINE|GBR|EVERLISSOME|2026-04-23 11:15:03|
1925|6000422|160|||EVER FAME|PAN|EVERFAME|2026-04-15 13:55:03|
3471|6400798|160|||EVERGREEN LINE|GBR|EVERLIBERAL|2026-04-02 00:49:02|
1614|6002056|160|||EVER FAME|PAN|0672-028E|2026-04-14 14:56:02|
1925|6700258|160|||CSCL SPRING|HKG|CSCLSPRING|2026-04-29 13:55:03|
3153|6005880|240|||TRANSFER|USA|5480085|2026-04-10 13:48:09|
1614|6002299|160|||EVER LISSOME|GBR|073E|2026-04-20 16:04:01|
1614|6002054|160|||EVER FAME|PAN|0672-028E|2026-04-14 14:55:04|
3471|6400941|160|||EVERGREEN LINE|LBR|EVERFASHION|2026-04-17 12:39:03|
3153|6000393|800|||TRANSFER|MEX|67AX7Z|2026-04-23 13:55:01|
1925|6700207|160|||ZIM MOUNT DENALI|SGP|ZIMMOUNTDENALI|2026-04-23 16:44:02|
1925|6000424|160|||EVER FAME|PAN|EVERFAME|2026-04-15 13:55:02|
3471|6401010|160|||EVERGREEN LINE|GBR|EVERLISSOME|2026-04-23 11:32:03|
1614|6002309|160|||EVER LISSOME|GBR|0776-073E|2026-04-20 15:17:01|
1614|6003558|160|||EVER LISSOME|GBR|0776-073E|2026-04-23 08:47:05|
1614|6002232|160|||ZIM MOUNT DENALI|SGP|13E|2026-04-20 16:43:01|
1925|6100309|160|||EVER FASHION|LBR|EVERFASHION|2026-04-17 13:48:10|
1925|6700212|160|||EVER LISSOME|GBR|EVERLISSOME|2026-04-23 14:32:02|
3471|6400844|160|||ZIM MEXICO INTEGRATED SHIPPING SERVICES|LBR|TIANJIN|2026-04-01 16:35:04|
3471|6400784|160|||WAN HAI LINES LTD|SGP|WANHAIA09|2026-04-01 11:53:01|
1925|6100312|160|||EVER FASHION|LBR|EVERFASHION|2026-04-17 14:11:03|
3471|6401020|160|||EVERGREEN LINE|GBR|EVERLISSOME|2026-04-23 11:32:02|
1614|6002124|160|||XIN OU ZHOU|CHN|077E|2026-04-14 12:20:04|
1925|6700241|160|||ZIM MOUNT FUJI|HKG|ZIMMOUNTFUJI|2026-04-28 16:25:02|
3471|6401053|160|||EVERGREEN LINE|TWN|EVERLOYAL|2026-04-29 12:32:05|
1614|6002116|160|||XIN OU ZHOU|CHN|077E|2026-04-14 12:19:04|
3043|6700008|523|||KANSAS CITY SOUTHERN|USA|1|2026-04-06 17:29:02|
1614|6002172|160|||EVER FASHION|GBR|026E|2026-04-20 16:19:03|
1925|6100280|160|||EVER FAME|PAN|EVERFAME|2026-04-15 20:56:01|
1614|6002013|160|||ZIM MOUNT BLANC|SGP|12E|2026-04-08 10:42:05|
1614|6002310|160|||EVER LISSOME|GBR|0776-073E|2026-04-20 14:09:02|
1614|6002296|160|||EVER LISSOME|GBR|073E|2026-04-20 14:08:05|
1614|6003576|160|||EVER LISSOME|GBR|073E|2026-04-22 20:06:04|
1925|6000425|160|||EVER FAME|PAN|EVERFAME|2026-04-15 13:54:05|
1925|6100250|160|||TIANJIN|LBR|TIANJIN|2026-04-09 09:52:01|
3043|6001076|523|||KANSAS CITY SOUTHERN DE MEXICO|MEX|SNLU141883|2026-04-28 16:27:01|
3897|6603111|240|KCS970506DQ3||KANSAS CITY SOUTHERN DE MEXICO S.A. DE C.V.|MEX|SNLU201115|2026-04-04 12:11:02|
1614|6002321|160|||WAN HAI A02|SGP|E016|2026-04-23 17:51:04|
1614|6003555|160|||EVER LISSOME|GBR|0776-073E|2026-04-23 09:17:02|
3471|6401068|160|||PACIFIC INTERNATIONAL LINES|SGP|WANHAIA02|2026-04-24 15:17:02|
1925|6700248|160|||ZIM MOUNT FUJI|HKG|ZIMMOUNTFUJI|2026-04-28 20:00:02|
1614|6002218|160|||EVER FASHION|LBR|0775-026E|2026-04-16 14:24:02|
3043|6700006|520|||FERROMEX|USA|1|2026-04-06 17:29:01|
3471|6401104|160|||EVERGREEN LINE|TWN|EVERLOYAL|2026-04-29 19:45:02|
3471|6400850|160|||ZIM MEXICO INTEGRATED SHIPPING SERVICES|LBR|TIANJIN|2026-04-01 23:19:02|
1614|6001821|160|||ZIM MOUNT BLANC|SGP|12E|2026-04-07 12:20:09|
3471|6400757|160|||ZIM MEXICO INTEGRATED SHIPPING SERVICES|LBR|TIANJIN|2026-04-01 23:55:03|
1614|6001825|160|||ZIM MOUNT BLANC|SGP|12E|2026-04-07 12:21:03|
3043|6001074|523|||KANSAS CITY SOUTHERN DE MEXICO|MEX|SNLU193485|2026-04-28 16:27:02|
1614|6002343|160|||COSCO PACIFIC|CHN|098E|2026-04-27 09:17:01|
3471|6401103|160|||EVERGREEN LINE|TWN|EVERLOYAL|2026-04-30 09:31:01|
1614|6002051|160|||EVER FAME|PAN|0672-028E|2026-04-14 14:55:01|
3897|6603336|240|KCS970506DQ3||KANSAS CITY SOUTHERN DE MEXICO S.A. DE C.V.|MEX|SNLU187174|2026-04-13 10:21:11|
1925|6700208|160|||ZIM MOUNT DENALI|SGP|ZIMMOUNTDENALI|2026-04-23 20:27:02|
1614|6002122|160|||XIN OU ZHOU|CHN|077E|2026-04-14 12:20:04|
3471|6400802|160|||EVERGREEN LINE|GBR|EVERLIBERAL|2026-04-02 12:32:02|
3471|6401090|160|||YANG MING|TWN|EVERLOYAL|2026-04-29 10:20:05|
3471|6400846|160|||ZIM MEXICO INTEGRATED SHIPPING SERVICES|LBR|TIANJIN|2026-04-01 18:26:02|
3471|6400851|160|||WAN HAI LINES LTD|GBR|EVERLIBERAL|2026-04-09 12:33:06|
3897|6603334|240|KCS970506DQ3||KANSAS CITY SOUTHERN DE MEXICO S.A. DE C.V.|MEX|SNLU142199|2026-04-13 10:21:10|
3043|6700020|523|||KANSAS CITY SOUTHERN|USA|1|2026-04-25 19:24:01|
1925|6000476|160|||EVER LISSOME|GBR|EVERLISSOME|2026-04-24 17:09:04|
3471|6400964|160|||COSCO SHIPPING LINES MEXICO S DE RL DE CV|CHN|CSCLASIA|2026-04-17 19:49:01|
3471|6400800|160|||EVERGREEN LINE|GBR|EVERLIBERAL|2026-04-02 00:48:02|
3153|6005879|240|||TRANSFER|USA|5221505|2026-04-10 13:48:10|
3471|6400902|160|||PACIFIC INTERNATIONAL LINES|PAN|EVERFAME|2026-04-15 10:55:01|
3471|6401022|160|||EVERGREEN LINE|GBR|EVERLISSOME|2026-04-22 19:32:02|
1614|6003563|160|||EVER LISSOME|GBR|0776-073E|2026-04-23 09:18:02|
1614|6001953|160|||XIN HONG KONG|HKG|081E|2026-04-06 10:11:01|
3471|6401066|160|||EVERGREEN LINE|GBR|EVERLISSOME|2026-04-22 19:31:01|
3043|6001042|523|||KANSAS CITY SOUTHERN DE MEXICO|MEX|SNLU144320|2026-04-22 16:20:02|
3471|6401096|160|||EVERGREEN LINE|TWN|EVERLOYAL|2026-04-29 18:13:02|
3471|6400714|160|||ZIM MEXICO INTEGRATED SHIPPING SERVICES|LBR|TIANJIN|2026-04-01 11:51:04|
3043|6000990|523|||KANSAS CITY SOUTHERN DE MEXICO|MEX|SNLU992790|2026-04-15 21:01:20|
3043|6700007|523|||KANSAS CITY SOUTHERN|USA|1|2026-04-06 19:25:01|
3471|6401058|160|||EVERGREEN LINE|TWN|EVERLOYAL|2026-04-29 12:33:02|
1614|6001954|160|||XIN HONG KONG|HKG|081E|2026-04-06 10:11:03|
3471|6401086|160|||YANG MING|TWN|EVERLOYAL|2026-04-29 11:42:03|
1614|6001824|160|||ZIM MOUNT BLANC|SGP|12E|2026-04-07 12:21:03|
1614|6002057|160|||EVER FAME|PAN|0672-028E|2026-04-14 09:41:02|
3897|6603590|240|KCS970506DQ3||KANSAS CITY SOUTHERN DE MEXICO S.A. DE C.V.|MEX|SNLU220420|2026-04-16 15:21:10|
3471|6400790|160|||WAN HAI LINES LTD|SGP|WANHAIA09|2026-04-01 22:34:01|
1614|6001967|160|||XIN HONG KONG|HKG|081E|2026-04-06 10:13:02|
1614|6002325|160|||WAN HAI A02|SGP|E016|2026-04-23 17:51:05|
1614|6002345|160|||COSCO PACIFIC|CHN|098E|2026-04-27 09:17:01|
3471|6401019|160|||EVERGREEN LINE|GBR|EVERLISSOME|2026-04-23 11:33:04|
1925|6700214|160|||EVER LISSOME|GBR|EVERLISSOME|2026-04-23 15:01:03|
1614|6003572|160|||EVER LISSOME|GBR|073E|2026-04-22 20:06:03|
1614|6002165|160|||EVER FASHION|GBR|026E|2026-04-20 14:21:05|
1614|6002117|160|||XIN OU ZHOU|CHN|077E|2026-04-14 12:19:05|
1614|6002197|160|||EVER FASHION|LBR|026E|2026-04-16 14:22:02|
3471|6401041|160|||EVERGREEN LINE|GBR|EVERLISSOME|2026-04-25 13:14:02|
1614|6002062|160|||EVER FAME|PAN|0672-028E|2026-04-14 09:42:03|
