Patente|Pedimento|SeccionAduanera|Fraccion|SecuenciaFraccion|ClaveContribucion|FormaPago|ImportePago|FechaPagoReal
1614|6002247|160|87082999|50|3|22|75|2026-04-21 10:02:04|
3471|6401086|160|87082201|31|3|22|12345|2026-04-29 11:42:03|
3471|6401015|160|98020019|27|3|22|53|2026-04-23 11:15:03|
3496|6000321|850|98020019|105|3|0|69|2026-04-21 12:53:07|
1925|6700262|160|98020019|93|3|22|17|2026-04-29 14:06:02|
1925|6700246|160|87082999|22|3|22|4992|2026-04-28 20:00:02|
1614|6001823|160|87089203|74|3|0|367|2026-04-07 12:21:02|
3471|6401051|160|87082999|79|3|22|913|2026-04-29 12:32:03|
1614|6002339|160|87089999|3|3|22|1549|2026-04-27 09:16:02|
1614|6001817|160|87082999|72|3|0|2246|2026-04-07 12:20:08|
3471|6401082|160|87088005|87|3|22|2617|2026-04-29 18:13:05|
3471|6401051|160|98020019|138|3|22|661|2026-04-29 12:32:03|
1614|6003585|160|87082201|145|3|22|294|2026-04-23 09:09:04|
1925|6700212|160|73181599|14|3|0|10|2026-04-23 14:32:02|
1925|6700244|160|87089999|96|3|22|218|2026-04-28 20:00:01|
3496|6000419|850|87082904|37|3|0|70|2026-04-21 10:38:03|
1925|6000480|160|85365099|141|3|22|544|2026-04-24 17:08:02|
1925|6700244|160|87082999|160|3|22|308|2026-04-28 20:00:01|
1614|6003561|160|98020019|64|3|22|3|2026-04-23 09:17:04|
1614|6002172|160|98020019|120|3|22|40|2026-04-20 16:19:03|
3471|6401051|160|87082999|110|3|22|6598|2026-04-29 12:32:03|
1925|6700254|160|87089412|187|3|22|546|2026-04-29 17:20:04|
1614|6001823|160|87082999|38|3|0|8957|2026-04-07 12:21:02|
3577|6300693|521|84212199|2|3|0|7527|2026-04-29 14:01:01|
1925|6700252|160|98020019|110|3|22|10|2026-04-28 18:17:02|
3471|6400808|160|98020019|78|3|0|41|2026-04-02 00:48:03|
1925|6700244|160|87082999|108|3|22|254|2026-04-28 20:00:01|
3471|6401051|160|98020019|66|3|22|7771|2026-04-29 12:32:03|
1614|6003585|160|98020019|69|3|22|80|2026-04-23 09:09:04|
1614|6002299|160|85269299|98|3|22|444|2026-04-20 16:04:01|
1925|6700294|160|98020019|190|3|22|593|2026-04-29 10:50:04|
1614|6002297|160|87082999|98|3|22|259|2026-04-20 16:04:02|
3471|6401013|160|87088007|8|3|22|12473|2026-04-23 11:15:02|
1925|6700250|160|39263002|45|3|22|481|2026-04-28 20:01:01|
1925|6700213|160|84833004|200|3|22|14|2026-04-23 14:19:01|
1614|6003581|160|87082999|68|3|22|619|2026-04-23 09:09:02|
1925|6700262|160|87082999|65|3|22|286|2026-04-29 14:06:02|
3471|6401051|160|87089999|75|3|22|708|2026-04-29 12:32:03|
1614|6001954|160|87082999|20|3|0|378|2026-04-06 10:11:03|
1925|6700252|160|87088005|62|3|22|788|2026-04-28 18:17:02|
1925|6700252|160|87082999|14|3|22|491|2026-04-28 18:17:02|
1614|6001817|160|94019999|62|3|0|74|2026-04-07 12:20:08|
3471|6401055|160|87082999|32|3|22|1171|2026-04-29 13:11:05|
3471|6401084|160|98020019|185|3|22|130|2026-04-29 11:55:04|
1614|6003563|160|40169901|16|3|22|270|2026-04-23 09:18:02|
1925|6700213|160|87082999|76|3|22|160|2026-04-23 14:19:01|
1925|6700254|160|87082999|174|3|22|179|2026-04-29 17:20:04|
3471|6400996|160|85365099|62|3|22|863|2026-04-22 23:30:02|
1614|6003575|160|98020019|129|3|22|65|2026-04-23 09:10:05|
1614|6002335|160|87082201|8|3|22|4339|2026-04-27 09:15:02|
3471|6401015|160|98020019|17|3|22|970|2026-04-23 11:15:03|
1614|6002297|160|85122099|33|3|22|19263|2026-04-20 16:04:02|
1925|6700262|160|85371099|159|3|22|878|2026-04-29 14:06:02|
1925|6700254|160|87089999|55|3|22|929|2026-04-29 17:20:04|
3471|6400808|160|87082999|46|3|0|112|2026-04-02 00:48:03|
3471|6401090|160|87089999|63|3|22|1096|2026-04-29 10:20:05|
3471|6401084|160|98020019|77|3|22|65|2026-04-29 11:55:04|
3496|6000302|850|87082999|75|3|0|22|2026-04-01 13:03:12|
3471|6401100|160|98020019|109|3|22|27|2026-04-29 18:53:02|
3471|6401055|160|85371099|75|3|22|12156|2026-04-29 13:11:05|
1614|6003585|160|87089203|17|3|22|3246|2026-04-23 09:09:04|
1925|6700202|160|87082999|167|3|22|144|2026-04-23 20:27:02|
1614|6002335|160|98020019|92|3|22|13|2026-04-27 09:15:02|
3471|6400987|160|63079099|3|6|0|2449|2026-04-22 19:32:01|
1614|6003585|160|98020019|84|3|22|851|2026-04-23 09:09:04|
3471|6401086|160|87089999|16|3|22|3288|2026-04-29 11:42:03|
1925|6700213|160|87088005|471|3|22|336|2026-04-23 14:19:01|
1614|6002170|160|87089203|17|3|22|3251|2026-04-20 16:19:01|
3471|6401055|160|87082999|19|3|22|1582|2026-04-29 13:11:05|
3471|6401100|160|98020019|153|3|22|661|2026-04-29 18:53:02|
1925|6000396|160|87089999|2|3|0|853|2026-04-01 12:57:03|
1925|6700252|160|87082999|2|3|22|553|2026-04-28 18:17:02|
1614|6002339|160|87083099|72|3|22|37127|2026-04-27 09:16:02|
3471|6400837|160|98020019|119|3|0|184|2026-04-01 18:25:03|
3471|6401055|160|73181504|44|3|22|3|2026-04-29 13:11:05|
3471|6401084|160|98020019|69|3|22|37|2026-04-29 11:55:04|
1614|6002329|160|87085099|187|3|22|4920|2026-04-23 18:49:03|
1925|6700213|160|87082999|495|3|22|603|2026-04-23 14:19:01|
3471|6401053|160|87087099|8|3|22|35923|2026-04-29 12:32:05|
1614|6002170|160|85013199|58|3|22|805|2026-04-20 16:19:01|
1614|6002309|160|87089999|48|3|22|130|2026-04-20 15:17:01|
1925|6700248|160|87082999|62|3|22|1726|2026-04-28 20:00:02|
1925|6700213|160|87082999|56|3|22|29|2026-04-23 14:19:01|
1614|6002313|160|87082999|53|3|22|310|2026-04-20 15:18:02|
3471|6401055|160|87089999|63|3|22|2740|2026-04-29 13:11:05|
3471|6401100|160|98020019|157|3|22|47|2026-04-29 18:53:02|
1614|6001825|160|94019999|4|3|0|265|2026-04-07 12:21:03|
3471|6401084|160|87082999|104|3|22|1377|2026-04-29 11:55:04|
1925|6700262|160|98020019|173|3|22|9608|2026-04-29 14:06:02|
3471|6400837|160|98020019|51|3|0|124|2026-04-01 18:25:03|
3471|6401055|160|98020019|120|3|22|141|2026-04-29 13:11:05|
3471|6401090|160|98020019|85|3|22|255|2026-04-29 10:20:05|
3471|6400994|160|40169901|150|3|22|120|2026-04-22 23:30:01|
1925|6700202|160|98020019|135|3|22|30|2026-04-23 20:27:02|
1925|6700253|160|73269099|4|6|0|480|2026-04-29 12:49:02|
1925|6000474|160|84213199|1|3|22|2788|2026-04-24 17:09:03|
3471|6400988|160|87089203|36|3|22|650|2026-04-22 21:37:02|
3471|6401055|160|98020019|76|3|22|20|2026-04-29 13:11:05|
1925|6700202|160|85389001|4|3|22|135|2026-04-23 20:27:02|
1925|6000476|160|98020019|155|3|22|257|2026-04-24 17:09:04|
3471|6401090|160|87082999|9|3|22|2100|2026-04-29 10:20:05|
1925|6700254|160|87088005|181|3|22|611|2026-04-29 17:20:04|
1759|6000777|160|85365099|88|3|0|344|2026-04-10 16:39:03|
3471|6401084|160|87082999|31|3|22|349|2026-04-29 11:55:04|
3471|6401084|160|98020019|71|3|22|40|2026-04-29 11:55:04|
3471|6400802|160|87082999|63|3|0|100|2026-04-02 12:32:02|
1925|6700294|160|98020019|149|3|22|111|2026-04-29 10:50:04|
1925|6700244|160|87082999|166|3|22|3990|2026-04-28 20:00:01|
1614|6002307|160|87082201|29|3|22|423|2026-04-20 16:05:04|
3471|6401015|160|87082999|117|3|22|214|2026-04-23 11:15:03|
3471|6401055|160|98020019|104|3|22|3|2026-04-29 13:11:05|
1614|6002315|160|98020019|67|3|22|5679|2026-04-20 15:18:02|
3471|6400997|160|73269099|1|6|0|309|2026-04-22 19:32:03|
3471|6401053|160|98020019|60|3|22|67|2026-04-29 12:32:05|
1925|6700204|160|87082999|4|3|22|54|2026-04-24 10:16:02|
3471|6401017|160|87082999|73|3|22|128|2026-04-23 11:33:03|
3471|6401084|160|40093106|29|3|22|198|2026-04-29 11:55:04|
1925|6700254|160|98020019|141|3|22|95|2026-04-29 17:20:04|
3471|6400837|160|87082999|23|3|0|197|2026-04-01 18:25:03|
