Patente|Pedimento|SeccionAduanera|FechaFacturacion|NumeroFactura|TerminoFacturacion|MonedaFacturacion|ValorDolares|ValorMonedaExtranjera|PaisFacturacion|EntidadFedFacturacion|IndentFiscalProveedor|ProveedorMercancia|CalleProveedor|NumInteriorProveedor|NumExteriorProveedor|CpProveedor|MunicipioProveedor|FechaPagoReal
3694|6100324|800|2026-04-22|COVE2682H2S43|DDP|USD|224.91|224.91|USA| |51-0402945|YUASA BATTERY INC.|MONTROSE AVE||2901|19605|LAURELDALE|2026-04-27 14:45:01|
3471|6401020|160|2026-03-25|COVE2681TQZJ2|CIF| ||| | |91330100757206158|ZHEJIANG CFMOTO POWER CO., LTD||||||2026-04-23 11:32:02|
1925|6700257|160|2026-04-07|COVE268285SR3|CIF|USD|133.52|133.52|CHN| |91330100757206158|ZHEJIANG CFMOTO POWER CO.,LTD|WUZHOU ROAD|SN|116|311100|YUHANG ECONOMIC DEVELOPMENT ZONE  HANGZHOU ZHEJIANG|2026-04-29 12:49:01|
3471|6401097|160|2026-03-29|COVE26824CES4|CIF| ||| | |91330100757206158|ZHEJIANG CFMOTO POWER CO., LTD||||||2026-04-29 18:13:02|
3043|6001115|523|2026-04-07|COVE2682N4H06|DPU|USD|111650.00|111650.00|CHN| |91330100757206158|ZHEJIANG CFMOTO POWER CO.,LTD|WUZHOU ROAD, YUHANG ECONOMIC DEVELOPMENT ZONE||116|311100|ZHEJIANG|2026-04-30 11:13:02|
3471|6401087|160|2026-04-06|COVE26823GZZ8|CIF| ||| | |91330100757206158|ZHEJIANG CFMOTO POWER CO., LTD||||||2026-04-29 11:42:04|
1614|6002197|160||COVE2681SNVP2|CIF| ||| | |91330100757206158|ZHEJIANG CFMOTO POWER CO., LTD||||||2026-04-16 14:22:02|
1614|6002342|160||COVE268277985|CIF| ||| | |91330100757206158|ZHEJIANG CFMOTO POWER CO., LTD||||||2026-04-27 08:43:06|
3471|6401105|160|2026-03-29|COVE26826YOI4|CIF| ||| | |91330100757206158|ZHEJIANG CFMOTO POWER CO., LTD||||||2026-04-29 19:45:02|
3471|6400805|160|2026-02-25|COVE2680P0CQ7|CIF| ||| | |91330100757206158|ZHEJIANG CFMOTO POWER CO., LTD||||||2026-04-02 01:06:01|
1614|6002341|160||COVE2682779M8|CIF| ||| | |91330100757206158|ZHEJIANG CFMOTO POWER CO., LTD||||||2026-04-27 09:16:01|
3471|6401053|160|2026-04-02|COVE26829WBR8|CIF| ||| | |91330100757206158|ZHEJIANG CFMOTO POWER CO., LTD||||||2026-04-29 12:32:05|
