PART_NUMBER,REGIMEN,TypeMaterial,DESCRIPTION_EN,DESCRIPCION_ES,UMC,UMT,HTSMX,HTSMXBASE,HTSMXNICO,IGI_DUTY,PROSEC,R8,DESCRIPCION_R8,RRYNA_NON_DUTY_REQUIREMENTS,REMARKS,NETWEIGHT,IMPORTED_OR_NOT,SENSIBLE,HTS_SerialNo,CLAVESAT,DESCRIPCION_CN,MATERIAL_CN,MATERIAL_EN,FUNCTION_CN,FUNCTION_EN,FUNCTION_EN,COMPANY,ESTIMATED
8080-000001,IN,0,CLASP,REMACHE DE PLASTICO DE USO AUTOMOTRIZ,PCS,,3926909906,39269099,90,Ex.,NO APLICA,0,,NOM-050-SCFI-2004,Need to label specific NOM-050 shipment mark,0.1,Y,NO SENSIBLE,0,31162200,0,0,0,0,0,,0,
8080-000002,IN,0,CLIP NUT ST4.8,GRAPA DOBLE PARA TORNILLAR,PCS,,7326909999,73269099,99,35,NO APLICA,0,,NO RRNA,0,0.2,Y,NO SENSIBLE,0,39121705,0,0,0,0,0,,0,
