Patente|Pedimento|SeccionAduanera|Fraccion|SecuenciaFraccion|SecuenciaObservacion|Observaciones|FechaPagoReal
1592|3002046|160|82060001|40|1|5BWV-200100-5001|2023-03-06 18:03:04|
1592|3002046|160|83100099|41|1|5HYV-190000-MX, MX-190011|2023-03-06 18:03:04|
1592|3002046|160|83100099|42|1|5HYV-19PA01-MX, 5HYV-190012-MX|2023-03-06 18:03:04|
1592|3002046|160|84099199|43|1|5HY#-002001-1000A|2023-03-06 18:03:04|
1592|3002046|160|84833004|44|1|5HY0-801321|2023-03-06 18:03:04|
1592|3002046|160|84879001|45|1|5HY0-222080-30000|2023-03-06 18:03:04|
1592|3002046|160|85072099|46|1|31023004|2023-03-06 18:03:04|
1592|3002046|160|85129007|47|1|5HY0-041022, 5HY0-041023|2023-03-06 18:03:04|
1592|3002046|160|85443099|48|1|5HYV-150100-1G01|2023-03-06 18:03:04|
1592|3002046|160|87082902|49|1|5HYV-041042-1C00-0BM00A|2023-03-06 18:03:04|
1592|3002046|160|87082923|50|1|5HY0-261300|2023-03-06 18:03:04|
1592|3002046|160|87082923|51|1|5HY0-261400|2023-03-06 18:03:04|
1592|3002046|160|87082923|52|1|9060-340001|2023-03-06 18:03:04|
1592|3002046|160|87082999|53|1|5HY0-030053|2023-03-06 18:03:04|
1592|3002046|160|87082999|54|1|5HY0-230410-1B200|2023-03-06 18:03:04|
1592|3002046|160|87082999|55|1|5HY0-230420-1B200|2023-03-06 18:03:04|
1592|3002046|160|87082999|56|1|7000-031820|2023-03-06 18:03:04|
1592|3002046|160|87083099|57|1|5HY0-080002, 5HY0-080004, 5HY0-080003|2023-03-06 18:03:04|
1592|3002046|160|87088005|58|1|5SYV-050103-6000|2023-03-06 18:03:04|
1592|3002046|160|87088005|59|1|5ASV-050401-6000, 5ASV-050201-6000|2023-03-06 18:03:04|
1592|3002046|160|87088005|60|1|5HYV-060401-1000, 5HYV-060201-1000|2023-03-06 18:03:04|
1592|3002046|160|87089203|61|1|5HY0-021202|2023-03-06 18:03:04|
1592|3002046|160|87089412|62|1|5ASV-102110-6000|2023-03-06 18:03:04|
1592|3002046|160|87089999|63|1|5HY0-220009|2023-03-06 18:03:04|
1592|3002046|160|87089999|64|1|5HY0-223013, 5HY0-223012|2023-03-06 18:03:04|
1592|3002046|160|87089999|65|1|5HY0-401300, 5HY0-401100A|2023-03-06 18:03:04|
1592|3002046|160|90262003|66|1|TFQ002|2023-03-06 18:03:04|
1592|3002046|160|94012001|67|1|5HY0-131000-50000|2023-03-06 18:03:04|
1592|3002046|160|94019999|68|1|5HY#-133000-1000|2023-03-06 18:03:04|
1592|3002047|160|39172991|1|1|703A-200103|2023-03-06 17:03:02|
1592|3002047|160|39199099|2|1|5HYV-190005-4000, 5SYV-19PA01-MX, 5SYV-190002-MX, 5SYV-190006-MX|2023-03-06 17:03:02|
1592|3002047|160|39211991|3|1|9030-150002|2023-03-06 17:03:02|
1592|3002047|160|39235001|4|1|5BY0-042032|2023-03-06 17:03:02|
1592|3002047|160|39263002|5|1|5HY0-041043-0ET00A, 5HY0-041041-0ET00A|2023-03-06 17:03:02|
1592|3002047|160|39263002|6|1|5HYV-043052-1C00, 5HYV-043051-1C00, 5HY#-041054-1000, 5HY0-043033, 5HY#-041053-1000, 5HY0-043062, 5HY0-041012, 5HY0-0420|2023-03-06 17:03:02|
1592|3002047|160|39263002|6|2|25, 5HY0-042026, 5HY#-042021-6000-10, 5HY#-042022-6000-10|2023-03-06 17:03:02|
1592|3002047|160|39269014|7|1|7030-150005, 9010-150004, 8010-150003|2023-03-06 17:03:02|
1592|3002047|160|39269020|8|1|5ASV-102101-6000A|2023-03-06 17:03:02|
1592|3002047|160|39269099|9|1|5SYV-044032-6000, 5BY0-080007, 5BY0-080008|2023-03-06 17:03:02|
1592|3002047|160|39269099|10|1|9060-040311, 9060-040312, 8080-000001|2023-03-06 17:03:02|
1592|3002047|160|39269099|11|1|9DS#-150009-6100-M1|2023-03-06 17:03:02|
1592|3002047|160|39269099|12|1|7030-200101|2023-03-06 17:03:02|
1592|3002047|160|39269099|13|1|9AWA-080001|2023-03-06 17:03:02|
1592|3002047|160|40091102|14|1|703V-200102-1400|2023-03-06 17:03:02|
1592|3002047|160|40169101|15|1|5HYV-040003-1000|2023-03-06 17:03:02|
1592|3002047|160|40169304|16|1|5SYV-260216-6000|2023-03-06 17:03:02|
1592|3002047|160|40169304|17|1|6KM0-130205|2023-03-06 17:03:02|
1592|3002047|160|40169304|18|1|5HY0-132004|2023-03-06 17:03:02|
1592|3002047|160|40169901|19|1|5BY0-040010|2023-03-06 17:03:02|
1592|3002047|160|40169901|20|1|9010-030005|2023-03-06 17:03:02|
1592|3002047|160|40169901|21|1|5SYV-230803-6000, 5SYV-230804-6000|2023-03-06 17:03:02|
1592|3002047|160|40169901|22|1|5HY#-130002-1000|2023-03-06 17:03:02|
