Patente|Pedimento|SeccionAduanera|Fraccion|SecuenciaFraccion|ClaveContribucion|FormaPago|ImportePago|FechaPagoReal
1592|3002046|160|87082923|52|3|0|8|2023-03-06 18:03:04|
1592|3002046|160|87082999|53|3|0|29|2023-03-06 18:03:04|
1592|3002046|160|87082999|53|6|0|9|2023-03-06 18:03:04|
1592|3002046|160|87082999|54|3|0|82|2023-03-06 18:03:04|
1592|3002046|160|87082999|54|6|0|24|2023-03-06 18:03:04|
1592|3002046|160|87082999|55|3|0|82|2023-03-06 18:03:04|
1592|3002046|160|87082999|55|6|0|24|2023-03-06 18:03:04|
1592|3002046|160|87082999|56|3|0|35|2023-03-06 18:03:04|
1592|3002046|160|87082999|56|6|0|10|2023-03-06 18:03:04|
1592|3002046|160|87083099|57|3|0|1|2023-03-06 18:03:04|
1592|3002046|160|87088005|58|3|0|116|2023-03-06 18:03:04|
1592|3002046|160|87088005|59|3|0|21|2023-03-06 18:03:04|
1592|3002046|160|87088005|60|3|0|24|2023-03-06 18:03:04|
1592|3002046|160|87089203|61|3|0|34|2023-03-06 18:03:04|
1592|3002046|160|87089412|62|3|0|385|2023-03-06 18:03:04|
1592|3002046|160|87089999|63|3|0|1|2023-03-06 18:03:04|
1592|3002046|160|87089999|64|3|0|21|2023-03-06 18:03:04|
1592|3002046|160|87089999|65|3|0|165|2023-03-06 18:03:04|
1592|3002046|160|90262003|66|3|0|7|2023-03-06 18:03:04|
1592|3002046|160|90262003|66|6|0|6|2023-03-06 18:03:04|
1592|3002046|160|94012001|67|3|0|1631|2023-03-06 18:03:04|
1592|3002046|160|94019999|68|3|0|415|2023-03-06 18:03:04|
1592|3002047|160|39172991|1|3|0|3|2023-03-06 17:03:02|
1592|3002047|160|39199099|2|3|0|28|2023-03-06 17:03:02|
1592|3002047|160|39211991|3|3|0|33|2023-03-06 17:03:02|
1592|3002047|160|39235001|4|3|0|0|2023-03-06 17:03:02|
1592|3002047|160|39235001|4|6|0|0|2023-03-06 17:03:02|
1592|3002047|160|39263002|5|3|0|50|2023-03-06 17:03:02|
1592|3002047|160|39263002|5|6|0|41|2023-03-06 17:03:02|
1592|3002047|160|39263002|6|3|0|92|2023-03-06 17:03:02|
1592|3002047|160|39263002|6|6|0|74|2023-03-06 17:03:02|
1592|3002047|160|39269014|7|3|0|143|2023-03-06 17:03:02|
1592|3002047|160|39269014|7|6|0|116|2023-03-06 17:03:02|
1592|3002047|160|39269020|8|3|0|10|2023-03-06 17:03:02|
1592|3002047|160|39269020|8|6|0|8|2023-03-06 17:03:02|
1592|3002047|160|39269099|9|3|0|2|2023-03-06 17:03:02|
1592|3002047|160|39269099|10|3|0|213|2023-03-06 17:03:02|
1592|3002047|160|39269099|11|3|0|48|2023-03-06 17:03:02|
1592|3002047|160|39269099|12|3|0|5|2023-03-06 17:03:02|
1592|3002047|160|39269099|13|3|0|39|2023-03-06 17:03:02|
1592|3002047|160|40091102|14|3|0|8|2023-03-06 17:03:02|
1592|3002047|160|40169101|15|3|0|10|2023-03-06 17:03:02|
1592|3002047|160|40169101|15|6|0|6|2023-03-06 17:03:02|
1592|3002047|160|40169304|16|3|0|126|2023-03-06 17:03:02|
1592|3002047|160|40169304|17|3|0|36|2023-03-06 17:03:02|
1592|3002047|160|40169304|18|3|0|24|2023-03-06 17:03:02|
1592|3002047|160|40169901|19|3|0|80|2023-03-06 17:03:02|
1592|3002047|160|40169901|19|6|0|24|2023-03-06 17:03:02|
1592|3002047|160|40169901|20|3|0|4|2023-03-06 17:03:02|
1592|3002047|160|40169901|20|6|0|1|2023-03-06 17:03:02|
1592|3002047|160|40169901|21|3|0|43|2023-03-06 17:03:02|
1592|3002047|160|40169901|21|6|0|13|2023-03-06 17:03:02|
1592|3002047|160|40169901|22|3|0|30|2023-03-06 17:03:02|
1592|3002047|160|40169901|22|6|0|9|2023-03-06 17:03:02|
1592|3002047|160|40169999|23|3|0|12|2023-03-06 17:03:02|
1592|3002047|160|48239099|24|3|0|56|2023-03-06 17:03:02|
1592|3002047|160|48239099|24|6|0|17|2023-03-06 17:03:02|
1592|3002047|160|49019999|26|6|0|29|2023-03-06 17:03:02|
1592|3002047|160|70091099|27|3|0|349|2023-03-06 17:03:02|
1592|3002047|160|70091099|27|6|0|282|2023-03-06 17:03:02|
1592|3002047|160|73181401|28|3|0|27|2023-03-06 17:03:02|
1592|3002047|160|73181504|29|3|0|87|2023-03-06 17:03:02|
1592|3002047|160|73181504|29|6|0|26|2023-03-06 17:03:02|
1592|3002047|160|73181599|30|3|0|118|2023-03-06 17:03:02|
1592|3002047|160|73181599|31|3|0|735|2023-03-06 17:03:02|
1592|3002047|160|73181599|32|3|0|5|2023-03-06 17:03:02|
1592|3002047|160|73181599|33|3|0|16|2023-03-06 17:03:02|
1592|3002047|160|73181599|34|3|0|110|2023-03-06 17:03:02|
1592|3002047|160|73181599|35|3|0|88|2023-03-06 17:03:02|
1592|3002047|160|73181599|36|3|0|68|2023-03-06 17:03:02|
1592|3002047|160|73181599|37|3|0|80|2023-03-06 17:03:02|
1592|3002047|160|73181599|38|3|0|36|2023-03-06 17:03:02|
1592|3002047|160|73181606|39|3|0|93|2023-03-06 17:03:02|
1592|3002047|160|73181606|40|3|0|85|2023-03-06 17:03:02|
1592|3002047|160|73181606|41|3|0|59|2023-03-06 17:03:02|
1592|3002047|160|73181606|42|3|0|18|2023-03-06 17:03:02|
1592|3002047|160|73181606|43|3|0|267|2023-03-06 17:03:02|
1592|3002047|160|73181606|44|3|0|128|2023-03-06 17:03:02|
