Patente|Pedimento|SeccionAduanera|ClaveCaso|IdentificadorCaso|TipoPedimento|ComplementoCaso|FechaValidacionPagoR
1592|3002133|160|ED|0192230SB8NK7|1||2023-04-18 10:04:01|
1592|3002133|160|ED|0438230TQXS16|1||2023-04-18 10:04:01|
1592|3002133|160|IM|482023|1||2023-04-18 10:04:01|
1592|3002133|160|PD|3|1|1|2023-04-18 10:04:01|
1592|3002133|160|PP|20239540|1||2023-04-18 10:04:01|
1592|3002134|160|CR|40|1||2023-04-18 11:04:03|
1592|3002134|160|ED|0170230QPLZL3|1||2023-04-18 11:04:03|
1592|3002134|160|ED|0192230SATUE4|1||2023-04-18 11:04:03|
1592|3002134|160|ED|0192230SBCBI4|1||2023-04-18 11:04:03|
1592|3002134|160|ED|0438230TONOH4|1||2023-04-18 11:04:03|
1592|3002134|160|IM|482023|1||2023-04-18 11:04:03|
1592|3002134|160|PD|3|1|1|2023-04-18 11:04:03|
1592|3002134|160|PP|20239540|1||2023-04-18 11:04:03|
1592|3002135|160|CR|40|1||2023-04-17 18:04:02|
1592|3002135|160|ED|0170230QPUAD8|1||2023-04-17 18:04:02|
1592|3002135|160|ED|0192230SB0JO1|1||2023-04-17 18:04:02|
1592|3002135|160|ED|0192230SBBIM5|1||2023-04-17 18:04:02|
1592|3002135|160|ED|0438230TOVJ08|1||2023-04-17 18:04:02|
1592|3002135|160|IM|482023|1||2023-04-17 18:04:02|
1592|3002135|160|PP|20239540|1||2023-04-17 18:04:02|
1592|3002145|160|CR|40|1||2023-04-26 17:04:01|
1592|3002145|160|ED|0170230QVMMC4|1||2023-04-26 17:04:01|
1592|3002145|160|ED|0192230SEQJ31|1||2023-04-26 17:04:01|
1592|3002145|160|ED|0192230SG7XF3|1||2023-04-26 17:04:01|
1592|3002145|160|ED|0438230TVISQ1|1||2023-04-26 17:04:01|
1592|3002145|160|PD|3|1|1|2023-04-26 17:04:01|
1592|3002146|160|CR|40|1||2023-04-26 17:04:03|
1592|3002146|160|ED|0170230QVMTR5|1||2023-04-26 17:04:03|
1592|3002146|160|ED|0192230SER0Z1|1||2023-04-26 17:04:03|
1592|3002146|160|ED|0192230SG8231|1||2023-04-26 17:04:03|
1592|3002146|160|ED|0438230TVIWQ4|1||2023-04-26 17:04:03|
1592|3002146|160|PD|3|1|1|2023-04-26 17:04:03|
1592|3002148|160|CR|241|1||2023-04-27 16:04:03|
1592|3002148|160|ED|0192230SGOHU1|1||2023-04-27 16:04:03|
1592|3002148|160|ED|0192230SGOLI6|1||2023-04-27 16:04:03|
1592|3002148|160|ED|0192230SGOM61|1||2023-04-27 16:04:03|
1592|3002148|160|ED|0438230TVWSY5|1||2023-04-27 16:04:03|
1592|3002148|160|PP|20239540|1||2023-04-27 16:04:03|
1592|3002152|160|CR|40|2||2023-04-25 16:04:02|
1592|3002152|160|ED|0170230QUJC51|2||2023-04-25 16:04:02|
1592|3002152|160|ED|0192230S7UQR8|2||2023-04-25 16:04:02|
1592|3002152|160|ED|0192230SEPV06|2||2023-04-25 16:04:02|
