Patente|Pedimento|SeccionAduanera|TipoFecha|FechaOperacion|FechaValidacionPagoR
3471|5600791|160|1|2025-11-17|2025-11-19 18:35:03|
1925|5100826|160|1|2025-11-11|2025-11-12 16:35:01|
1925|5700347|160|1|2025-11-17|2025-11-24 13:15:00|
1925|5700328|160|1|2025-11-17|2025-11-20 12:26:03|
3043|5603482|520|2|2025-11-20|2025-11-20 18:42:00|
3471|5600893|160|2|2025-11-21|2025-11-21 23:57:02|
1925|5700304|160|2|2025-11-28|2025-11-28 11:04:02|
3471|5600865|160|2|2025-11-14|2025-11-14 16:48:02|
3577|5102446|521|1|2025-11-19|2025-11-24 15:27:03|
1925|5100827|160|1|2025-11-11|2025-11-12 16:35:05|
1925|5700358|160|1|2025-11-17|2025-11-21 11:53:01|
1925|5100856|160|1|2025-11-17|2025-11-19 11:27:03|
3043|5603480|523|5|2025-11-10|2025-11-24 21:03:01|
1925|5700354|160|2|2025-11-20|2025-11-20 11:40:02|
3577|5102461|521|2|2025-11-27|2025-11-27 14:01:04|
1925|5001394|160|1|2025-11-11|2025-11-13 11:32:07|
1925|5700342|160|2|2025-11-22|2025-11-22 10:56:02|
1925|5700237|160|1|2025-11-11|2025-11-13 11:29:01|
1925|5700272|160|2|2025-11-19|2025-11-19 09:43:01|
3897|5611854|240|2|2025-11-21|2025-11-21 11:50:17|
1925|5100881|160|2|2025-10-31|2025-11-01 08:54:00|
1925|5700213|160|2|2025-11-12|2025-11-12 18:15:00|
1925|5700235|160|2|2025-11-13|2025-11-13 10:48:03|
3043|5603319|523|2|2025-11-11|2025-11-11 18:09:01|
3897|5611271|240|1|2025-11-03|2025-11-03 16:00:09|
1925|5700242|160|2|2025-11-13|2025-11-13 11:23:02|
3471|5600790|160|1|2025-11-17|2025-11-19 18:29:02|
1925|5001424|160|2|2025-11-19|2025-11-19 12:00:02|
3471|5600768|160|1|2025-11-17|2025-11-19 16:47:03|
3471|5600858|160|1|2025-11-11|2025-11-14 17:16:03|
1925|5700337|160|1|2025-11-17|2025-11-21 12:23:01|
1925|5700226|160|1|2025-11-11|2025-11-12 18:32:01|
3471|5600893|160|1|2025-11-17|2025-11-21 23:57:02|
1925|5700223|160|2|2025-11-12|2025-11-12 18:20:02|
1925|5100824|160|1|2025-11-11|2025-11-12 16:35:04|
1925|5700359|160|1|2025-11-17|2025-11-21 11:54:06|
3897|5611632|240|2|2025-11-13|2025-11-13 13:30:14|
3577|5102457|521|1|2025-11-24|2025-11-26 11:09:01|
1925|5700353|160|2|2025-11-20|2025-11-20 11:39:04|
1925|5700367|160|1|2025-11-17|2025-11-21 18:30:05|
3577|5102457|521|2|2025-11-26|2025-11-26 11:09:01|
3577|5102454|521|2|2025-11-27|2025-11-27 14:00:01|
1925|5700274|160|2|2025-11-19|2025-11-19 09:49:01|
1925|5001427|160|1|2025-11-17|2025-11-19 12:00:05|
1925|5700205|160|1|2025-11-11|2025-11-13 10:42:02|
1925|5700326|160|2|2025-11-20|2025-11-20 12:24:02|
3471|5600944|160|1|2025-11-25|2025-11-27 19:08:01|
1925|5700319|160|2|2025-11-28|2025-11-28 11:23:03|
1925|5700210|160|1|2025-11-11|2025-11-12 17:57:01|
3577|5102391|521|2|2025-11-13|2025-11-13 19:28:01|
3153|5000830|800|2|2025-11-06|2025-11-06 14:52:00|
3471|5600894|160|1|2025-11-17|2025-11-21 23:57:03|
3471|5600792|160|1|2025-11-11|2025-11-14 17:05:01|
3577|5102408|521|1|2025-11-13|2025-11-19 12:24:01|
3897|5611271|240|2|2025-11-03|2025-11-03 16:00:09|
3471|5600973|160|2|2025-11-21|2025-11-25 09:41:01|
1925|5700307|160|2|2025-11-28|2025-11-28 11:14:02|
1925|5700227|160|1|2025-11-11|2025-11-13 09:35:04|
1925|5700293|160|1|2025-11-25|2025-11-27 10:15:02|
3471|5600785|160|1|2025-11-17|2025-11-19 19:35:02|
3897|5611730|240|2|2025-11-19|2025-11-19 10:50:23|
1925|5700241|160|1|2025-11-11|2025-11-13 11:22:02|
3043|5003654|523|2|2025-11-28|2025-11-28 16:50:02|
1925|5700362|160|2|2025-11-21|2025-11-21 13:25:02|
3471|5600947|160|2|2025-11-28|2025-11-28 20:17:01|
3577|5102332|521|2|2025-11-06|2025-11-06 10:54:01|
3043|5003533|523|2|2025-11-14|2025-11-14 09:51:01|
1925|5700356|160|2|2025-11-21|2025-11-21 11:51:02|
1925|5001391|160|1|2025-11-11|2025-11-13 11:32:03|
1925|5700211|160|2|2025-11-12|2025-11-12 18:07:01|
3471|5600785|160|2|2025-11-19|2025-11-19 19:35:02|
1647|5006933|240|2|2025-11-10|2025-11-10 10:37:06|
1925|5700294|160|1|2025-11-25|2025-11-26 18:00:10|
1925|5700215|160|1|2025-11-11|2025-11-12 18:20:01|
1925|5700327|160|1|2025-11-17|2025-11-20 12:24:03|
3577|5102390|521|2|2025-11-19|2025-11-19 14:46:01|
1925|5001392|160|1|2025-11-11|2025-11-13 13:04:03|
3471|5600734|160|1|2025-11-17|2025-11-20 21:45:00|
1925|5700326|160|1|2025-11-17|2025-11-20 12:24:02|
1925|5001393|160|2|2025-11-13|2025-11-13 11:32:03|
3043|5603394|520|5|2025-11-03|2025-11-11 18:08:02|
1925|5700283|160|2|2025-11-19|2025-11-19 10:05:03|
1925|5700232|160|1|2025-11-11|2025-11-13 09:50:05|
3471|5600739|160|2|2025-11-20|2025-11-20 18:29:03|
1925|5700224|160|1|2025-11-11|2025-11-12 18:26:02|
3471|5600794|160|1|2025-11-11|2025-11-14 15:50:01|
1647|5016705|240|5|2025-11-10|2025-11-22 11:13:03|
3471|5600862|160|2|2025-11-14|2025-11-14 16:48:01|
1925|5700207|160|1|2025-11-11|2025-11-13 11:02:03|
3043|5003623|523|2|2025-11-26|2025-11-26 14:38:01|
3043|5003532|523|2|2025-11-26|2025-11-26 14:38:01|
3577|5102460|521|1|2025-11-24|2025-11-26 14:06:01|
1647|5006873|240|5|2025-10-20|2025-11-01 09:27:01|
1925|5700204|160|1|2025-11-11|2025-11-13 10:37:02|
1925|5700303|160|2|2025-11-28|2025-11-28 10:59:01|
3471|5600778|160|1|2025-11-17|2025-11-21 18:31:03|
3471|5600766|160|2|2025-11-19|2025-11-19 18:35:03|
3471|5600727|160|2|2025-11-13|2025-11-13 09:40:06|
1925|5700287|160|1|2025-11-25|2025-11-26 17:43:03|
1925|5001423|160|1|2025-11-17|2025-11-19 12:01:02|
1925|5700277|160|2|2025-11-19|2025-11-19 09:58:01|
3471|5600821|160|1|2025-11-17|2025-11-20 10:14:05|
3043|5003653|523|2|2025-11-28|2025-11-28 16:50:03|
3577|5102368|521|1|2025-11-08|2025-11-13 19:27:00|
1925|5700346|160|1|2025-11-17|2025-11-24 13:12:02|
1925|5700347|160|2|2025-11-24|2025-11-24 13:15:00|
1925|5100830|160|2|2025-11-12|2025-11-12 16:35:03|
1925|5001387|160|1|2025-11-11|2025-11-13 11:32:02|
1925|5700233|160|2|2025-11-13|2025-11-13 10:43:02|
3897|5611725|240|1|2025-11-19|2025-11-19 10:50:18|
3471|5600949|160|1|2025-11-25|2025-11-27 18:39:02|
1925|5700308|160|1|2025-11-25|2025-11-28 11:14:03|
1925|5100855|160|1|2025-11-17|2025-11-19 11:25:05|
1925|5100823|160|2|2025-11-12|2025-11-12 16:31:00|
1925|5100854|160|2|2025-11-19|2025-11-19 11:25:05|
1925|5001422|160|1|2025-11-17|2025-11-19 12:00:01|
3471|5600858|160|2|2025-11-14|2025-11-14 17:16:03|
3043|5603231|523|2|2025-11-03|2025-11-03 18:32:01|
1925|5700341|160|1|2025-11-17|2025-11-22 10:54:02|
1925|5700242|160|1|2025-11-11|2025-11-13 11:23:02|
3471|5600952|160|1|2025-11-25|2025-11-27 17:41:05|
1647|5016705|240|2|2025-11-22|2025-11-22 11:13:03|
3471|5600777|160|2|2025-11-21|2025-11-21 12:26:02|
1925|5001395|160|2|2025-11-13|2025-11-13 11:32:04|
3471|5600950|160|2|2025-11-27|2025-11-27 18:19:02|
3471|5600860|160|2|2025-11-14|2025-11-14 16:30:07|
1925|5700289|160|2|2025-11-26|2025-11-26 17:57:07|
3577|5102426|521|1|2025-11-14|2025-11-19 13:30:01|
1925|5700223|160|1|2025-11-11|2025-11-12 18:20:02|
3471|5600780|160|1|2025-11-17|2025-11-19 19:29:03|
1647|5017166|240|2|2025-11-27|2025-11-27 16:22:03|
3897|5611766|240|2|2025-11-19|2025-11-19 12:10:21|
3897|5611617|240|1|2025-11-13|2025-11-13 13:20:05|
1925|5700217|160|1|2025-11-11|2025-11-13 09:58:01|
1925|5001426|160|1|2025-11-17|2025-11-19 12:00:02|
3471|5600733|160|1|2025-11-17|2025-11-20 21:45:02|
1925|5700217|160|2|2025-11-13|2025-11-13 09:58:01|
1925|5700239|160|1|2025-11-11|2025-11-13 11:28:01|
1925|5700334|160|1|2025-11-17|2025-11-21 12:48:02|
1925|5700309|160|1|2025-11-25|2025-11-28 11:14:04|
1925|5001387|160|2|2025-11-13|2025-11-13 11:32:02|
3577|5102409|521|2|2025-11-18|2025-11-18 15:59:02|
1925|5100829|160|1|2025-11-11|2025-11-12 16:35:03|
3471|5600769|160|2|2025-11-19|2025-11-19 16:47:04|
1925|5700320|160|2|2025-11-28|2025-11-28 11:22:01|
3577|5102382|521|1|2025-11-11|2025-11-19 14:44:02|
3471|5600764|160|2|2025-11-19|2025-11-19 19:00:03|
1925|5700332|160|2|2025-11-21|2025-11-21 12:20:01|
1647|5006933|240|5|2025-10-27|2025-11-10 10:37:06|
1925|5700272|160|1|2025-11-17|2025-11-19 09:43:01|
1925|5700276|160|2|2025-11-19|2025-11-19 09:52:01|
3471|5600754|160|2|2025-11-19|2025-11-19 15:03:05|
3471|5600952|160|2|2025-11-27|2025-11-27 17:41:05|
3471|5600863|160|2|2025-11-14|2025-11-14 16:10:03|
3471|5600792|160|2|2025-11-14|2025-11-14 17:05:01|
3897|5611723|240|2|2025-11-19|2025-11-19 10:50:17|
1925|5100826|160|2|2025-11-12|2025-11-12 16:35:01|
1925|5100860|160|2|2025-11-19|2025-11-19 11:28:07|
1925|5700335|160|1|2025-11-17|2025-11-21 12:21:01|
1925|5100858|160|1|2025-11-17|2025-11-19 11:48:01|
1925|5700370|160|2|2025-11-21|2025-11-21 18:48:06|
3471|5600947|160|1|2025-11-25|2025-11-28 20:17:01|
3471|5600766|160|1|2025-11-17|2025-11-19 18:35:03|
1925|5700218|160|2|2025-11-13|2025-11-13 10:05:03|
1925|5700230|160|2|2025-11-13|2025-11-13 09:40:03|
1925|5100825|160|2|2025-11-12|2025-11-12 16:35:02|
1925|5700281|160|1|2025-11-17|2025-11-19 10:04:02|
1925|5001422|160|2|2025-11-19|2025-11-19 12:00:01|
1925|5700301|160|1|2025-11-25|2025-11-28 10:52:03|
1925|5700236|160|2|2025-11-13|2025-11-13 10:49:01|
1925|5700206|160|1|2025-11-11|2025-11-13 10:47:04|
3471|5600942|160|2|2025-11-27|2025-11-27 18:24:03|
1925|5700209|160|1|2025-11-11|2025-11-12 17:57:01|
3471|5600861|160|1|2025-11-11|2025-11-14 16:09:03|
3471|5600895|160|2|2025-11-14|2025-11-15 11:53:02|
1925|5700204|160|2|2025-11-13|2025-11-13 10:37:02|
3471|5600902|160|2|2025-11-21|2025-11-21 23:57:01|
3471|5600786|160|1|2025-11-17|2025-11-19 19:35:01|
1925|5700279|160|1|2025-11-17|2025-11-19 09:58:02|
1925|5700203|160|2|2025-11-13|2025-11-13 10:28:03|
3471|5600789|160|2|2025-11-19|2025-11-19 18:29:04|
3471|5600797|160|1|2025-11-11|2025-11-14 17:05:02|
1925|5700338|160|2|2025-11-22|2025-11-22 10:50:02|
1925|5700339|160|1|2025-11-17|2025-11-22 10:51:00|
3577|5102455|521|2|2025-11-26|2025-11-26 14:06:01|
3043|5603392|523|5|2025-11-03|2025-11-18 18:43:01|
1925|5100825|160|1|2025-11-11|2025-11-12 16:35:02|
1925|5700359|160|2|2025-11-21|2025-11-21 11:54:06|
1925|5700210|160|2|2025-11-12|2025-11-12 17:57:01|
3471|5600866|160|2|2025-11-14|2025-11-14 16:09:02|
1925|5700214|160|1|2025-11-11|2025-11-12 18:15:01|
1925|5100832|160|1|2025-11-11|2025-11-12 16:40:01|
3043|5003652|523|1|2025-11-24|2025-11-28 16:50:02|
3471|5600894|160|2|2025-11-21|2025-11-21 23:57:03|
1925|5100831|160|1|2025-11-11|2025-11-12 16:35:03|
1925|5700298|160|2|2025-11-27|2025-11-27 10:17:00|
1925|5700200|160|1|2025-11-11|2025-11-13 10:25:05|
3471|5600796|160|2|2025-11-14|2025-11-14 17:16:03|
1925|5700274|160|1|2025-11-17|2025-11-19 09:49:01|
1925|5700328|160|2|2025-11-20|2025-11-20 12:26:03|
3897|5611617|240|2|2025-11-13|2025-11-13 13:20:05|
1925|5700203|160|1|2025-11-11|2025-11-13 10:28:03|
1925|5700348|160|2|2025-11-24|2025-11-24 13:17:00|
1925|5100824|160|2|2025-11-12|2025-11-12 16:35:04|
3577|5102337|521|2|2025-11-05|2025-11-05 11:14:03|
3577|5102410|521|2|2025-11-18|2025-11-18 12:09:02|
3471|5600767|160|1|2025-11-17|2025-11-21 15:26:02|
1925|5001390|160|2|2025-11-13|2025-11-13 13:04:03|
1925|5700308|160|2|2025-11-28|2025-11-28 11:14:03|
3471|5600771|160|1|2025-11-17|2025-11-19 18:29:03|
1925|5700231|160|1|2025-11-11|2025-11-13 09:49:02|
3471|5600953|160|2|2025-11-27|2025-11-27 17:41:04|
3471|5600782|160|1|2025-11-17|2025-11-19 15:41:01|
1925|5700329|160|2|2025-11-20|2025-11-20 12:28:02|
1925|5001425|160|1|2025-11-17|2025-11-19 12:01:01|
3577|5102429|521|2|2025-11-20|2025-11-20 12:22:01|
3577|5102434|521|1|2025-11-15|2025-11-20 14:38:01|
1925|5700208|160|1|2025-11-11|2025-11-13 11:04:05|
1925|5700350|160|2|2025-11-24|2025-11-24 13:18:02|
3043|5603395|520|2|2025-11-11|2025-11-11 18:09:01|
1925|5700330|160|1|2025-11-17|2025-11-21 12:14:01|
3043|5003411|523|2|2025-11-04|2025-11-04 16:55:01|
3471|5600903|160|2|2025-11-21|2025-11-21 23:57:01|
3043|5603480|523|2|2025-11-24|2025-11-24 21:03:01|
3471|5600942|160|1|2025-11-25|2025-11-27 18:24:03|
1925|5100827|160|2|2025-11-12|2025-11-12 16:35:05|
