Patente|Pedimento|SeccionAduanera|Fraccion|SecuenciaFraccion|ClaveCaso|IdentificadorCaso|ComplementoCaso|FechaPagoReal
1925|5700347|160|85044099|38|EN|X|NOM-024-SCFI-2013|2025-11-24 13:15:00|
1925|5700347|160|40169901|24|PS|XIX||2025-11-24 13:15:00|
1925|5700350|160|87082999|22|PS|XIX||2025-11-24 13:18:02|
1925|5001423|160|73181504|268|EN|X|NOM-050-SCFI-2004|2025-11-19 12:01:02|
1925|5001423|160|73181599|107|EC|1||2025-11-19 12:01:02|
1925|5700357|160|73181599|2|EC|1||2025-11-21 11:53:02|
1925|5700289|160|87082999|27|PS|XIX||2025-11-26 17:57:07|
1925|5700287|160|87082999|6|PS|XIX||2025-11-26 17:43:03|
1925|5700287|160|87085099|33|PS|XIX||2025-11-26 17:43:03|
1925|5700287|160|87082999|8|PS|XIX||2025-11-26 17:43:03|
1925|5700331|160|73181599|13|EN|X|NOM-050-SCFI-2004|2025-11-21 12:15:02|
1925|5700286|160|73269099|2|XP|T1|U|2025-11-26 17:34:04|
1925|5700287|160|87082999|27|PS|XIX||2025-11-26 17:43:03|
3471|5600778|160|98020019|48|EC|1||2025-11-21 18:31:03|
1925|5700296|160|63079099|3|XP|T1|U|2025-11-26 18:05:02|
1925|5700350|160|87082999|14|PS|XIX||2025-11-24 13:18:02|
1925|5700349|160|87089999|18|EN|X|NOM-050-SCFI-2004|2025-11-24 13:18:01|
1925|5700287|160|87085099|15|EN|X|NOM-050-SCFI-2004|2025-11-26 17:43:03|
3471|5600778|160|87089203|262|EN|X|NOM-050-SCFI-2004|2025-11-21 18:31:03|
1925|5100854|160|87089999|90|EN|X|NOM-050-SCFI-2004|2025-11-19 11:25:05|
1925|5100854|160|73181599|7|EC|1||2025-11-19 11:25:05|
3471|5600776|160|39263002|9|PS|XIX||2025-11-21 18:08:02|
1925|5700287|160|87085099|31|EN|X|NOM-050-SCFI-2004|2025-11-26 17:43:03|
1925|5700349|160|73181599|1|EN|X|NOM-050-SCFI-2004|2025-11-24 13:18:01|
3043|5003623|523|56090002|1|MA| ||2025-11-26 14:38:01|
3043|5003622|523|56090002|1|EN|ENOM|NOM-004-SE-2021|2025-11-26 14:38:02|
3471|5600778|160|39269099|16|XP|S3|U|2025-11-21 18:31:03|
1925|5700289|160|87082999|6|PS|XIX||2025-11-26 17:57:07|
1925|5700349|160|87082999|3|PS|XIX||2025-11-24 13:18:01|
1925|5700369|160|39269099|66|EN|X|NOM-050-SCFI-2004|2025-11-21 18:50:03|
1925|5700287|160|87088099|10|EN|X|NOM-050-SCFI-2004|2025-11-26 17:43:03|
1925|5700286|160|73269099|1|XP|T9|U|2025-11-26 17:34:04|
1925|5700289|160|87082999|21|PS|XIX||2025-11-26 17:57:07|
3577|5102457|521|84672101|1|EN|X|NOM-003-SCFI-2014|2025-11-26 11:09:01|
1925|5700343|160|39269029|54|EN|X|NOM-050-SCFI-2004|2025-11-22 10:57:01|
1925|5700273|160|87089999|73|EN|X|NOM-050-SCFI-2004|2025-11-19 09:44:04|
3471|5600782|160|87082999|110|PS|XIX||2025-11-19 15:41:01|
1925|5700367|160|84213199|1|EN|X|NOM-050-SCFI-2004|2025-11-21 18:30:05|
1925|5700348|160|73269099|1|XP|T9|U|2025-11-24 13:17:00|
1925|5700349|160|85444299|13|PS|XIX||2025-11-24 13:18:01|
1925|5700289|160|87082999|34|PS|XIX||2025-11-26 17:57:07|
1925|5700289|160|87082201|31|PS|XIX||2025-11-26 17:57:07|
1925|5700367|160|87088007|9|PS|XIX||2025-11-21 18:30:05|
1925|5700347|160|87089999|6|EN|X|NOM-050-SCFI-2004|2025-11-24 13:15:00|
1925|5700287|160|87089999|2|EN|X|NOM-050-SCFI-2004|2025-11-26 17:43:03|
1925|5700350|160|87082999|1|PS|XIX||2025-11-24 13:18:02|
1925|5700287|160|84213199|1|EN|X|NOM-050-SCFI-2004|2025-11-26 17:43:03|
1925|5700287|160|87089412|11|EN|X|NOM-050-SCFI-2004|2025-11-26 17:43:03|
3043|5003622|523|56090002|1|EX|31||2025-11-26 14:38:02|
1925|5700347|160|87082999|12|PS|XIX||2025-11-24 13:15:00|
1925|5700339|160|39269099|56|XP|S1|U|2025-11-22 10:51:00|
1925|5001421|160|73181599|3|EC|1||2025-11-19 12:01:02|
1925|5700277|160|85365099|64|EN|U|NOM-003-SCFI-2014|2025-11-19 09:58:01|
3471|5600778|160|87088099|259|PS|XIX||2025-11-21 18:31:03|
1925|5100827|160|39269099|158|EN|X|NOM-050-SCFI-2004|2025-11-12 16:35:05|
3043|5003412|523|73269099|1|EO|1||2025-11-26 17:04:02|
1925|5700289|160|87082999|26|PS|XIX||2025-11-26 17:57:07|
1925|5700289|160|87082999|13|PS|XIX||2025-11-26 17:57:07|
1925|5700367|160|87085099|34|PS|XIX||2025-11-21 18:30:05|
1925|5700289|160|87082999|28|PS|XIX||2025-11-26 17:57:07|
1925|5700347|160|87082999|2|PS|XIX||2025-11-24 13:15:00|
1925|5700347|160|39269099|57|EN|X|NOM-050-SCFI-2004|2025-11-24 13:15:00|
1925|5700294|160|73269099|2|XP|T1|U|2025-11-26 18:00:10|
1925|5700287|160|84253101|24|PS|XIX||2025-11-26 17:43:03|
1925|5700289|160|87082999|32|PS|XIX||2025-11-26 17:57:07|
1925|5700218|160|73269099|46|XP|T9|U|2025-11-13 10:05:03|
1925|5700335|160|87082999|42|PS|XIX||2025-11-21 12:21:01|
1925|5100856|160|39269099|104|EN|X|NOM-050-SCFI-2004|2025-11-19 11:27:03|
1925|5700281|160|73181606|36|EN|X|NOM-050-SCFI-2004|2025-11-19 10:04:02|
3471|5600778|160|83023091|114|PS|XIX||2025-11-21 18:31:03|
1925|5001392|160|39269099|44|XP|S3|U|2025-11-13 13:04:03|
1925|5700289|160|87082201|30|PS|XIX||2025-11-26 17:57:07|
1925|5700289|160|87082201|37|PS|XIX||2025-11-26 17:57:07|
1925|5700289|160|87082999|3|PS|XIX||2025-11-26 17:57:07|
3471|5600779|160|73269099|8|XP|T9|U|2025-11-21 12:26:01|
1925|5700349|160|85365099|15|EN|U|NOM-024-SCFI-2013|2025-11-24 13:18:01|
1925|5700289|160|87082999|35|PS|XIX||2025-11-26 17:57:07|
1925|5700347|160|85044099|38|EN|U|NOM-001-SCFI-2018|2025-11-24 13:15:00|
1925|5700349|160|87082999|12|PS|XIX||2025-11-24 13:18:01|
1925|5700289|160|87082999|12|PS|XIX||2025-11-26 17:57:07|
1925|5001374|160|73181599|204|EN|X|NOM-050-SCFI-2004|2025-11-01 11:06:01|
1925|5700214|160|84833004|82|EN|X|NOM-050-SCFI-2004|2025-11-12 18:15:01|
1925|5700339|160|87082999|11|PS|XIX||2025-11-22 10:51:00|
3471|5600785|160|87082999|58|PS|XIX||2025-11-19 19:35:02|
1925|5700279|160|73181599|28|EC|1||2025-11-19 09:58:02|
3471|5600778|160|98020019|83|EC|1||2025-11-21 18:31:03|
1925|5100823|160|39269099|195|XP|A1|U|2025-11-12 16:31:00|
1925|5001374|160|39269099|130|XP|S3|U|2025-11-01 11:06:01|
1925|5700347|160|87089203|8|EN|X|NOM-050-SCFI-2004|2025-11-24 13:15:00|
1925|5700212|160|87082201|7|PS|XIX||2025-11-12 18:08:01|
1925|5700345|160|85182202|38|EN|U|NOM-001-SCFI-2018|2025-11-22 10:59:02|
1925|5700347|160|87089999|44|EN|X|NOM-050-SCFI-2004|2025-11-24 13:15:00|
1925|5700289|160|87082201|29|PS|XIX||2025-11-26 17:57:07|
1925|5700339|160|73269099|55|XP|T9|U|2025-11-22 10:51:00|
1925|5700238|160|87087006|115|EN|X|NOM-050-SCFI-2004|2025-11-13 14:41:01|
1925|5700316|160|39269099|117|XP|S3|U|2025-11-28 11:26:01|
1925|5001374|160|85182202|117|EN|E|NOM-032-ENER-2013|2025-11-01 11:06:01|
1925|5001394|160|73269099|71|XP|T1|U|2025-11-13 11:32:07|
1925|5700347|160|39269099|58|EN|X|NOM-050-SCFI-2004|2025-11-24 13:15:00|
3471|5600785|160|39263002|6|PS|XIX||2025-11-19 19:35:02|
1925|5700277|160|87082999|70|PS|XIX||2025-11-19 09:58:01|
3471|5600778|160|87089999|282|EN|X|NOM-050-SCFI-2004|2025-11-21 18:31:03|
1925|5100823|160|73181599|104|EN|X|NOM-050-SCFI-2004|2025-11-12 16:31:00|
1925|5001374|160|40169901|2|PS|XIX||2025-11-01 11:06:01|
1925|5700316|160|87089999|97|EN|X|NOM-050-SCFI-2004|2025-11-28 11:26:01|
1925|5100827|160|39269099|132|EN|U|NOM-002-CONAGUA-2021|2025-11-12 16:35:05|
1925|5700340|160|73269099|2|XP|T9|U|2025-11-22 10:52:02|
1925|5700339|160|87087099|20|EN|X|NOM-086-1-SCFI-2020|2025-11-22 10:51:00|
1925|5700347|160|87082999|50|PS|XIX||2025-11-24 13:15:00|
1925|5700367|160|87085099|16|PS|XIX||2025-11-21 18:30:05|
1925|5100827|160|39269099|88|XP|S3|U|2025-11-12 16:35:05|
3471|5600946|160|98020019|227|EC|1||2025-11-28 20:35:00|
1925|5001374|160|73181599|21|EN|X|NOM-050-SCFI-2004|2025-11-01 11:06:01|
1925|5700218|160|73181599|1|EC|1||2025-11-13 10:05:03|
1925|5700339|160|73181599|52|EC|1||2025-11-22 10:51:00|
3471|5600787|160|73269099|102|XP|T9|U|2025-11-20 10:54:04|
1925|5700273|160|87085099|61|EN|X|NOM-050-SCFI-2004|2025-11-19 09:44:04|
3471|5600778|160|87082999|158|PS|XIX||2025-11-21 18:31:03|
1925|5001388|160|85365099|35|EN|X|NOM-024-SCFI-2013|2025-11-13 13:04:02|
1925|5001374|160|73269099|47|XP|T9|U|2025-11-01 11:06:01|
3471|5600946|160|98020019|171|EC|1||2025-11-28 20:35:00|
1925|5700208|160|87082999|11|PS|XIX||2025-11-13 11:04:05|
1925|5700339|160|84152001|43|EN|X|NOM-050-SCFI-2004|2025-11-22 10:51:00|
1925|5700349|160|87087006|10|PS|XIX||2025-11-24 13:18:01|
1925|5700339|160|73181599|53|EC|1||2025-11-22 10:51:00|
1925|5700347|160|85044099|74|PS|XIX||2025-11-24 13:15:00|
1925|5100823|160|73181599|144|EN|X|NOM-050-SCFI-2004|2025-11-12 16:31:00|
3471|5600946|160|39269099|10|XP|S3|U|2025-11-28 20:35:00|
1925|5001374|160|70091099|261|EN|U|NOM-050-SCFI-2004|2025-11-01 11:06:01|
1925|5700218|160|39269099|191|XP|S3|U|2025-11-13 10:05:03|
3471|5600778|160|39269099|11|EN|U|NOM-002-CONAGUA-2021|2025-11-21 18:31:03|
1925|5100854|160|73181606|9|EN|X|NOM-050-SCFI-2004|2025-11-19 11:25:05|
3471|5600789|160|73181599|37|EC|1||2025-11-19 18:29:04|
3471|5600778|160|87082999|189|PS|XIX||2025-11-21 18:31:03|
1925|5100831|160|87089999|52|EN|X|NOM-050-SCFI-2004|2025-11-12 16:35:03|
1925|5001374|160|73181599|31|EN|X|NOM-050-SCFI-2004|2025-11-01 11:06:01|
3471|5600946|160|98020019|245|EC|1||2025-11-28 20:35:00|
1925|5700238|160|87082999|144|PS|XIX||2025-11-13 14:41:01|
1925|5700357|160|73181599|29|EN|X|NOM-050-SCFI-2004|2025-11-21 11:53:02|
1925|5700333|160|84152001|10|EN|X|NOM-050-SCFI-2004|2025-11-21 12:20:02|
3471|5600776|160|85044099|65|EN|X|NOM-001-SCFI-2018|2025-11-21 18:08:02|
1925|5700357|160|39173999|142|EN|U|NOM-209-SCFI-2017|2025-11-21 11:53:02|
1925|5700238|160|73181599|18|EC|1||2025-11-13 14:41:01|
3471|5600946|160|40169304|18|EN|U|NOM-002-CONAGUA-2021|2025-11-28 20:35:00|
1925|5001374|160|73181599|25|EN|X|NOM-050-SCFI-2004|2025-11-01 11:06:01|
1925|5001394|160|40093205|117|EN|X|NOM-209-SCFI-2017|2025-11-13 11:32:07|
3471|5600778|160|87082999|242|PS|XIX||2025-11-21 18:31:03|
1925|5100854|160|87088007|163|PS|XIX||2025-11-19 11:25:05|
1925|5100856|160|87082999|185|PS|XIX||2025-11-19 11:27:03|
3471|5600778|160|87082999|304|PS|XIX||2025-11-21 18:31:03|
1925|5100827|160|39263002|73|EN|U|NOM-050-SCFI-2004|2025-11-12 16:35:05|
1925|5001374|160|87082999|231|PS|XIX||2025-11-01 11:06:01|
3471|5600944|160|98020019|202|EC|1||2025-11-27 19:08:01|
1925|5700216|160|87082999|74|PS|XIX||2025-11-12 18:20:01|
1925|5700357|160|73181599|29|EC|1||2025-11-21 11:53:02|
1925|5700339|160|70091099|35|EN|X|NOM-050-SCFI-2004|2025-11-22 10:51:00|
3471|5600776|160|85182202|69|EN|X|NOM-032-ENER-2013|2025-11-21 18:08:02|
1925|5700357|160|87089999|73|EN|X|NOM-050-SCFI-2004|2025-11-21 11:53:02|
1925|5100823|160|84213199|1|PS|XIX||2025-11-12 16:31:00|
3471|5600950|160|87088007|77|EN|X|NOM-050-SCFI-2004|2025-11-27 18:19:02|
1925|5001374|160|39191001|144|EN|X|NOM-050-SCFI-2004|2025-11-01 11:06:01|
1925|5001394|160|73182291|47|EN|X|NOM-050-SCFI-2004|2025-11-13 11:32:07|
3471|5600778|160|39269099|15|EN|X|NOM-050-SCFI-2004|2025-11-21 18:31:03|
1925|5700273|160|85365099|41|EN|U|NOM-003-SCFI-2014|2025-11-19 09:44:04|
1925|5001427|160|87085099|57|EN|X|NOM-050-SCFI-2004|2025-11-19 12:00:05|
1925|5700339|160|85044099|30|EN|X|NOM-024-SCFI-2013|2025-11-22 10:51:00|
1925|5700242|160|87082999|17|PS|XIX||2025-11-13 11:23:02|
1925|5001374|160|73181599|26|EN|X|NOM-050-SCFI-2004|2025-11-01 11:06:01|
3471|5600944|160|39269099|3|EN|X|NOM-050-SCFI-2004|2025-11-27 19:08:01|
1925|5100823|160|73181599|89|EN|X|NOM-050-SCFI-2004|2025-11-12 16:31:00|
1925|5700357|160|85365099|107|EN|U|NOM-024-SCFI-2013|2025-11-21 11:53:02|
1925|5700347|160|39269099|53|XP|S1|U|2025-11-24 13:15:00|
1925|5700349|160|39269099|28|XP|A1|U|2025-11-24 13:18:01|
1925|5700357|160|87082999|151|PS|XIX||2025-11-21 11:53:02|
1925|5001394|160|87089999|138|EN|X|NOM-050-SCFI-2004|2025-11-13 11:32:07|
1925|5700306|160|73269099|34|XP|T9|U|2025-11-28 11:04:03|
1647|5006873|240|87032199|1|OV|1||2025-11-01 09:27:01|
1925|5700218|160|73181599|20|EN|X|NOM-050-SCFI-2004|2025-11-13 10:05:03|
3471|5600778|160|98020019|43|EC|1||2025-11-21 18:31:03|
3471|5600785|160|85044099|26|EN|X|NOM-001-SCFI-2018|2025-11-19 19:35:02|
1925|5700281|160|73269099|89|XP|T9|U|2025-11-19 10:04:02|
3471|5600776|160|39269099|17|XP|A1|U|2025-11-21 18:08:02|
1925|5001388|160|87089999|81|EN|X|NOM-050-SCFI-2004|2025-11-13 13:04:02|
1925|5001374|160|87088007|243|PS|XIX||2025-11-01 11:06:01|
3471|5600946|160|87082999|90|PS|XIX||2025-11-28 20:35:00|
1925|5001394|160|73181599|39|EC|1||2025-11-13 11:32:07|
3471|5600778|160|40093205|24|EN|U|NOM-209-SCFI-2017|2025-11-21 18:31:03|
1925|5700335|160|87082999|8|PS|XIX||2025-11-21 12:21:01|
1925|5700332|160|73269099|3|XP|T9|U|2025-11-21 12:20:01|
3471|5600767|160|39232991|2|XP|A1|U|2025-11-21 15:26:02|
1925|5700216|160|87082999|18|PS|XIX||2025-11-12 18:20:01|
1925|5700351|160|87082999|27|PS|XIX||2025-11-28 14:22:01|
1925|5001374|160|73181599|9|EN|X|NOM-050-SCFI-2004|2025-11-01 11:06:01|
1925|5001394|160|85365099|78|EN|U|NOM-024-SCFI-2013|2025-11-13 11:32:07|
3471|5600778|160|39269099|15|XP|S1|U|2025-11-21 18:31:03|
3471|5600780|160|87082999|53|PS|XIX||2025-11-19 19:29:03|
1925|5100854|160|73269099|120|XP|T1|U|2025-11-19 11:25:05|
1925|5700331|160|87082999|106|PS|XIX||2025-11-21 12:15:02|
1925|5700242|160|87082999|15|PS|XIX||2025-11-13 11:23:02|
3577|5102331|521|87082999|2|PS|XIX||2025-11-03 16:09:01|
1925|5700302|160|73181606|17|EN|X|NOM-050-SCFI-2004|2025-11-28 11:39:01|
1925|5001388|160|85044099|96|EN|U|NOM-001-SCFI-2018|2025-11-13 13:04:02|
1925|5700331|160|85122099|131|PS|XIX||2025-11-21 12:15:02|
1925|5700347|160|39269099|57|EN|U|NOM-002-CONAGUA-2021|2025-11-24 13:15:00|
1925|5700347|160|87089203|9|EN|X|NOM-050-SCFI-2004|2025-11-24 13:15:00|
1925|5700339|160|39269099|54|XP|S3|U|2025-11-22 10:51:00|
1925|5001395|160|73181599|13|EN|ENOM|NOM-050-SCFI-2004|2025-11-13 11:32:04|
3471|5600950|160|87088007|78|PS|XIX||2025-11-27 18:19:02|
1925|5001374|160|73181599|63|EC|1||2025-11-01 11:06:01|
1925|5700226|160|73269099|121|XP|T9|U|2025-11-12 18:32:01|
1925|5700335|160|73181504|27|PS|XIX||2025-11-21 12:21:01|
3471|5600787|160|73269099|94|XP|T1|U|2025-11-20 10:54:04|
1925|5001425|160|87082999|73|PS|XIX||2025-11-19 12:01:01|
3471|5600778|160|98020019|94|EC|1||2025-11-21 18:31:03|
1925|5700240|160|73181606|7|EN|X|NOM-050-SCFI-2004|2025-11-13 11:24:02|
1925|5001374|160|39269099|269|EN|X|NOM-002-CONAGUA-2021|2025-11-01 11:06:01|
1925|5700320|160|87082999|72|PS|XIX||2025-11-28 11:22:01|
1925|5100825|160|85122002|19|EN|X|NOM-024-SCFI-2013|2025-11-12 16:35:02|
1925|5700357|160|40093205|104|EN|X|NOM-209-SCFI-2017|2025-11-21 11:53:02|
1925|5700347|160|39269099|58|XP|S1|U|2025-11-24 13:15:00|
3471|5600778|160|85182202|128|EN|U|NOM-001-SCFI-2018|2025-11-21 18:31:03|
1925|5700365|160|87082999|34|PS|XIX||2025-11-21 13:40:02|
1925|5100823|160|73181599|70|EC|1||2025-11-12 16:31:00|
1925|5700302|160|73181599|8|EC|1||2025-11-28 11:39:01|
1925|5001374|160|39269099|270|XP|S1|U|2025-11-01 11:06:01|
1925|5100825|160|87089999|134|EN|X|NOM-050-SCFI-2004|2025-11-12 16:35:02|
3471|5600778|160|98020019|77|EC|1||2025-11-21 18:31:03|
1925|5700283|160|87082999|20|PS|XIX||2025-11-19 10:05:03|
1925|5700271|160|40169901|137|PS|XIX||2025-11-19 09:42:02|
1925|5700331|160|87082201|64|PS|XIX||2025-11-21 12:15:02|
1925|5700226|160|87088099|43|PS|XIX||2025-11-12 18:32:01|
1925|5001374|160|73181599|29|EC|1||2025-11-01 11:06:01|
3471|5600946|160|40093205|16|EN|U|NOM-209-SCFI-2017|2025-11-28 20:35:00|
1925|5700214|160|39263002|50|PS|XIX||2025-11-12 18:15:01|
3471|5600777|160|73269099|3|XP|T1|U|2025-11-21 12:26:02|
1925|5700350|160|87082999|13|PS|XIX||2025-11-24 13:18:02|
3471|5600778|160|85365099|134|EN|U|NOM-003-SCFI-2014|2025-11-21 18:31:03|
1925|5700356|160|73269099|6|XP|T1|U|2025-11-21 11:51:02|
1925|5100826|160|73269099|4|XP|T1|U|2025-11-12 16:35:01|
3471|5600944|160|98020019|213|EC|1||2025-11-27 19:08:01|
1925|5100881|160|73269099|5|XP|T9|U|2025-11-01 08:54:00|
1925|5700226|160|87082999|35|PS|XIX||2025-11-12 18:32:01|
3471|5600778|160|98020019|67|EC|1||2025-11-21 18:31:03|
1925|5100854|160|39269099|128|EN|X|NOM-050-SCFI-2004|2025-11-19 11:25:05|
3471|5600789|160|73181599|37|EN|X|NOM-050-SCFI-2004|2025-11-19 18:29:04|
3471|5600767|160|73181599|3|EN|ENOM|NOM-050-SCFI-2004|2025-11-21 15:26:02|
1925|5100827|160|87089999|165|EN|X|NOM-050-SCFI-2004|2025-11-12 16:35:05|
1925|5001374|160|73182291|46|EN|X|NOM-050-SCFI-2004|2025-11-01 11:06:01|
