Patente|Pedimento|SeccionAduanera|Fraccion|SecuenciaFraccion|ClaveCaso|IdentificadorCaso|ComplementoCaso|FechaPagoReal
3471|5600895|160|87082999|53|PS|XIX||2025-11-15 11:53:02|
1925|5700350|160|87082999|6|PS|XIX||2025-11-24 13:18:02|
3577|5102409|521|84672902|1|EN|X|NOM-003-SCFI-2014|2025-11-18 15:59:02|
3043|5603392|523|87032199|1|OV|1||2025-11-18 18:43:01|
3471|5600895|160|87082999|57|PS|XIX||2025-11-15 11:53:02|
3471|5600895|160|39269099|12|XP|S3|U|2025-11-15 11:53:02|
1925|5700357|160|73181599|7|EC|1||2025-11-21 11:53:02|
3471|5600895|160|85365099|41|EN|X|NOM-024-SCFI-2013|2025-11-15 11:53:02|
3577|5102403|521|73121099|1|EC|1||2025-11-18 13:44:01|
3471|5600776|160|87082999|109|PS|XIX||2025-11-21 18:08:02|
3471|5600895|160|87082999|64|PS|XIX||2025-11-15 11:53:02|
3471|5600895|160|39269099|11|EN|U|NOM-002-CONAGUA-2021|2025-11-15 11:53:02|
3043|5003533|523|56090002|1|EX|31||2025-11-14 09:51:01|
3577|5102401|521|84672902|1|EN|X|NOM-024-SCFI-2013|2025-11-18 13:32:00|
1925|5700350|160|87082999|10|PS|XIX||2025-11-24 13:18:02|
3471|5600895|160|85182202|38|EN|X|NOM-024-SCFI-2013|2025-11-15 11:53:02|
3471|5600895|160|87089999|106|EN|X|NOM-050-SCFI-2004|2025-11-15 11:53:02|
3471|5600778|160|39173999|2|EN|U|NOM-209-SCFI-2017|2025-11-21 18:31:03|
1925|5700289|160|87082999|8|PS|XIX||2025-11-26 17:57:07|
1925|5700347|160|85044099|74|EN|U|NOM-001-SCFI-2018|2025-11-24 13:15:00|
3471|5600895|160|40169304|15|EN|U|NOM-002-CONAGUA-2021|2025-11-15 11:53:02|
3471|5600895|160|87082999|58|PS|XIX||2025-11-15 11:53:02|
1925|5700345|160|87082999|13|PS|XIX||2025-11-22 10:59:02|
3471|5600895|160|87082999|56|PS|XIX||2025-11-15 11:53:02|
3471|5600895|160|40169901|17|PS|XIX||2025-11-15 11:53:02|
1925|5700359|160|39269099|29|EN|U|NOM-002-CONAGUA-2021|2025-11-21 11:54:06|
3471|5600895|160|39269099|8|XP|S1|U|2025-11-15 11:53:02|
3471|5600895|160|87089999|101|EN|X|NOM-050-SCFI-2004|2025-11-15 11:53:02|
1925|5700287|160|87082999|5|PS|XIX||2025-11-26 17:43:03|
1925|5700350|160|87082999|20|PS|XIX||2025-11-24 13:18:02|
3471|5600778|160|87082999|196|PS|XIX||2025-11-21 18:31:03|
3471|5600895|160|85044099|37|EN|X|NOM-024-SCFI-2013|2025-11-15 11:53:02|
3471|5600895|160|85044099|37|EN|X|NOM-001-SCFI-2018|2025-11-15 11:53:02|
1925|5700343|160|39269099|56|XP|A1|U|2025-11-22 10:57:01|
3043|5003412|523|73269099|1|XP|T3|U|2025-11-26 17:04:02|
1925|5700286|160|73269099|2|XP|T9|U|2025-11-26 17:34:04|
3471|5600895|160|87089412|96|EN|X|NOM-050-SCFI-2004|2025-11-15 11:53:02|
3471|5600895|160|87089999|107|EN|X|NOM-050-SCFI-2004|2025-11-15 11:53:02|
3471|5600778|160|87082999|168|PS|XIX||2025-11-21 18:31:03|
3471|5600895|160|39269099|13|XP|S1|U|2025-11-15 11:53:02|
3043|5603392|523|87032199|1|PT| ||2025-11-18 18:43:01|
3471|5600778|160|98020019|60|EC|1||2025-11-21 18:31:03|
3471|5600895|160|39269099|6|EN|U|NOM-002-CONAGUA-2021|2025-11-15 11:53:02|
3471|5600895|160|87087099|88|EN|U|NOM-050-SCFI-2004|2025-11-15 11:53:02|
1925|5700287|160|84213199|1|PS|XIX||2025-11-26 17:43:03|
1925|5700286|160|73269099|1|XP|T1|U|2025-11-26 17:34:04|
3471|5600779|160|73181599|4|EN|ENOM|NOM-050-SCFI-2004|2025-11-21 12:26:01|
3577|5102401|521|84672902|1|EN|X|NOM-003-SCFI-2014|2025-11-18 13:32:00|
3471|5600895|160|84099199|34|EN|X|NOM-050-SCFI-2004|2025-11-15 11:53:02|
1925|5700357|160|87082999|168|PS|XIX||2025-11-21 11:53:02|
1925|5700347|160|85443099|35|EN|X|NOM-024-SCFI-2013|2025-11-24 13:15:00|
1925|5700350|160|87082999|12|PS|XIX||2025-11-24 13:18:02|
3471|5600895|160|87082999|50|PS|XIX||2025-11-15 11:53:02|
3471|5600895|160|85365099|40|EN|X|NOM-024-SCFI-2013|2025-11-15 11:53:02|
3471|5600778|160|87082999|221|PS|XIX||2025-11-21 18:31:03|
3471|5600895|160|85365099|41|EN|U|NOM-003-SCFI-2014|2025-11-15 11:53:02|
1925|5700349|160|39269099|29|XP|A1|U|2025-11-24 13:18:01|
1925|5700349|160|39269099|29|EN|U|NOM-002-CONAGUA-2021|2025-11-24 13:18:01|
3471|5600895|160|83023091|33|PS|XIX||2025-11-15 11:53:02|
3471|5600895|160|73269099|32|XP|T3|U|2025-11-15 11:53:02|
1925|5700289|160|87082999|36|PS|XIX||2025-11-26 17:57:07|
1925|5700347|160|87082999|46|PS|XIX||2025-11-24 13:15:00|
3471|5600778|160|87089999|274|EN|X|NOM-050-SCFI-2004|2025-11-21 18:31:03|
3471|5600895|160|39269099|13|XP|A1|U|2025-11-15 11:53:02|
3471|5600895|160|39235001|4|PS|XIX||2025-11-15 11:53:02|
3471|5600776|160|98020019|55|EC|1||2025-11-21 18:08:02|
1925|5700347|160|39269099|57|XP|A1|U|2025-11-24 13:15:00|
1925|5700349|160|85365099|2|EN|X|NOM-003-SCFI-2014|2025-11-24 13:18:01|
3471|5600895|160|39269099|11|XP|S3|U|2025-11-15 11:53:02|
1925|5700289|160|87082999|7|PS|XIX||2025-11-26 17:57:07|
3471|5600778|160|85044099|122|PS|XIX||2025-11-21 18:31:03|
1925|5700350|160|87082999|24|PS|XIX||2025-11-24 13:18:02|
1925|5700294|160|73269099|4|XP|T1|U|2025-11-26 18:00:10|
1925|5700369|160|87082101|58|EN|X|NOM-119-SCFI-2000|2025-11-21 18:50:03|
1925|5700287|160|87089412|12|EN|X|NOM-050-SCFI-2004|2025-11-26 17:43:03|
3471|5600895|160|87082999|62|PS|XIX||2025-11-15 11:53:02|
1925|5700286|160|73269099|3|XP|T1|U|2025-11-26 17:34:04|
1925|5700347|160|85365099|40|EN|X|NOM-003-SCFI-2014|2025-11-24 13:15:00|
1925|5700369|160|39269099|61|EN|X|NOM-050-SCFI-2004|2025-11-21 18:50:03|
3471|5600895|160|87082999|48|PS|XIX||2025-11-15 11:53:02|
3471|5600895|160|39269099|8|EN|U|NOM-002-CONAGUA-2021|2025-11-15 11:53:02|
1925|5700339|160|87082999|19|PS|XIX||2025-11-22 10:51:00|
1925|5700287|160|87088007|9|PS|XIX||2025-11-26 17:43:03|
1925|5700348|160|73269099|2|XP|T9|U|2025-11-24 13:17:00|
3043|5603480|523|73269099|1|XP|T8|U|2025-11-24 21:03:01|
1925|5700287|160|87089999|3|EN|X|NOM-050-SCFI-2004|2025-11-26 17:43:03|
1925|5700349|160|84253101|14|PS|XIX||2025-11-24 13:18:01|
1925|5700349|160|39269099|28|XP|S1|U|2025-11-24 13:18:01|
3043|5003623|523|56090002|1|EN|ENOM|NOM-004-SE-2021|2025-11-26 14:38:01|
3471|5600778|160|87082999|200|PS|XIX||2025-11-21 18:31:03|
1925|5700350|160|87082999|26|PS|XIX||2025-11-24 13:18:02|
1925|5700347|160|87089999|21|EN|X|NOM-050-SCFI-2004|2025-11-24 13:15:00|
