Patente|Pedimento|SeccionAduanera|Fraccion|SecuenciaFraccion|ClaveContribucion|FormaPago|ImportePago|FechaPagoReal
1925|5001374|160|73181599|56|6|0|93|2025-11-01 11:06:01|
1925|5700367|160|87082999|17|3|0|216|2025-11-21 18:30:05|
1925|5001374|160|85371006|70|3|0|11925|2025-11-01 11:06:01|
1925|5001423|160|87082201|63|3|0|178|2025-11-19 12:01:02|
1925|5001374|160|73181599|28|3|0|161|2025-11-01 11:06:01|
1637|5201476|521|74122001|16|3|0|2233|2025-11-06 23:20:01|
3577|5102456|521|84672101|1|3|0|2155|2025-11-27 13:51:00|
3471|5600787|160|87082999|175|3|0|343|2025-11-20 10:54:04|
1925|5700331|160|87082999|106|3|0|1290|2025-11-21 12:15:02|
3471|5600946|160|98020019|182|3|0|17|2025-11-28 20:35:00|
1925|5001374|160|85365099|126|3|0|493|2025-11-01 11:06:01|
1925|5001374|160|73182403|48|3|0|15|2025-11-01 11:06:01|
1925|5100854|160|73181599|89|6|0|41|2025-11-19 11:25:05|
3043|5003411|523|56090002|1|3|0|7683|2025-11-04 16:55:01|
3471|5600788|160|73269099|5|3|0|198|2025-11-20 10:54:04|
1925|5001374|160|73181599|54|3|0|660|2025-11-01 11:06:01|
1925|5001374|160|87082999|161|3|0|416|2025-11-01 11:06:01|
1925|5700367|160|94019999|40|3|0|66|2025-11-21 18:30:05|
1925|5100881|160|73269099|5|6|0|168|2025-11-01 08:54:00|
1925|5001423|160|87088005|203|3|0|4000|2025-11-19 12:01:02|
1925|5001374|160|73181599|7|6|0|25|2025-11-01 11:06:01|
1925|5001374|160|39269099|132|3|0|17|2025-11-01 11:06:01|
3471|5600946|160|98020019|147|3|0|326|2025-11-28 20:35:00|
3471|5600778|160|87082999|226|3|0|23|2025-11-21 18:31:03|
1925|5700331|160|73182403|58|6|0|183|2025-11-21 12:15:02|
3471|5600948|160|87082999|21|3|0|1177|2025-11-27 18:38:02|
1925|5001374|160|39199099|185|3|0|31|2025-11-01 11:06:01|
3577|5102337|521|85129007|25|3|0|4|2025-11-05 11:14:03|
1925|5700337|160|40169999|38|3|0|19|2025-11-21 12:23:01|
1925|5001374|160|85269299|236|3|0|701|2025-11-01 11:06:01|
