Patente|Pedimento|SeccionAduanera|Fraccion|SecuenciaFraccion|ClavePermiso|FirmaDescargo|NumeroPermiso|ValorComercialDolares|CantidadMUMTarifa|FechaPagoReal
3471|5600946|160|98020019|165|C1||1931R825050575|28.80|288.00000|2025-11-28 20:35:00|
3471|5600946|160|98020019|181|C1||1931R825050547|2.88|288.00000|2025-11-28 20:35:00|
3471|5600950|160|98020019|136|C1||1931R825050647|7725.12|96.00000|2025-11-27 18:19:02|
3471|5600946|160|98020019|237|C1||1931R825051346|11.52|144.00000|2025-11-28 20:35:00|
3471|5600950|160|98020019|137|C1||1931R825050575|46.08|1152.00000|2025-11-27 18:19:02|
3471|5600946|160|98020019|189|C1||1931R825050385|15.84|1584.00000|2025-11-28 20:35:00|
3471|5600776|160|98020019|45|C1||1931R825050575|8.64|288.00000|2025-11-21 18:08:02|
3471|5600946|160|98020019|245|C1||1931R825050575|63.36|576.00000|2025-11-28 20:35:00|
3471|5600946|160|98020019|155|C1||1931R825050575|8.64|288.00000|2025-11-28 20:35:00|
3471|5600778|160|98020019|50|C1||1931R825050575|60.00|1200.00000|2025-11-21 18:31:03|
3471|5600946|160|98020019|200|C1||1931R825050424|5.76|576.00000|2025-11-28 20:35:00|
3471|5600776|160|98020019|31|C1||1931R825034285|8.64|288.00000|2025-11-21 18:08:02|
3471|5600778|160|98020019|74|C1||1931R825050534|7.20|144.00000|2025-11-21 18:31:03|
3471|5600778|160|98020019|95|C1||1931R825050424|28.80|144.00000|2025-11-21 18:31:03|
3471|5600778|160|98020019|103|C1||1931R825050550|34.56|576.00000|2025-11-21 18:31:03|
3471|5600778|160|98020019|43|C1||1931R825050602|8.64|864.00000|2025-11-21 18:31:03|
1925|5001374|160|98020019|102|C1||1931R824060641|42.24|384.00000|2025-11-01 11:06:01|
3471|5600944|160|98020019|203|C1||1931R825050575|40.00|500.00000|2025-11-27 19:08:01|
3471|5600778|160|98020019|53|C1||1931R825050575|13.60|136.00000|2025-11-21 18:31:03|
3471|5600946|160|98020019|193|C1||1931R825050385|2.88|288.00000|2025-11-28 20:35:00|
3471|5600946|160|98020019|168|C1||1931R825050575|77.76|288.00000|2025-11-28 20:35:00|
3471|5600944|160|98020019|204|C1||1931R825050575|27.00|300.00000|2025-11-27 19:08:01|
3471|5600950|160|98020019|121|C1||1931R825050575|5.76|288.00000|2025-11-27 18:19:02|
3471|5600778|160|98020019|76|C1||1931R825050575|5.76|288.00000|2025-11-21 18:31:03|
3471|5600946|160|98020019|166|C1||1931R825050575|60.48|432.00000|2025-11-28 20:35:00|
3471|5600944|160|98020019|223|C1||1931R825050550|241.92|1728.00000|2025-11-27 19:08:01|
3471|5600944|160|98020019|232|C1||1931R825034859|141.12|144.00000|2025-11-27 19:08:01|
3471|5600950|160|98020019|127|C1||1931R825050547|282.24|4032.00000|2025-11-27 18:19:02|
3471|5600946|160|98020019|179|C1||1931R825034285|5.76|576.00000|2025-11-28 20:35:00|
3471|5600778|160|98020019|51|C1||1931R825050575|5.76|144.00000|2025-11-21 18:31:03|
3471|5600778|160|98020019|83|C1||1931R825050547|56.00|800.00000|2025-11-21 18:31:03|
1905|5017408|160|98020019|8|C1||1931R825051044|40400.00|20000.00000|2025-11-14 18:36:06|
3471|5600778|160|98020019|69|C1||1931R825050575|240.00|8000.00000|2025-11-21 18:31:03|
3471|5600946|160|98020019|226|C1||1931R825051346|1.44|144.00000|2025-11-28 20:35:00|
3471|5600946|160|98020019|151|C1||1931R825050575|17.28|864.00000|2025-11-28 20:35:00|
3471|5600778|160|98020019|73|C1||1931R825050602|11.52|288.00000|2025-11-21 18:31:03|
1905|5017408|160|98020019|13|C1||1931R825051044|40600.00|20000.00000|2025-11-14 18:36:06|
