Patente|Pedimento|SeccionAduanera|NumContenedor|TipoContenedor|FechaPagoReal
1647|5006933|240|RJ012|56|2025-11-10 10:37:06|
1647|5006933|240|2343|56|2025-11-10 10:37:06|
1647|5016705|240|S119|56|2025-11-22 11:13:03|
3897|5611632|240|SNLU993198|22|2025-11-13 13:30:14|
1647|5006994|240|PCG09|56|2025-11-14 17:36:10|
3043|5603322|520|JBHU329341|22|2025-11-10 18:03:00|
1647|5006873|240|S201|56|2025-11-01 09:27:01|
1647|5006933|240|T0085|56|2025-11-10 10:37:06|
1647|5006933|240|RJ100|56|2025-11-10 10:37:06|
1647|5006873|240|341473|56|2025-11-01 09:27:01|
1647|5016705|240|PTLZ251345|56|2025-11-22 11:13:03|
1647|5006994|240|1303|56|2025-11-14 17:36:10|
3471|5600733|160|WHSU6345860|3|2025-11-20 21:45:02|
1647|5006873|240|550778|56|2025-11-01 09:27:01|
3043|5603391|523|SNLU158212|22|2025-11-11 18:12:02|
3471|5600948|160|EITU1568046|3|2025-11-27 18:38:02|
1647|5006994|240|H08526|56|2025-11-14 17:36:10|
1647|5016705|240|S1066|56|2025-11-22 11:13:03|
1647|5006933|240|HM61|56|2025-11-10 10:37:06|
3471|5600973|160|EMCU8832600|3|2025-11-25 09:41:01|
1647|5006994|240|RJ060|56|2025-11-14 17:36:10|
1925|5100823|160|EGHU9522800|3|2025-11-12 16:31:00|
1647|5006873|240|PCG18|56|2025-11-01 09:27:01|
1647|5017166|240|HM79|56|2025-11-27 16:22:03|
1647|5017166|240|RJ050|56|2025-11-27 16:22:03|
3471|5600894|160|EISU8286170|3|2025-11-21 23:57:03|
1647|5016705|240|S088|56|2025-11-22 11:13:03|
1925|5100827|160|FFAU5161470|3|2025-11-12 16:35:05|
1925|5001423|160|TCNU3133091|3|2025-11-19 12:01:02|
1647|5016705|240|S597|56|2025-11-22 11:13:03|
3471|5600736|160|WHSU6697250|3|2025-11-20 16:19:03|
1925|5100857|160|EGSU9281034|3|2025-11-19 11:27:02|
1647|5006994|240|RTI9132|56|2025-11-14 17:36:10|
1925|5700358|160|GAOU6318767|3|2025-11-21 11:53:01|
1925|5700227|160|EMCU1796728|3|2025-11-13 09:35:04|
1647|5006873|240|HM20|56|2025-11-01 09:27:01|
1647|5016705|240|PTLZ250546|56|2025-11-22 11:13:03|
1925|5100826|160|EMCU8458023|3|2025-11-12 16:35:01|
1647|5006873|240|H09842|56|2025-11-01 09:27:01|
1647|5017166|240|S517|56|2025-11-27 16:22:03|
1647|5017166|240|TXU7927|56|2025-11-27 16:22:03|
1925|5700208|160|EISU8475065|3|2025-11-13 11:04:05|
3471|5600790|160|TIIU5081170|3|2025-11-19 18:29:02|
1647|5006994|240|2201|56|2025-11-14 17:36:10|
1925|5100861|160|TGBU4522694|3|2025-11-19 11:34:02|
1647|5006873|240|UTV700024|56|2025-11-01 09:27:01|
1647|5016705|240|S582|56|2025-11-22 11:13:03|
1647|5006994|240|PCG21|56|2025-11-14 17:36:10|
1647|5006994|240|H08494|56|2025-11-14 17:36:10|
1647|5006994|240|RJ042|56|2025-11-14 17:36:10|
1925|5100881|160|EGHU8206011|3|2025-11-01 08:54:00|
3043|5603320|523|SNLU212215|22|2025-11-10 18:13:01|
1647|5016705|240|RJ094|56|2025-11-22 11:13:03|
1925|5100829|160|EGHU9413163|3|2025-11-12 16:35:03|
3471|5600798|160|PCIU8932937|3|2025-11-14 16:30:06|
1647|5017166|240|553361|56|2025-11-27 16:22:03|
1925|5700346|160|FCIU9783653|3|2025-11-24 13:12:02|
1647|5006873|240|9010-2|56|2025-11-01 09:27:01|
1647|5016705|240|PCG33|56|2025-11-22 11:13:03|
1925|5001388|160|MAGU5389712|3|2025-11-13 13:04:02|
3043|5603320|523|SNLU213835|22|2025-11-10 18:13:01|
1647|5016705|240|HM84|56|2025-11-22 11:13:03|
1647|5006994|240|S515|56|2025-11-14 17:36:10|
3043|5603322|520|JBHU335164|22|2025-11-10 18:03:00|
1925|5001422|160|EITU1582297|3|2025-11-19 12:00:01|
3471|5600860|160|EITU1116811|3|2025-11-14 16:30:07|
1647|5016705|240|PCG49|56|2025-11-22 11:13:03|
3043|5603320|523|SNLU221868|22|2025-11-10 18:13:01|
1925|5700202|160|EGSU1133133|3|2025-11-13 10:26:04|
1925|5700319|160|TXGU5549223|3|2025-11-28 11:23:03|
3471|5600864|160|EMCU8306838|3|2025-11-14 16:48:03|
1647|5017166|240|G017|56|2025-11-27 16:22:03|
1647|5017166|240|HM55|56|2025-11-27 16:22:03|
1647|5006873|240|2307|56|2025-11-01 09:27:01|
1647|5016705|240|HM43|56|2025-11-22 11:13:03|
1925|5001386|160|EISU9449707|3|2025-11-13 13:04:02|
1925|5700293|160|EGSU6427660|3|2025-11-27 10:15:02|
1647|5016705|240|RJ014|56|2025-11-22 11:13:03|
3471|5600858|160|EITU1116811|3|2025-11-14 17:16:03|
3471|5600943|160|EGHU3883766|1|2025-11-27 18:24:03|
1925|5700305|160|EGSU1721456|3|2025-11-28 11:04:02|
1647|5006933|240|H05886|56|2025-11-10 10:37:06|
1647|5006873|240|S153|56|2025-11-01 09:27:01|
3043|5603320|523|SNLU202056|22|2025-11-10 18:13:01|
1925|5700239|160|EGSU1395914|3|2025-11-13 11:28:01|
1647|5016705|240|S500|56|2025-11-22 11:13:03|
3897|5611617|240|SNLU195714|22|2025-11-13 13:20:05|
1647|5017166|240|PTLZ250553|56|2025-11-27 16:22:03|
3471|5600950|160|EMCU8391906|3|2025-11-27 18:19:02|
3471|5600779|160|EMCU8366987|3|2025-11-21 12:26:01|
3471|5600797|160|PIDU4038394|3|2025-11-14 17:05:02|
1647|5016705|240|S454|56|2025-11-22 11:13:03|
3471|5600786|160|EGHU9521390|3|2025-11-19 19:35:01|
1647|5016705|240|S718|56|2025-11-22 11:13:03|
1925|5700211|160|CAAU5421001|3|2025-11-12 18:07:01|
1925|5100832|160|TIIU6529737|3|2025-11-12 16:40:01|
3471|5600779|160|EISU8579413|3|2025-11-21 12:26:01|
1925|5100825|160|EGSU6311080|3|2025-11-12 16:35:02|
3471|5600953|160|TLLU4044507|3|2025-11-27 17:41:04|
