Patente|Pedimento|SeccionAduanera|NumContenedor|TipoContenedor|FechaPagoReal
3471|5600821|160|EGSU9436711|3|2025-11-20 10:14:05|
1647|5016705|240|W82205|56|2025-11-22 11:13:03|
3043|5003533|523|SNLU993274|22|2025-11-14 09:51:01|
1647|5006873|240|HM42|56|2025-11-01 09:27:01|
3471|5600894|160|EMCU8832600|3|2025-11-21 23:57:03|
1647|5016705|240|S479|56|2025-11-22 11:13:03|
1647|5006933|240|PTLZ250552|56|2025-11-10 10:37:06|
1925|5700231|160|EGSU1097397|3|2025-11-13 09:49:02|
1647|5006994|240|RJ055|56|2025-11-14 17:36:10|
3897|5611766|240|SNLU997051|22|2025-11-19 12:10:21|
1647|5016705|240|W95905|56|2025-11-22 11:13:03|
1647|5006933|240|PCG15|56|2025-11-10 10:37:06|
3043|5603393|523|SNLU158212|22|2025-11-11 18:15:01|
3471|5600792|160|CAIU7089162|3|2025-11-14 17:05:01|
3471|5600794|160|PCIU8494390|3|2025-11-14 15:50:01|
1647|5016705|240|W95934|56|2025-11-22 11:13:03|
3471|5600892|160|TXGU5613385|3|2025-11-21 23:57:02|
1925|5001393|160|GAOU7294628|3|2025-11-13 11:32:03|
1647|5016705|240|G029|56|2025-11-22 11:13:03|
3043|5603394|520|JBHU254434|22|2025-11-11 18:08:02|
1647|5016705|240|RJ103|56|2025-11-22 11:13:03|
1647|5016705|240|RJ002|56|2025-11-22 11:13:03|
3043|5603393|523|SNLU138670|22|2025-11-11 18:15:01|
3471|5600781|160|EMCU8940760|3|2025-11-19 19:29:03|
1647|5016705|240|W36909|56|2025-11-22 11:13:03|
3043|5003534|523|SNLU996726|22|2025-11-14 09:51:01|
1925|5700302|160|CAAU5722983|3|2025-11-28 11:39:01|
1925|5100857|160|EGSU9640643|3|2025-11-19 11:27:02|
3471|5600867|160|TIIU6900473|3|2025-11-14 16:09:02|
3043|5603321|523|SNLU992831|22|2025-11-10 18:13:01|
3897|5611271|240|SNLU996726|22|2025-11-03 16:00:09|
1647|5006873|240|PCG05|56|2025-11-01 09:27:01|
3043|5003412|523|SNLU141421|22|2025-11-26 17:04:02|
3153|5000830|800|409ET9|56|2025-11-06 14:52:00|
1647|5016705|240|W95899|56|2025-11-22 11:13:03|
1647|5006873|240|UTV700013|56|2025-11-01 09:27:01|
1925|5700286|160|EGSU9393420|3|2025-11-26 17:34:04|
1925|5700223|160|EITU9129435|3|2025-11-12 18:20:02|
1925|5700352|160|DRYU2656937|1|2025-11-20 11:38:05|
3471|5600903|160|EISU8286170|3|2025-11-21 23:57:01|
3471|5600893|160|EISU8286170|3|2025-11-21 23:57:02|
3471|5600781|160|FFAU1109940|3|2025-11-19 19:29:03|
3471|5600796|160|PCIU9243887|3|2025-11-14 17:16:03|
1925|5700213|160|EITU1170290|3|2025-11-12 18:15:00|
1925|5700277|160|TRHU5640885|3|2025-11-19 09:58:01|
1925|5700280|160|EGSU1288109|3|2025-11-19 10:02:01|
3471|5600798|160|TEMU6580030|3|2025-11-14 16:30:06|
1925|5700329|160|DRYU9792679|3|2025-11-20 12:28:02|
3471|5600950|160|EITU9367562|3|2025-11-27 18:19:02|
1647|5017166|240|TXU7918|56|2025-11-27 16:22:03|
1647|5016705|240|W89482|56|2025-11-22 11:13:03|
1647|5006873|240|G013|56|2025-11-01 09:27:01|
1647|5006873|240|H09904|56|2025-11-01 09:27:01|
1647|5006873|240|PCG24|56|2025-11-01 09:27:01|
1925|5001421|160|EITU1582297|3|2025-11-19 12:01:02|
1925|5700232|160|EGSU1097397|3|2025-11-13 09:50:05|
1647|5016705|240|2347|56|2025-11-22 11:13:03|
3043|5603392|523|SNLU158212|22|2025-11-18 18:43:01|
3043|5603481|520|JBHU341038|22|2025-11-20 18:47:01|
3471|5600863|160|EMCU1850032|3|2025-11-14 16:10:03|
1647|5006873|240|RJ006|56|2025-11-01 09:27:01|
1647|5017166|240|2205|56|2025-11-27 16:22:03|
3043|5603323|520|JBHU268349|22|2025-11-10 18:13:00|
1925|5700354|160|EGHU8495362|3|2025-11-20 11:40:02|
1925|5700334|160|EGHU9477492|3|2025-11-21 12:48:02|
1647|5016705|240|G033|56|2025-11-22 11:13:03|
3471|5600778|160|EISU8579413|3|2025-11-21 18:31:03|
1925|5100854|160|TRHU4948169|3|2025-11-19 11:25:05|
1647|5016705|240|PCG44|56|2025-11-22 11:13:03|
1647|5016705|240|HM75|56|2025-11-22 11:13:03|
1925|5700371|160|TLLU4041600|3|2025-11-21 18:43:02|
1647|5016705|240|553361|56|2025-11-22 11:13:03|
1647|5006994|240|PCG02|56|2025-11-14 17:36:10|
1925|5100881|160|EGHU8210691|3|2025-11-01 08:54:00|
1647|5006933|240|7327089|56|2025-11-10 10:37:06|
3043|5603323|520|JBHU335164|22|2025-11-10 18:13:00|
3043|5603321|523|SNLU200163|22|2025-11-10 18:13:01|
3043|5603321|523|SNLU138095|22|2025-11-10 18:13:01|
1925|5001421|160|EMCU1740288|3|2025-11-19 12:01:02|
1647|5016705|240|553376|56|2025-11-22 11:13:03|
3471|5000891|160|TXGU5613385|3|2025-11-21 23:58:01|
1647|5006933|240|MTZ6276|56|2025-11-10 10:37:06|
3043|5603321|523|SNLU200384|22|2025-11-10 18:13:01|
1925|5700275|160|CAAU5785533|3|2025-11-19 09:51:01|
1647|5017166|240|PTLZ244244|56|2025-11-27 16:22:03|
1647|5016705|240|H03187|56|2025-11-22 11:13:03|
1925|5700367|160|TGBU6956025|3|2025-11-21 18:30:05|
1925|5001394|160|TLLU5840812|3|2025-11-13 11:32:07|
3043|5003532|523|SNLU987138|22|2025-11-26 14:38:01|
1925|5700336|160|EISU8361247|3|2025-11-21 12:23:00|
1647|5006873|240|H03196|56|2025-11-01 09:27:01|
3471|5600787|160|TGBU6528074|3|2025-11-20 10:54:04|
3043|5603321|523|SNLU993383|22|2025-11-10 18:13:01|
1647|5006994|240|RTI9003|56|2025-11-14 17:36:10|
1647|5006933|240|RJ026|56|2025-11-10 10:37:06|
3471|5600739|160|WHSU5043470|3|2025-11-20 18:29:03|
1647|5016705|240|553373|56|2025-11-22 11:13:03|
1647|5017166|240|550185|56|2025-11-27 16:22:03|
1647|5016705|240|525473|56|2025-11-22 11:13:03|
3471|5600780|160|EMCU8940760|3|2025-11-19 19:29:03|
1647|5016705|240|529170|56|2025-11-22 11:13:03|
1647|5016705|240|W95923|56|2025-11-22 11:13:03|
1647|5006873|240|UTV700000|56|2025-11-01 09:27:01|
1647|5016705|240|W91910|56|2025-11-22 11:13:03|
1647|5017166|240|G012|56|2025-11-27 16:22:03|
3043|5603391|523|SNLU200073|22|2025-11-11 18:12:02|
1647|5016705|240|HM47|56|2025-11-22 11:13:03|
1647|5017166|240|W84697|56|2025-11-27 16:22:03|
3043|5603322|520|JBHU281544|22|2025-11-10 18:03:00|
3043|5603322|520|JBHU268349|22|2025-11-10 18:03:00|
3471|5600871|160|EGHU9191261|3|2025-11-27 18:38:03|
1647|5016705|240|GC53123|56|2025-11-22 11:13:03|
1925|5700343|160|EITU9226559|3|2025-11-22 10:57:01|
1647|5017166|240|HM32|56|2025-11-27 16:22:03|
1647|5016705|240|S533|56|2025-11-22 11:13:03|
1925|5700341|160|EITU1619164|3|2025-11-22 10:54:02|
1925|5700333|160|EGHU9200234|3|2025-11-21 12:20:02|
3471|5600735|160|CAAU8021117|3|2025-11-20 16:20:03|
1647|5006933|240|H15374|56|2025-11-10 10:37:06|
1647|5016705|240|S1013|56|2025-11-22 11:13:03|
1647|5017166|240|PCG50|56|2025-11-27 16:22:03|
3471|5600867|160|TCNU2158808|3|2025-11-14 16:09:02|
3471|5600862|160|EMCU1820254|3|2025-11-14 16:48:01|
1647|5006994|240|W95923|56|2025-11-14 17:36:10|
1647|5017166|240|TXU7912|56|2025-11-27 16:22:03|
1647|5006994|240|PCG19|56|2025-11-14 17:36:10|
3471|5600862|160|EMCU1850032|3|2025-11-14 16:48:01|
1647|5006873|240|9008-2|56|2025-11-01 09:27:01|
3471|5600947|160|EGSU9462393|3|2025-11-28 20:17:01|
1647|5016705|240|HM46|56|2025-11-22 11:13:03|
1647|5016705|240|PTLZ251346|56|2025-11-22 11:13:03|
1647|5006873|240|341466|56|2025-11-01 09:27:01|
3471|5600740|160|WHSU6502960|3|2025-11-20 18:28:04|
3471|5600740|160|WHSU6887590|3|2025-11-20 18:28:04|
1647|5006873|240|642|56|2025-11-01 09:27:01|
1925|5700337|160|EISU8361247|3|2025-11-21 12:23:01|
1647|5006994|240|S689|56|2025-11-14 17:36:10|
1925|5700207|160|EISU8475065|3|2025-11-13 11:02:03|
1647|5006933|240|PCG09|56|2025-11-10 10:37:06|
3471|5600736|160|WHSU6327390|3|2025-11-20 16:19:03|
1925|5700230|160|EGSU1232943|3|2025-11-13 09:40:03|
3471|5600778|160|EMCU8366987|3|2025-11-21 18:31:03|
1925|5700199|160|TGBU6002541|3|2025-11-13 10:23:01|
3471|5600789|160|TIIU4627694|3|2025-11-19 18:29:04|
1647|5016705|240|S177|56|2025-11-22 11:13:03|
1925|5700357|160|EITU9019063|3|2025-11-21 11:53:02|
1647|5016705|240|PCG36|56|2025-11-22 11:13:03|
1647|5006933|240|H09899|56|2025-11-10 10:37:06|
1925|5001425|160|HMCU9179155|3|2025-11-19 12:01:01|
1925|5700318|160|TLLU5389226|3|2025-11-28 11:24:02|
1647|5006933|240|S267|56|2025-11-10 10:37:06|
3043|5603319|523|SNLU196403|22|2025-11-11 18:09:01|
1647|5017166|240|S1101|56|2025-11-27 16:22:03|
1647|5016705|240|S922|56|2025-11-22 11:13:03|
3471|5600776|160|EGSU1342529|3|2025-11-21 18:08:02|
1647|5017166|240|S995|56|2025-11-27 16:22:03|
3471|5600765|160|DRYU9679908|3|2025-11-19 19:00:02|
3043|5603319|523|SNLU195714|22|2025-11-11 18:09:01|
3471|5600973|160|TXGU5613385|3|2025-11-25 09:41:01|
3043|5603321|523|SNLU212215|22|2025-11-10 18:13:01|
1925|5700218|160|EITU9400399|3|2025-11-13 10:05:03|
3471|5600777|160|EGHU9469835|3|2025-11-21 12:26:02|
1647|5017166|240|G008|56|2025-11-27 16:22:03|
1647|5006873|240|9059-2|56|2025-11-01 09:27:01|
1647|5017166|240|HM50|56|2025-11-27 16:22:03|
1925|5700210|160|EGHU9358493|3|2025-11-12 17:57:01|
3043|5003654|523|SNLU997051|22|2025-11-28 16:50:02|
1647|5017166|240|H14165|56|2025-11-27 16:22:03|
1647|5006933|240|RJ068|56|2025-11-10 10:37:06|
1647|5016705|240|G022|56|2025-11-22 11:13:03|
1925|5700236|160|TCNU7766966|3|2025-11-13 10:49:01|
1925|5001426|160|TGBU7033296|3|2025-11-19 12:00:02|
1647|5017166|240|S306|56|2025-11-27 16:22:03|
1925|5700292|160|EGSU6427660|3|2025-11-27 10:15:01|
1647|5006933|240|S672|56|2025-11-10 10:37:06|
3043|5603321|523|SNLU143468|22|2025-11-10 18:13:01|
1647|5016705|240|H15239|56|2025-11-22 11:13:03|
1647|5017166|240|T7000|56|2025-11-27 16:22:03|
1925|5700272|160|EMCU8742174|3|2025-11-19 09:43:01|
3471|5600795|160|PCIU9012018|3|2025-11-14 15:49:02|
1647|5006873|240|FFI7104|56|2025-11-01 09:27:01|
1647|5006873|240|HM90|56|2025-11-01 09:27:01|
1647|5006873|240|RJ046|56|2025-11-01 09:27:01|
1647|5017166|240|PCG38|56|2025-11-27 16:22:03|
1647|5016705|240|B6060|56|2025-11-22 11:13:03|
1647|5017166|240|2214|56|2025-11-27 16:22:03|
3471|5600776|160|EGHU9469835|3|2025-11-21 18:08:02|
1925|5700237|160|TGBU8038707|3|2025-11-13 11:29:01|
1925|5001423|160|EGHU8481841|3|2025-11-19 12:01:02|
3043|5603319|523|SNLU195482|22|2025-11-11 18:09:01|
1925|5700296|160|TGBU9758105|3|2025-11-26 18:05:02|
3043|5603321|523|SNLU195482|22|2025-11-10 18:13:01|
1647|5016705|240|PCG28|56|2025-11-22 11:13:03|
3471|5600767|160|EGHU9117829|3|2025-11-21 15:26:02|
1925|5700274|160|CAAU5785533|3|2025-11-19 09:49:01|
1647|5006873|240|RJ009|56|2025-11-01 09:27:01|
1647|5006873|240|RJ060|56|2025-11-01 09:27:01|
1647|5006873|240|53R23049|56|2025-11-01 09:27:01|
1647|5006873|240|W36909|56|2025-11-01 09:27:01|
1647|5017166|240|S068|56|2025-11-27 16:22:03|
1925|5700311|160|GAOU6472710|3|2025-11-28 11:14:06|
1647|5016705|240|PTLZ250550|56|2025-11-22 11:13:03|
1647|5006933|240|W82915|56|2025-11-10 10:37:06|
3471|5600792|160|FSCU8191920|3|2025-11-14 17:05:01|
1647|5006994|240|PCG29|56|2025-11-14 17:36:10|
1647|5006994|240|553347|56|2025-11-14 17:36:10|
1647|5006933|240|UTV700028|56|2025-11-10 10:37:06|
1647|5006873|240|2201|56|2025-11-01 09:27:01|
3471|5600782|160|TIIU6542868|3|2025-11-19 15:41:01|
1925|5001389|160|EGHU9411392|3|2025-11-13 11:32:02|
1647|5017166|240|T0151|56|2025-11-27 16:22:03|
1925|5100829|160|EGHU9202448|3|2025-11-12 16:35:03|
1647|5006873|240|ABV4131|56|2025-11-01 09:27:01|
1647|5006933|240|RTD53023|56|2025-11-10 10:37:06|
1647|5006933|240|PTLZ202740|56|2025-11-10 10:37:06|
1647|5017166|240|PTLZ202509|56|2025-11-27 16:22:03|
3043|5003532|523|SNLU993274|22|2025-11-26 14:38:01|
3471|5600766|160|EGHU9117829|3|2025-11-19 18:35:03|
1647|5006933|240|H14164|56|2025-11-10 10:37:06|
1925|5700200|160|TGBU6002541|3|2025-11-13 10:25:05|
1647|5006994|240|S1057|56|2025-11-14 17:36:10|
1925|5001395|160|SKIU9100055|3|2025-11-13 11:32:04|
1925|5001390|160|EITU1858298|3|2025-11-13 13:04:03|
1647|5006933|240|553369|56|2025-11-10 10:37:06|
3471|5600771|160|TLLU4911399|3|2025-11-19 18:29:03|
3471|5600788|160|TCNU2134318|3|2025-11-20 10:54:04|
1647|5017166|240|9053-2|56|2025-11-27 16:22:03|
1647|5006873|240|HM83|56|2025-11-01 09:27:01|
1647|5006933|240|PCG16|56|2025-11-10 10:37:06|
1647|5017166|240|S183|56|2025-11-27 16:22:03|
1647|5006994|240|PCG15|56|2025-11-14 17:36:10|
1647|5017166|240|H09842|56|2025-11-27 16:22:03|
1647|5006933|240|S925|56|2025-11-10 10:37:06|
3471|5600951|160|EITU9367562|3|2025-11-27 17:47:14|
1647|5006933|240|UTV700042|56|2025-11-10 10:37:06|
1925|5001394|160|SKIU9100055|3|2025-11-13 11:32:07|
1925|5001395|160|TLLU5840812|3|2025-11-13 11:32:04|
3043|5603319|523|SNLU143468|22|2025-11-11 18:09:01|
3471|5600740|160|WHSU5240551|3|2025-11-20 18:28:04|
1647|5006933|240|S848|56|2025-11-10 10:37:06|
1647|5016705|240|H05886|56|2025-11-22 11:13:03|
1925|5001425|160|TGBU7033296|3|2025-11-19 12:01:01|
1647|5017166|240|P5240645|56|2025-11-27 16:22:03|
1647|5006933|240|553375|56|2025-11-10 10:37:06|
1647|5006933|240|9061-2|56|2025-11-10 10:37:06|
1647|5006933|240|2203|56|2025-11-10 10:37:06|
1925|5700370|160|TLLU4041600|3|2025-11-21 18:48:06|
1647|5017166|240|RJ121|56|2025-11-27 16:22:03|
3471|5600859|160|EITU1116811|3|2025-11-14 17:16:03|
1925|5700348|160|TEMU6296111|3|2025-11-24 13:17:00|
1647|5006933|240|RJ036|56|2025-11-10 10:37:06|
1647|5006994|240|H14463|56|2025-11-14 17:36:10|
3471|5600865|160|EMCU8306838|3|2025-11-14 16:48:02|
1647|5006994|240|2213|56|2025-11-14 17:36:10|
1647|5006994|240|LT1007|56|2025-11-14 17:36:10|
1647|5006933|240|HM72|56|2025-11-10 10:37:06|
1647|5016705|240|S441|56|2025-11-22 11:13:03|
3471|5600943|160|CIPU5189050|3|2025-11-27 18:24:03|
3471|5600734|160|WHSU5043470|3|2025-11-20 21:45:00|
1647|5006933|240|W82159|56|2025-11-10 10:37:06|
1647|5006933|240|TN197|56|2025-11-10 10:37:06|
1647|5006933|240|RTI9121|56|2025-11-10 10:37:06|
1647|5006933|240|H09204|56|2025-11-10 10:37:06|
3471|5600902|160|TXGU5613385|3|2025-11-21 23:57:01|
3471|5600732|160|WHSU6697250|3|2025-11-20 16:20:02|
1925|5700350|160|TXGU5766661|3|2025-11-24 13:18:02|
1647|5006933|240|S998|56|2025-11-10 10:37:06|
3471|5600859|160|CAAU5873418|3|2025-11-14 17:16:03|
3043|5603323|520|JBHU348092|22|2025-11-10 18:13:00|
1647|5006873|240|HM39|56|2025-11-01 09:27:01|
3043|5003622|523|SNLU195714|22|2025-11-26 14:38:02|
1647|5006933|240|9030-2|56|2025-11-10 10:37:06|
3471|5600746|160|EGSU1117488|3|2025-11-20 21:45:01|
3897|5611341|240|SNLU987138|22|2025-11-05 11:01:07|
3471|5600770|160|TLLU4911399|3|2025-11-19 18:29:05|
1647|5006933|240|2346|56|2025-11-10 10:37:06|
1647|5006933|240|PCG33|56|2025-11-10 10:37:06|
1647|5006933|240|H09908|56|2025-11-10 10:37:06|
1647|5006933|240|UTV700016|56|2025-11-10 10:37:06|
3471|5600764|160|DRYU9679908|3|2025-11-19 19:00:03|
1925|5100824|160|EGHU9522800|3|2025-11-12 16:35:04|
1925|5700347|160|FCIU9783653|3|2025-11-24 13:15:00|
1925|5001422|160|EMCU1740288|3|2025-11-19 12:00:01|
1647|5006994|240|RJ035|56|2025-11-14 17:36:10|
1925|5100860|160|TGBU4522694|3|2025-11-19 11:28:07|
1925|5700203|160|EGSU9770396|3|2025-11-13 10:28:03|
3043|5603320|523|SNLU143468|22|2025-11-10 18:13:01|
1647|5006933|240|1931553PLA|56|2025-11-10 10:37:06|
1647|5006873|240|UTV700019|56|2025-11-01 09:27:01|
1925|5700224|160|EITU9129435|3|2025-11-12 18:26:02|
1925|5700273|160|EMCU8742174|3|2025-11-19 09:44:04|
1925|5700360|160|GAOU6687092|3|2025-11-21 13:23:02|
3471|5600732|160|WHSU6887590|3|2025-11-20 16:20:02|
1647|5006933|240|534915|56|2025-11-10 10:37:06|
1925|5001427|160|EMCU8200173|3|2025-11-19 12:00:05|
3043|5603319|523|SNLU200163|22|2025-11-11 18:09:01|
3043|5603393|523|SNLU144509|22|2025-11-11 18:15:01|
1647|5006873|240|RTD53003|56|2025-11-01 09:27:01|
1925|5100856|160|EGSU9640643|3|2025-11-19 11:27:03|
3471|5600736|160|WHSU5478560|3|2025-11-20 16:19:03|
1925|5700270|160|EMCU1629361|3|2025-11-19 09:41:03|
3043|5603319|523|SNLU138095|22|2025-11-11 18:09:01|
3043|5603320|523|SNLU195482|22|2025-11-10 18:13:01|
1647|5006873|240|H03187|56|2025-11-01 09:27:01|
3471|5600782|160|TIIU5612370|3|2025-11-19 15:41:01|
3043|5603321|523|SNLU221868|22|2025-11-10 18:13:01|
1647|5006873|240|T0136|56|2025-11-01 09:27:01|
3043|5003623|523|SNLU993198|22|2025-11-26 14:38:01|
1647|5006933|240|T1714|56|2025-11-10 10:37:06|
1647|5006873|240|S283|56|2025-11-01 09:27:01|
1647|5006933|240|S328|56|2025-11-10 10:37:06|
3471|5600769|160|EITU1780857|3|2025-11-19 16:47:04|
3043|5603321|523|SNLU996678|22|2025-11-10 18:13:01|
3471|5600948|160|EITU1751400|3|2025-11-27 18:38:02|
1647|5006933|240|TN184|56|2025-11-10 10:37:06|
1647|5017166|240|W99586|56|2025-11-27 16:22:03|
1647|5017166|240|RJ043|56|2025-11-27 16:22:03|
3471|5600893|160|EMCU8832600|3|2025-11-21 23:57:02|
1647|5006933|240|UTV700011|56|2025-11-10 10:37:06|
1925|5700310|160|EITU1366678|3|2025-11-28 11:13:02|
1647|5006873|240|PCG02|56|2025-11-01 09:27:01|
1647|5017166|240|PTLZ244172|56|2025-11-27 16:22:03|
3043|5603319|523|SNLU200384|22|2025-11-11 18:09:01|
1647|5006933|240|PTLZ250554|56|2025-11-10 10:37:06|
1647|5016705|240|553382|56|2025-11-22 11:13:03|
1647|5006933|240|9043-2|56|2025-11-10 10:37:06|
1647|5017166|240|W95930|56|2025-11-27 16:22:03|
3043|5603319|523|SNLU993383|22|2025-11-11 18:09:01|
1925|5700366|160|TGBU6956025|3|2025-11-21 18:25:03|
1647|5006873|240|H03157|56|2025-11-01 09:27:01|
1647|5006873|240|PCG04|56|2025-11-01 09:27:01|
1647|5006994|240|T6037|56|2025-11-14 17:36:10|
1647|5017166|240|HM64|56|2025-11-27 16:22:03|
1647|5017166|240|G031|56|2025-11-27 16:22:03|
1925|5100825|160|EMCU8458023|3|2025-11-12 16:35:02|
1925|5700297|160|TGBU9758105|3|2025-11-27 13:25:01|
1925|5700238|160|TGBU8038707|3|2025-11-13 14:41:01|
1647|5006994|240|PCG43|56|2025-11-14 17:36:10|
3471|5600765|160|BSIU9968187|3|2025-11-19 19:00:02|
1647|5017166|240|T0076|56|2025-11-27 16:22:03|
1647|5016705|240|H08252|56|2025-11-22 11:13:03|
1925|5001392|160|TXGU7760240|3|2025-11-13 13:04:03|
1647|5017166|240|RJ123|56|2025-11-27 16:22:03|
3471|5600787|160|TCNU2134318|3|2025-11-20 10:54:04|
3043|5603321|523|SNLU138066|22|2025-11-10 18:13:01|
1925|5700201|160|EGSU1133133|3|2025-11-13 10:26:03|
1647|5006873|240|UTV700022|56|2025-11-01 09:27:01|
1647|5017166|240|9037-2|56|2025-11-27 16:22:03|
1925|5700344|160|FCIU9468780|3|2025-11-22 10:59:01|
