Patente|Pedimento|SeccionAduanera|FechaFacturacion|NumeroFactura|TerminoFacturacion|MonedaFacturacion|ValorDolares|ValorMonedaExtranjera|PaisFacturacion|EntidadFedFacturacion|IndentFiscalProveedor|ProveedorMercancia|CalleProveedor|NumInteriorProveedor|NumExteriorProveedor|CpProveedor|MunicipioProveedor|FechaPagoReal
1925|5100827|160|2025-10-11|COVE257SEYL87|CIF|USD|13448.58|13448.58|CHN| |91330100757206158|ZHEJIANG CFMOTO POWER CO.,LTD|WUZHOU ROAD|SN|116|311100|YUHANG ECONOMIC DEVELOPMENT ZONE  HANGZHOU ZHEJIANG|2025-11-12 16:35:05|
3471|5600945|160|2025-10-29|COVE257ULNGD7|CIF| ||| | |91330100757206158|ZHEJIANG CFMOTO POWER CO., LTD||||||2025-11-27 18:24:02|
1925|5700240|160|2025-10-12|COVE257TDWF81|CIF|USD|104578.40|104578.40|CHN| |91330100757206158|ZHEJIANG CFMOTO POWER CO.,LTD|WUZHOU ROAD|SN|116|311100|YUHANG ECONOMIC DEVELOPMENT ZONE  HANGZHOU ZHEJIANG|2025-11-13 11:24:02|
3471|5600952|160|2025-10-29|COVE257UGXT13|CIF| ||| | |91330100757206158|ZHEJIANG CFMOTO POWER CO., LTD||||||2025-11-27 17:41:05|
3043|5003654|523|2025-11-18|COVE257UJZE86|DAP|USD|2352.00|2352.00|CHN| |91330100757206158|ZHEJIANG CFMOTO POWER CO.,LTD|WUZHOU ROAD, YUHANG ECONOMIC DEVELOPMENT ZONE||116|311100|ZHEJIANG|2025-11-28 16:50:02|
3471|5600795|160|2025-10-21|COVE257TEIJR8|CIF| ||| | |91330100757206158|ZHEJIANG CFMOTO POWER CO., LTD||||||2025-11-14 15:49:02|
3577|5102446|521|2025-11-21|COVE257UDEF17|DAP|USD|266.00|266.00|CHN| |91330100757206158|ZHEJIANG CFMOTO POWER CO.,LTD|WUZHOU ROAD||116|311100|HANGZHOU  YUHANG ECONOMIC DEVELOPMENT ZONE|2025-11-24 15:27:03|
3471|5600942|160|2025-10-29|COVE257UKLR23|CIF| ||| | |91330100757206158|ZHEJIANG CFMOTO POWER CO., LTD||||||2025-11-27 18:24:03|
1925|5700351|160|2025-10-27|COVE257U57K54|CIF|USD|166503.00|166503.00|CHN| |91330100757206158|ZHEJIANG CFMOTO POWER CO.,LTD|WUZHOU ROAD|SN|116|311100|YUHANG ECONOMIC DEVELOPMENT ZONE  HANGZHOU ZHEJIANG|2025-11-28 14:22:01|
3471|5600764|160|2025-10-20|COVE257T6XH34|CIF| ||| | |91330100757206158|ZHEJIANG CFMOTO POWER CO., LTD||||||2025-11-19 19:00:03|
1925|5700313|160|2025-10-30|COVE257U2KNZ2|CIF|USD|798.54|798.54|CHN| |91330100757206158|ZHEJIANG CFMOTO POWER CO.,LTD|WUZHOU ROAD|SN|116|311100|YUHANG ECONOMIC DEVELOPMENT ZONE  HANGZHOU ZHEJIANG|2025-11-28 11:33:01|
3577|5102461|521|2025-11-20|COVE257UKHKL2|DAP|USD|709.50|709.50|CHN| |91330100757206158|ZHEJIANG CFMOTO POWER CO.,LTD|WUZHOU ROAD||116|311100|HANGZHOU  YUHANG ECONOMIC DEVELOPMENT ZONE|2025-11-27 14:01:04|
1925|5700298|160|2025-10-27|COVE257U516K2|CIF|USD|445.29|445.29|CHN| |91330100757206158|ZHEJIANG CFMOTO POWER CO.,LTD|WUZHOU ROAD|SN|116|311100|YUHANG ECONOMIC DEVELOPMENT ZONE  HANGZHOU ZHEJIANG|2025-11-27 10:17:00|
1925|5100830|160|2025-10-11|COVE257SEYOQ2|CIF|USD|66.64|66.64|CHN| |91330100757206158|ZHEJIANG CFMOTO POWER CO.,LTD|WUZHOU ROAD|SN|116|311100|YUHANG ECONOMIC DEVELOPMENT ZONE  HANGZHOU ZHEJIANG|2025-11-12 16:35:03|
3471|5600947|160|2025-10-29|COVE257UO3Z31|CIF| ||| | |91330100757206158|ZHEJIANG CFMOTO POWER CO., LTD||||||2025-11-28 20:17:01|
1925|5700209|160|2025-10-10|COVE257TBGYM4|CIF|USD|339.83|339.83|CHN| |91330100757206158|ZHEJIANG CFMOTO POWER CO.,LTD|WUZHOU ROAD|SN|116|311100|YUHANG ECONOMIC DEVELOPMENT ZONE  HANGZHOU ZHEJIANG|2025-11-12 17:57:01|
1925|5100825|160|2025-10-11|COVE257SE3055|CIF|USD|47685.68|47685.68|CHN| |91330100757206158|ZHEJIANG CFMOTO POWER CO.,LTD|WUZHOU ROAD|SN|116|311100|YUHANG ECONOMIC DEVELOPMENT ZONE  HANGZHOU ZHEJIANG|2025-11-12 16:35:02|
1925|5700213|160|2025-10-10|COVE257TF0KH7|CIF|USD|121.92|121.92|CHN| |91330100757206158|ZHEJIANG CFMOTO POWER CO.,LTD|WUZHOU ROAD|SN|116|311100|YUHANG ECONOMIC DEVELOPMENT ZONE  HANGZHOU ZHEJIANG|2025-11-12 18:15:00|
1925|5001387|160|2025-10-08|COVE257SDEFY2|CIF|USD|121.92|121.92|CHN| |91330100757206158|ZHEJIANG CFMOTO POWER CO.,LTD|WUZHOU ROAD|SN|116|311100|YUHANG ECONOMIC DEVELOPMENT ZONE  HANGZHOU ZHEJIANG|2025-11-13 11:32:02|
3043|5003577|523|2025-11-01|COVE257U3TZ71|DAP|USD|2352.00|2352.00|CHN| |91330100757206158|ZHEJIANG CFMOTO POWER CO.,LTD|WUZHOU ROAD, YUHANG ECONOMIC DEVELOPMENT ZONE||116|311100|ZHEJIANG|2025-11-19 18:13:01|
3471|5600944|160|2025-10-29|COVE257ULNGD7|CIF| ||| | |91330100757206158|ZHEJIANG CFMOTO POWER CO., LTD||||||2025-11-27 19:08:01|
3471|5600766|160|2025-10-20|COVE257U1TO25|CIF| ||| | |91330100757206158|ZHEJIANG CFMOTO POWER CO., LTD||||||2025-11-19 18:35:03|
3471|5600771|160|2025-10-20|COVE257U4KHR5|CIF| ||| | |91330100757206158|ZHEJIANG CFMOTO POWER CO., LTD||||||2025-11-19 18:29:03|
1925|5700200|160|2025-10-12|COVE257T9K2X2|CIF|USD|30019.03|30019.03|CHN| |91330100757206158|ZHEJIANG CFMOTO POWER CO.,LTD|WUZHOU ROAD|SN|116|311100|YUHANG ECONOMIC DEVELOPMENT ZONE  HANGZHOU ZHEJIANG|2025-11-13 10:25:05|
3471|5600860|160|2025-10-09|COVE257TX02A2|CIF| ||| | |91330100757206158|ZHEJIANG CFMOTO POWER CO., LTD||||||2025-11-14 16:30:07|
1925|5001428|160|2025-10-21|COVE257T8RGF8|CIF|USD|546.77|546.77|CHN| |91330100757206158|ZHEJIANG CFMOTO POWER CO.,LTD|WUZHOU ROAD|SN|116|311100|YUHANG ECONOMIC DEVELOPMENT ZONE  HANGZHOU ZHEJIANG|2025-11-19 12:00:03|
3471|5600746|160|2025-10-20|COVE257T2GRY4|CIF| ||| | |91330100757206158|ZHEJIANG CFMOTO POWER CO., LTD||||||2025-11-20 21:45:01|
