Patente|Pedimento|SeccionAduanera|Fraccion|SecuenciaFraccion|ClaveContribucion|TasaContribucion|TipoTasa|FechaPagoReal
1925|5700293|160|87087099|10|3|16.00000|1|2025-11-27 10:15:02|
1925|5700306|160|84818022|115|3|16.00000|1|2025-11-28 11:04:03|
1925|5700308|160|87088007|18|3|16.00000|1|2025-11-28 11:14:03|
1925|5001374|160|87082999|104|3|16.00000|1|2025-11-01 11:06:01|
1925|5001374|160|85444299|60|3|16.00000|1|2025-11-01 11:06:01|
3471|5600950|160|98020019|130|3|16.00000|1|2025-11-27 18:19:02|
3471|5600946|160|87082999|51|3|16.00000|1|2025-11-28 20:35:00|
1925|5001374|160|73181599|28|6|35.00000|1|2025-11-01 11:06:01|
1925|5001374|160|73182403|152|6|35.00000|1|2025-11-01 11:06:01|
3471|5600944|160|73262006|209|3|16.00000|1|2025-11-27 19:08:01|
3471|5600947|160|73269099|5|3|16.00000|1|2025-11-28 20:17:01|
1925|5700351|160|87082999|9|3|16.00000|1|2025-11-28 14:22:01|
3577|5102337|521|87082999|40|3|16.00000|1|2025-11-05 11:14:03|
1925|5100881|160|73269099|5|3|16.00000|1|2025-11-01 08:54:00|
1925|5001374|160|87088007|93|3|16.00000|1|2025-11-01 11:06:01|
3577|5102337|521|85122099|22|6|5.00000|1|2025-11-05 11:14:03|
3471|5600952|160|87082999|19|3|16.00000|1|2025-11-27 17:41:05|
1925|5700351|160|87082999|39|3|16.00000|1|2025-11-28 14:22:01|
1925|5700312|160|87082999|69|3|16.00000|1|2025-11-28 11:37:01|
3577|5102337|521|87082999|41|3|16.00000|1|2025-11-05 11:14:03|
1925|5001374|160|73202005|153|3|16.00000|1|2025-11-01 11:06:01|
3471|5600944|160|87088005|134|3|16.00000|1|2025-11-27 19:08:01|
3471|5600950|160|94019999|110|3|16.00000|1|2025-11-27 18:19:02|
1925|5001374|160|73182291|44|6|35.00000|1|2025-11-01 11:06:01|
1925|5001374|160|73181599|31|3|16.00000|1|2025-11-01 11:06:01|
1925|5700293|160|94019999|14|3|16.00000|1|2025-11-27 10:15:02|
1925|5700306|160|73181599|129|3|16.00000|1|2025-11-28 11:04:03|
1925|5700293|160|40169999|30|3|16.00000|1|2025-11-27 10:15:02|
1925|5001374|160|84254299|154|3|16.00000|1|2025-11-01 11:06:01|
1925|5001374|160|87089203|75|3|16.00000|1|2025-11-01 11:06:01|
1925|5001374|160|40169304|218|3|16.00000|1|2025-11-01 11:06:01|
1925|5001374|160|87089412|106|3|16.00000|1|2025-11-01 11:06:01|
3471|5600946|160|87082999|68|3|16.00000|1|2025-11-28 20:35:00|
3471|5600950|160|85444299|43|3|16.00000|1|2025-11-27 18:19:02|
1925|5700308|160|73181599|3|6|35.00000|1|2025-11-28 11:14:03|
1925|5001374|160|87082922|128|6|3.00000|1|2025-11-01 11:06:01|
3577|5102337|521|73181599|11|3|16.00000|1|2025-11-05 11:14:03|
1925|5700316|160|85371006|122|3|16.00000|1|2025-11-28 11:26:01|
3471|5600946|160|98020019|178|3|16.00000|1|2025-11-28 20:35:00|
1925|5001374|160|85124001|195|3|16.00000|1|2025-11-01 11:06:01|
1637|5201476|521|90322001|3|3|16.00000|1|2025-11-06 23:20:01|
1925|5700315|160|73269099|3|3|16.00000|1|2025-11-28 11:31:02|
3471|5600946|160|94019999|145|3|16.00000|1|2025-11-28 20:35:00|
1925|5700293|160|94019999|18|3|16.00000|1|2025-11-27 10:15:02|
1925|5001374|160|49089099|189|3|16.00000|1|2025-11-01 11:06:01|
1925|5001374|160|73181599|26|6|35.00000|1|2025-11-01 11:06:01|
1925|5001374|160|87089999|3|3|16.00000|1|2025-11-01 11:06:01|
1925|5001374|160|39174001|220|3|16.00000|1|2025-11-01 11:06:01|
1925|5700306|160|39174001|132|3|16.00000|1|2025-11-28 11:04:03|
1925|5700305|160|73269099|2|3|16.00000|1|2025-11-28 11:04:02|
3471|5600944|160|40169999|24|3|16.00000|1|2025-11-27 19:08:01|
1637|5201476|521|85365099|8|3|16.00000|1|2025-11-06 23:20:01|
1925|5001374|160|87082101|192|3|16.00000|1|2025-11-01 11:06:01|
1925|5700297|160|73181606|1|6|35.00000|1|2025-11-27 13:25:01|
3471|5600946|160|98020019|215|3|16.00000|1|2025-11-28 20:35:00|
1925|5001374|160|73181599|229|6|35.00000|1|2025-11-01 11:06:01|
1925|5001374|160|40169304|219|3|16.00000|1|2025-11-01 11:06:01|
3471|5600944|160|94019999|190|3|16.00000|1|2025-11-27 19:08:01|
1925|5700289|160|87082201|29|3|16.00000|1|2025-11-26 17:57:07|
1925|5700306|160|87089999|107|3|16.00000|1|2025-11-28 11:04:03|
1925|5001374|160|98020019|102|3|16.00000|1|2025-11-01 11:06:01|
1925|5001374|160|85371099|182|3|16.00000|1|2025-11-01 11:06:01|
1925|5001374|160|87081099|157|3|16.00000|1|2025-11-01 11:06:01|
1925|5001374|160|73181599|17|3|16.00000|1|2025-11-01 11:06:01|
1925|5700306|160|73181599|24|6|35.00000|1|2025-11-28 11:04:03|
1925|5700316|160|87082999|44|3|16.00000|1|2025-11-28 11:26:01|
3471|5600944|160|87082999|112|3|16.00000|1|2025-11-27 19:08:01|
1925|5001374|160|73181599|25|3|16.00000|1|2025-11-01 11:06:01|
1925|5001374|160|73181599|228|3|16.00000|1|2025-11-01 11:06:01|
1925|5700347|160|85365099|40|3|16.00000|1|2025-11-24 13:15:00|
3471|5600944|160|98020019|229|3|16.00000|1|2025-11-27 19:08:01|
1925|5001374|160|40169999|203|3|16.00000|1|2025-11-01 11:06:01|
1925|5001374|160|40091102|183|3|16.00000|1|2025-11-01 11:06:01|
1925|5700320|160|85182202|43|3|16.00000|1|2025-11-28 11:22:01|
1925|5700304|160|87082999|3|3|16.00000|1|2025-11-28 11:04:02|
1925|5700302|160|73182403|49|3|16.00000|1|2025-11-28 11:39:01|
1925|5001374|160|73181606|226|6|35.00000|1|2025-11-01 11:06:01|
1637|5201476|521|74122001|17|3|16.00000|1|2025-11-06 23:20:01|
1925|5001374|160|87085099|109|6|3.00000|1|2025-11-01 11:06:01|
1925|5001374|160|73182291|46|3|16.00000|1|2025-11-01 11:06:01|
1925|5700306|160|87085099|106|3|16.00000|1|2025-11-28 11:04:03|
1925|5700302|160|73181599|149|3|16.00000|1|2025-11-28 11:39:01|
1925|5700351|160|87082999|56|3|16.00000|1|2025-11-28 14:22:01|
1925|5001374|160|87088005|175|3|16.00000|1|2025-11-01 11:06:01|
1925|5001374|160|87082919|287|3|16.00000|1|2025-11-01 11:06:01|
1925|5700306|160|39263002|143|3|16.00000|1|2025-11-28 11:04:03|
3471|5600950|160|94019999|112|3|16.00000|1|2025-11-27 18:19:02|
1925|5001374|160|87082999|86|3|16.00000|1|2025-11-01 11:06:01|
3577|5102319|521|87082919|4|3|16.00000|1|2025-11-03 11:59:01|
3471|5600944|160|87089999|159|3|16.00000|1|2025-11-27 19:08:01|
1925|5700312|160|87082999|61|3|16.00000|1|2025-11-28 11:37:01|
3471|5600944|160|39269099|7|3|16.00000|1|2025-11-27 19:08:01|
1925|5001374|160|40169304|83|3|16.00000|1|2025-11-01 11:06:01|
1925|5001374|160|87089999|173|3|16.00000|1|2025-11-01 11:06:01|
1925|5001374|160|87082999|263|3|16.00000|1|2025-11-01 11:06:01|
1925|5001374|160|87082999|237|3|16.00000|1|2025-11-01 11:06:01|
1925|5700320|160|87082999|61|3|16.00000|1|2025-11-28 11:22:01|
1925|5700305|160|73269099|1|6|35.00000|1|2025-11-28 11:04:02|
3577|5102455|521|84672101|1|3|16.00000|1|2025-11-26 14:06:01|
1925|5001374|160|73181599|63|6|35.00000|1|2025-11-01 11:06:01|
3577|5102337|521|85444299|36|3|16.00000|1|2025-11-05 11:14:03|
1925|5700306|160|87082999|101|3|16.00000|1|2025-11-28 11:04:03|
3471|5600944|160|87082999|87|3|16.00000|1|2025-11-27 19:08:01|
1925|5001374|160|73181599|28|3|16.00000|1|2025-11-01 11:06:01|
1925|5001374|160|85365099|126|3|16.00000|1|2025-11-01 11:06:01|
1925|5700306|160|73181599|6|3|16.00000|1|2025-11-28 11:04:03|
1925|5700302|160|73181599|82|6|35.00000|1|2025-11-28 11:39:01|
1925|5700313|160|73269099|1|6|35.00000|1|2025-11-28 11:33:01|
1925|5001374|160|87088005|108|3|16.00000|1|2025-11-01 11:06:01|
1925|5001374|160|85365099|122|3|16.00000|1|2025-11-01 11:06:01|
1925|5001374|160|39199099|138|6|35.00000|1|2025-11-01 11:06:01|
1925|5001374|160|39199099|138|3|16.00000|1|2025-11-01 11:06:01|
3471|5600944|160|98020019|214|3|16.00000|1|2025-11-27 19:08:01|
3577|5102457|521|84672101|1|3|16.00000|1|2025-11-26 11:09:01|
1925|5700316|160|39199099|81|3|16.00000|1|2025-11-28 11:26:01|
1925|5001374|160|85182202|255|6|15.00000|1|2025-11-01 11:06:01|
3577|5102337|521|87089999|51|3|16.00000|1|2025-11-05 11:14:03|
3471|5600944|160|98020019|203|3|16.00000|1|2025-11-27 19:08:01|
3471|5600944|160|87083099|130|3|16.00000|1|2025-11-27 19:08:01|
1925|5001374|160|73181504|221|6|35.00000|1|2025-11-01 11:06:01|
1925|5001374|160|39199099|139|3|16.00000|1|2025-11-01 11:06:01|
1925|5700320|160|87082999|24|3|16.00000|1|2025-11-28 11:22:01|
1925|5700306|160|73181599|8|3|16.00000|1|2025-11-28 11:04:03|
1925|5700306|160|73181599|16|6|35.00000|1|2025-11-28 11:04:03|
1925|5001374|160|39199099|142|6|35.00000|1|2025-11-01 11:06:01|
1925|5001374|160|39199099|89|6|35.00000|1|2025-11-01 11:06:01|
1925|5001374|160|40169901|215|3|16.00000|1|2025-11-01 11:06:01|
1925|5001374|160|73181401|38|6|35.00000|1|2025-11-01 11:06:01|
3043|5003623|523|56090002|1|3|16.00000|1|2025-11-26 14:38:01|
3471|5600950|160|87082999|62|3|16.00000|1|2025-11-27 18:19:02|
3471|5600944|160|87082999|70|3|16.00000|1|2025-11-27 19:08:01|
1925|5001374|160|87089999|233|3|16.00000|1|2025-11-01 11:06:01|
1925|5001374|160|40169999|82|3|16.00000|1|2025-11-01 11:06:01|
3043|5003623|523|56090002|1|6|10.00000|1|2025-11-26 14:38:01|
1925|5700302|160|73182291|27|6|35.00000|1|2025-11-28 11:39:01|
1925|5001374|160|87089412|97|3|16.00000|1|2025-11-01 11:06:01|
3577|5102337|521|73182403|17|3|16.00000|1|2025-11-05 11:14:03|
1925|5700304|160|87082999|34|3|16.00000|1|2025-11-28 11:04:02|
3471|5600946|160|39269099|10|3|16.00000|1|2025-11-28 20:35:00|
3471|5600946|160|87082999|104|3|16.00000|1|2025-11-28 20:35:00|
1925|5001374|160|39199099|147|3|16.00000|1|2025-11-01 11:06:01|
1925|5001374|160|73181599|213|6|35.00000|1|2025-11-01 11:06:01|
1925|5001374|160|85371099|224|3|16.00000|1|2025-11-01 11:06:01|
1925|5001374|160|73181599|213|3|16.00000|1|2025-11-01 11:06:01|
3471|5600946|160|98020019|210|3|16.00000|1|2025-11-28 20:35:00|
3471|5600946|160|98020019|252|3|16.00000|1|2025-11-28 20:35:00|
1925|5700316|160|87082901|29|3|16.00000|1|2025-11-28 11:26:01|
1925|5001374|160|85182202|117|3|16.00000|1|2025-11-01 11:06:01|
3577|5102337|521|73181599|13|6|35.00000|1|2025-11-05 11:14:03|
1925|5700302|160|87089412|89|3|16.00000|1|2025-11-28 11:39:01|
1925|5700306|160|87088005|67|3|16.00000|1|2025-11-28 11:04:03|
1925|5001374|160|39199099|141|3|16.00000|1|2025-11-01 11:06:01|
3577|5102337|521|85122099|23|3|16.00000|1|2025-11-05 11:14:03|
3471|5600948|160|87082999|49|3|16.00000|1|2025-11-27 18:38:02|
3471|5600952|160|87082999|2|3|16.00000|1|2025-11-27 17:41:05|
1925|5700306|160|73181599|19|3|16.00000|1|2025-11-28 11:04:03|
1925|5001374|160|85182202|117|6|15.00000|1|2025-11-01 11:06:01|
1925|5001374|160|73181599|10|3|16.00000|1|2025-11-01 11:06:01|
1925|5001374|160|39269099|170|3|16.00000|1|2025-11-01 11:06:01|
1925|5001374|160|73181606|252|3|16.00000|1|2025-11-01 11:06:01|
1925|5700316|160|39199099|78|6|35.00000|1|2025-11-28 11:26:01|
3471|5600946|160|84879006|37|3|16.00000|1|2025-11-28 20:35:00|
3471|5600948|160|87082999|50|3|16.00000|1|2025-11-27 18:38:02|
1925|5001374|160|73181599|26|3|16.00000|1|2025-11-01 11:06:01|
1925|5100881|160|73269099|1|3|16.00000|1|2025-11-01 08:54:00|
1925|5700302|160|73181599|5|3|16.00000|1|2025-11-28 11:39:01|
3471|5600950|160|85443099|42|3|16.00000|1|2025-11-27 18:19:02|
1637|5201476|521|85369099|13|3|16.00000|1|2025-11-06 23:20:01|
1925|5100881|160|73269099|4|3|16.00000|1|2025-11-01 08:54:00|
1925|5700302|160|87082919|137|3|16.00000|1|2025-11-28 11:39:01|
1925|5700319|160|56090002|1|3|16.00000|1|2025-11-28 11:23:03|
3471|5600946|160|98020019|225|3|16.00000|1|2025-11-28 20:35:00|
1925|5001374|160|87089999|254|3|16.00000|1|2025-11-01 11:06:01|
1925|5001374|160|73181599|15|6|35.00000|1|2025-11-01 11:06:01|
1925|5001374|160|73181599|29|6|35.00000|1|2025-11-01 11:06:01|
1925|5001374|160|73181599|37|3|16.00000|1|2025-11-01 11:06:01|
1925|5700302|160|40091102|151|3|16.00000|1|2025-11-28 11:39:01|
1925|5700320|160|87082999|73|3|16.00000|1|2025-11-28 11:22:01|
3471|5600950|160|87082999|57|3|16.00000|1|2025-11-27 18:19:02|
1925|5001374|160|73269099|209|6|35.00000|1|2025-11-01 11:06:01|
1925|5001374|160|73182403|65|3|16.00000|1|2025-11-01 11:06:01|
1925|5700302|160|73181606|16|6|35.00000|1|2025-11-28 11:39:01|
3471|5600950|160|87088007|78|3|16.00000|1|2025-11-27 18:19:02|
1925|5001374|160|85371099|293|3|16.00000|1|2025-11-01 11:06:01|
3577|5102337|521|85365099|31|3|16.00000|1|2025-11-05 11:14:03|
1925|5700289|160|87082999|13|3|16.00000|1|2025-11-26 17:57:07|
1925|5700287|160|87085099|15|3|16.00000|1|2025-11-26 17:43:03|
3471|5600946|160|87088007|119|3|16.00000|1|2025-11-28 20:35:00|
3577|5102337|521|85129007|24|3|16.00000|1|2025-11-05 11:14:03|
1925|5001374|160|73181606|43|6|35.00000|1|2025-11-01 11:06:01|
1925|5001374|160|87088099|251|3|16.00000|1|2025-11-01 11:06:01|
1925|5001374|160|87082999|156|3|16.00000|1|2025-11-01 11:06:01|
3471|5600944|160|87082999|93|3|16.00000|1|2025-11-27 19:08:01|
3471|5600946|160|98020019|206|3|16.00000|1|2025-11-28 20:35:00|
1925|5700316|160|39199099|86|3|16.00000|1|2025-11-28 11:26:01|
1925|5001374|160|73181599|35|3|16.00000|1|2025-11-01 11:06:01|
1925|5001374|160|87082999|239|3|16.00000|1|2025-11-01 11:06:01|
3471|5600950|160|85122099|30|3|16.00000|1|2025-11-27 18:19:02|
3471|5600944|160|87082999|114|3|16.00000|1|2025-11-27 19:08:01|
1925|5001374|160|73181599|11|6|35.00000|1|2025-11-01 11:06:01|
3577|5102337|521|73181606|15|6|35.00000|1|2025-11-05 11:14:03|
3471|5600948|160|87082999|55|3|16.00000|1|2025-11-27 18:38:02|
3471|5600946|160|98020019|165|3|16.00000|1|2025-11-28 20:35:00|
3471|5600946|160|90328999|139|3|16.00000|1|2025-11-28 20:35:00|
1925|5001374|160|87082101|193|3|16.00000|1|2025-11-01 11:06:01|
1925|5001374|160|73269099|69|6|35.00000|1|2025-11-01 11:06:01|
1925|5001374|160|87082999|277|3|16.00000|1|2025-11-01 11:06:01|
1637|5201476|521|48211001|1|3|16.00000|1|2025-11-06 23:20:01|
1925|5700351|160|87082999|3|3|16.00000|1|2025-11-28 14:22:01|
3471|5600951|160|73269099|2|3|16.00000|1|2025-11-27 17:47:14|
3471|5600944|160|98020019|204|3|16.00000|1|2025-11-27 19:08:01|
3897|5611271|240|00000000|1|6|75.00000|1|2025-11-03 16:00:09|
3577|5102337|521|85365099|33|3|16.00000|1|2025-11-05 11:14:03|
3471|5600944|160|98020019|202|3|16.00000|1|2025-11-27 19:08:01|
1925|5700302|160|87089999|3|3|16.00000|1|2025-11-28 11:39:01|
3577|5102337|521|87089999|50|3|16.00000|1|2025-11-05 11:14:03|
3471|5600944|160|39269099|4|3|16.00000|1|2025-11-27 19:08:01|
1925|5700304|160|39269099|38|3|16.00000|1|2025-11-28 11:04:02|
1925|5700308|160|87088005|46|3|16.00000|1|2025-11-28 11:14:03|
1925|5700302|160|87082919|138|3|16.00000|1|2025-11-28 11:39:01|
1925|5001374|160|39269020|53|3|16.00000|1|2025-11-01 11:06:01|
1925|5001374|160|73181599|31|6|35.00000|1|2025-11-01 11:06:01|
1925|5001374|160|87082101|164|3|16.00000|1|2025-11-01 11:06:01|
1925|5001374|160|73181599|15|3|16.00000|1|2025-11-01 11:06:01|
3471|5600946|160|87082999|69|3|16.00000|1|2025-11-28 20:35:00|
3471|5600946|160|85365099|44|3|16.00000|1|2025-11-28 20:35:00|
1925|5700306|160|73181599|42|3|16.00000|1|2025-11-28 11:04:03|
1925|5700306|160|40093205|78|3|16.00000|1|2025-11-28 11:04:03|
3577|5102337|521|87082201|37|3|16.00000|1|2025-11-05 11:14:03|
1925|5700302|160|39199099|63|3|16.00000|1|2025-11-28 11:39:01|
1925|5700302|160|73181606|17|3|16.00000|1|2025-11-28 11:39:01|
1637|5201476|521|85365099|11|3|16.00000|1|2025-11-06 23:20:01|
3471|5600946|160|87083099|111|3|16.00000|1|2025-11-28 20:35:00|
1925|5700306|160|87082922|90|6|3.00000|1|2025-11-28 11:04:03|
1925|5700320|160|87082999|1|3|16.00000|1|2025-11-28 11:22:01|
1925|5700302|160|40169999|150|3|16.00000|1|2025-11-28 11:39:01|
1925|5100881|160|73269099|3|6|35.00000|1|2025-11-01 08:54:00|
1925|5001374|160|85182202|118|3|16.00000|1|2025-11-01 11:06:01|
1925|5001374|160|87089203|77|3|16.00000|1|2025-11-01 11:06:01|
3577|5102337|521|87088099|44|6|5.00000|1|2025-11-05 11:14:03|
1925|5700302|160|73181599|6|3|16.00000|1|2025-11-28 11:39:01|
1925|5700312|160|94019999|33|3|16.00000|1|2025-11-28 11:37:01|
1925|5700312|160|87082999|23|3|16.00000|1|2025-11-28 11:37:01|
3471|5600946|160|94019999|143|3|16.00000|1|2025-11-28 20:35:00|
3577|5102337|521|73181599|12|3|16.00000|1|2025-11-05 11:14:03|
1925|5700287|160|94019999|22|3|16.00000|1|2025-11-26 17:43:03|
1925|5700308|160|73181599|1|6|35.00000|1|2025-11-28 11:14:03|
1925|5001374|160|39173999|165|3|16.00000|1|2025-11-01 11:06:01|
3471|5600946|160|39269099|7|3|16.00000|1|2025-11-28 20:35:00|
1925|5700306|160|39173999|108|3|16.00000|1|2025-11-28 11:04:03|
1925|5700316|160|39199099|67|3|16.00000|1|2025-11-28 11:26:01|
3471|5600943|160|73269099|1|6|35.00000|1|2025-11-27 18:24:03|
1925|5001374|160|39199099|87|6|35.00000|1|2025-11-01 11:06:01|
1925|5001374|160|73181599|207|3|16.00000|1|2025-11-01 11:06:01|
1925|5001374|160|73181599|5|3|16.00000|1|2025-11-01 11:06:01|
3577|5102337|521|73181599|14|3|16.00000|1|2025-11-05 11:14:03|
1925|5700304|160|40169999|9|3|16.00000|1|2025-11-28 11:04:02|
3471|5600946|160|98020019|169|3|16.00000|1|2025-11-28 20:35:00|
1925|5700289|160|87082201|16|3|16.00000|1|2025-11-26 17:57:07|
1925|5700289|160|87082999|18|3|16.00000|1|2025-11-26 17:57:07|
1925|5001374|160|87082919|282|3|16.00000|1|2025-11-01 11:06:01|
1925|5700287|160|94019999|20|3|16.00000|1|2025-11-26 17:43:03|
1925|5700306|160|84833004|139|3|16.00000|1|2025-11-28 11:04:03|
1925|5001374|160|73181599|23|6|35.00000|1|2025-11-01 11:06:01|
3471|5600946|160|98020019|155|3|16.00000|1|2025-11-28 20:35:00|
1925|5700296|160|63079099|2|3|16.00000|1|2025-11-26 18:05:02|
1925|5700302|160|73181599|6|6|35.00000|1|2025-11-28 11:39:01|
1925|5700302|160|39199099|63|6|35.00000|1|2025-11-28 11:39:01|
3577|5102337|521|73269099|18|6|35.00000|1|2025-11-05 11:14:03|
1925|5001374|160|87088005|176|3|16.00000|1|2025-11-01 11:06:01|
1925|5001374|160|73181599|11|3|16.00000|1|2025-11-01 11:06:01|
1925|5001374|160|73181599|23|3|16.00000|1|2025-11-01 11:06:01|
3577|5102463|521|84672101|1|3|16.00000|1|2025-11-27 12:08:01|
1925|5700302|160|87082101|128|3|16.00000|1|2025-11-28 11:39:01|
1925|5700320|160|87082999|50|3|16.00000|1|2025-11-28 11:22:01|
