Patente|Pedimento|SeccionAduanera|Fraccion|SecuenciaFraccion|SecuenciaObservacion|Observaciones|FechaPagoReal
3471|5600944|160|87082999|117|3|5SYV-032020-8001-H1M|2025-11-27 19:08:01|
3471|5600782|160|39199099|17|2|No.Parte|2025-11-19 15:41:01|
1647|5006933|240|87032199|3|176|380Y-3 SH070056|2025-11-10 10:37:06|
1925|5100854|160|84123199|12|1|No. De parte: 5BWV-102000-5001|2025-11-19 11:25:05|
3471|5600766|160|73181599|78|2|No.Parte|2025-11-19 18:35:03|
1647|5006933|240|87032199|3|241|380Y-3 SH100097|2025-11-10 10:37:06|
3471|5600764|160|87082101|112|2|No.Parte|2025-11-19 19:00:03|
3471|5600946|160|87082999|91|1|25CFTT405952-4|2025-11-28 20:35:00|
3471|5600944|160|87082101|58|2|No.Parte|2025-11-27 19:08:01|
3471|5600862|160|73269099|143|1|25CFTT405303-5|2025-11-14 16:48:01|
3043|5003412|523|73269099|1|1|ORDEN No. 1 PARTE NO. V-MP|2025-11-26 17:04:02|
3471|5600862|160|84254299|152|3|5HYV-222080-4100|2025-11-14 16:48:01|
3471|5600799|160|73269099|4|3|TBT054|2025-11-14 15:49:03|
1925|5700287|160|85182202|25|1|No. De parte: 5HYV-155200-6000-M1|2025-11-26 17:43:03|
3471|5600794|160|87141099|120|1|25CFTT405375-4|2025-11-14 15:50:01|
3471|5600946|160|98020019|174|1|25CFTT405952-5|2025-11-28 20:35:00|
3471|5600946|160|87082999|85|3|5HYV-221104-6000-H1M|2025-11-28 20:35:00|
3471|5600782|160|94019999|159|3|5HYV-134000-6000-22|2025-11-19 15:41:01|
1647|5006933|240|87032199|2|59|380Y-3 SH160046|2025-11-10 10:37:06|
3471|5600766|160|73181599|69|1|25CFTT405370-2|2025-11-19 18:35:03|
3471|5600766|160|73181599|53|1|25CFTT405370-2|2025-11-19 18:35:03|
1647|5006933|240|87032199|2|82|380Y-3 SH160094|2025-11-10 10:37:06|
3471|5600764|160|87082999|123|1|25CFTT405370-1|2025-11-19 19:00:03|
3471|5600946|160|87082999|103|2|No.Parte|2025-11-28 20:35:00|
3471|5600946|160|98020019|252|1|FRACCION ORIGINAL 8708509904|2025-11-28 20:35:00|
3471|5600860|160|39269099|13|1|25CFTT405303-2|2025-11-14 16:30:07|
1925|5700289|160|87082201|31|1|No. De parte: 5HYV-237000-6001-39|2025-11-26 17:57:07|
3471|5600799|160|73269099|11|1|25CFTT405375-3|2025-11-14 15:49:03|
3471|5600796|160|87085099|100|3|Q890-310000-40001|2025-11-14 17:16:03|
1925|5700347|160|94019999|27|1|No. De parte: 5HYV-131200-6000-20|2025-11-24 13:15:00|
3471|5600858|160|73181599|12|3|5BWV-040008-5000|2025-11-14 17:16:03|
3471|5600946|160|73262006|195|1|25CFTT405952-5|2025-11-28 20:35:00|
1925|5700351|160|87082999|62|1|No. De parte: 5HYV-234030-6000-H1M|2025-11-28 14:22:01|
3471|5600764|160|87082999|147|2|No.Parte|2025-11-19 19:00:03|
1647|5006933|240|87032199|3|193|380Y-3 SH190262|2025-11-10 10:37:06|
3471|5600766|160|39269099|37|2|No.Parte|2025-11-19 18:35:03|
3471|5600782|160|83100099|75|2|No.Parte|2025-11-19 15:41:01|
1647|5006933|240|87032199|2|100|380Y-3 SH160147|2025-11-10 10:37:06|
3471|5600764|160|73181599|53|2|No.Parte|2025-11-19 19:00:03|
1647|5017166|240|87032199|1|9|380Y-3 SH290055|2025-11-27 16:22:03|
3471|5600946|160|98020019|209|3|NO.PARTE|2025-11-28 20:35:00|
1925|5001390|160|94019999|35|1|No. De parte: 5HYV-131310-6000-21-H1|2025-11-13 13:04:03|
1925|5700350|160|87082999|8|1|No. De parte: 5HYV-032020-6001-H1M|2025-11-24 13:18:02|
3471|5600792|160|85365099|123|3|5HYV-169500-6001|2025-11-14 17:05:01|
3471|5600858|160|87082919|34|1|25CFTT405303-1|2025-11-14 17:16:03|
3577|5102446|521|83023091|1|1|1NO. DE PARTE : 5SYV-372300-8300  FACTURA: 1Z4W260EE121774425|2025-11-24 15:27:03|
1925|5700238|160|85365099|136|1|No. De parte: 5HYV-169510-6000|2025-11-13 14:41:01|
1925|5700351|160|87082999|53|1|No. De parte: 5HYV-221104-6000-H1M|2025-11-28 14:22:01|
1647|5017166|240|87032199|1|101|380Y-3 SH290285|2025-11-27 16:22:03|
3471|5600782|160|87089904|144|2|25CFTT405338-7|2025-11-19 15:41:01|
1647|5006933|240|87032199|3|254|380Y-3 SH220105|2025-11-10 10:37:06|
3471|5600789|160|87082902|129|1|25CFTT405309-4|2025-11-19 18:29:04|
