Patente|Pedimento|SeccionAduanera|ConsecutivoRemesa|NumeroSeleccion|FechaSeleccion|HoraSeleccion|SemaforoFiscal|ClaveDocumento|TipoOperacion
1925|5700283|160|0|1|2025-11-20|21:57|1|IN|1|
3471|5600740|160|6|1|2025-11-25|19:21|1|A1|1|
1647|5017166|240|9|1|2025-11-19|20:09|1|RT|2|
3471|5600754|160|0|1|2025-11-22|10:14|1|A1|1|
1647|5017166|240|19|1|2025-11-20|09:09|1|RT|2|
1647|5006994|240|45|1|2025-11-09|13:46|1|RT|2|
1925|5700327|160|0|1|2025-11-21|19:20|1|IN|1|
3043|5603480|520|1|1|2025-11-10|11:45|1|RT|2|
3471|5600735|160|0|1|2025-11-25|19:21|1|A1|1|
1925|5100794|160|0|1|2025-11-03|10:26|1|A1|1|
1647|5006994|240|6|1|2025-11-05|15:38|1|RT|2|
1647|5017166|240|79|1|2025-11-23|10:15|1|RT|2|
1925|5700340|160|0|1|2025-11-24|21:55|1|A1|1|
1647|5016705|240|12|1|2025-11-11|22:36|1|RT|2|
1925|5700337|160|0|1|2025-11-26|08:54|1|IN|1|
1925|5700357|160|0|1|2025-11-26|14:13|0|IN|1|
3577|5102378|521|0|1|2025-11-12|19:35|1|AF|1|
3471|5600795|160|0|1|2025-11-19|12:57|1|A1|1|
1647|5016705|240|43|1|2025-11-13|13:41|1|RT|2|
1925|5001427|160|0|1|2025-11-20|14:23|1|IN|1|
3577|5102409|521|0|1|2025-11-18|17:32|1|AF|1|
1647|5006994|240|47|1|2025-11-09|13:56|1|RT|2|
3043|5603479|520|2|1|2025-11-10|11:46|1|RT|2|
1925|5700363|160|0|1|2025-11-24|17:01|1|IN|1|
3153|5000830|800|0|1|2025-11-06|20:49|1|IN|1|
3577|5102457|521|0|1|2025-11-26|17:20|0|AF|1|
1647|5006994|240|29|1|2025-11-09|10:14|1|RT|2|
1647|5006933|240|69|1|2025-11-01|14:54|1|RT|2|
1925|5700162|160|0|1|2025-11-03|18:14|1|IN|1|
1925|5700239|160|0|1|2025-11-16|00:15|1|A1|1|
3471|5600863|160|0|1|2025-11-19|17:52|1|A1|1|
1925|5700207|160|0|1|2025-11-15|10:54|0|A1|1|
3471|5600781|160|0|1|2025-11-25|09:51|1|A1|1|
3043|5003412|520|1|1|2025-11-05|11:43|1|IN|1|
1647|5016705|240|18|1|2025-11-12|10:17|1|RT|2|
1925|5700241|160|0|1|2025-11-16|00:15|1|A1|1|
1647|5017166|240|62|1|2025-11-23|08:37|1|RT|2|
1925|5100793|160|0|1|2025-11-03|10:26|1|IN|1|
3043|5603479|520|1|1|2025-11-10|11:45|1|RT|2|
1925|5700153|160|0|1|2025-11-03|08:07|1|A1|1|
3043|5603393|520|1|1|2025-11-03|11:19|1|RT|2|
3132|5005730|160|0|1|2025-11-03|11:32|0|IN|1|
3471|5600663|160|0|1|2025-11-01|08:08|1|IN|1|
1647|5016705|240|101|1|2025-11-16|14:43|1|RT|2|
1925|5700279|160|0|1|2025-11-20|14:34|1|IN|1|
1647|5016705|240|47|1|2025-11-13|14:59|1|RT|2|
