Patente|Pedimento|SeccionAduanera|SecuenciaObservacion|Observaciones|TipoPedimento|FechaValidacionPagoR
1925|5700203|160|6|BULTOS, CON UN PESO DE 30.52 KG.OPERACION DE CONFORMIDAD CON EL ARTICULO 54 DE LA LEY ADUANERA EN VIGOR, CON DOCUMENTOS|1|2025-11-13 10:28:03|
1925|5700218|160|2|DE CONFORMIDAD CON EL ARTICULO 36 DE LA LEY ADUANERA EN VIGOR Y ASI COMO LO DISPUESTO EN LAS REGLAS DE CARACTER GENERAL|1|2025-11-13 10:05:03|
1925|5001426|160|5|CLIENTE.LOS CONTENEDORES: HMCU9179155 Y TGBU7033296 SE DESPACHAN CON NUMEROS DE SELLOS: EMCWDX1764 Y EMCWED2804|1|2025-11-19 12:00:02|
1925|5700215|160|4|CONTENEDOR: CAAU5198290 SE DESPACHA CON NUMERO DE SELLO: EMCWHB4314.DE CONFORMIDAD CON EL ARTICULO 65 DEL REGLAMENTO DE|1|2025-11-12 18:20:01|
1925|5100826|160|1|SE PRESENTA COMPROBANTE DE VALOR ELECTRONICO CON LOS DATOS CONTENIDOS EN FACTURA COMERCIAL CUMPLIENDO CON LOS REQUISITOS|1|2025-11-12 16:35:01|
1925|5700240|160|4|EMPAQUE-IMMEX-PROSECEL CONTENEDOR: EGSU1395914 SE DESPACHA CON NUMERO DE SELLO: EMCWEB5874.DE CONFORMIDAD CON EL|1|2025-11-13 11:24:02|
3471|5600797|160|12|COMERCIAL, SIENDO ESTA LA PRIMERA OPERACION DE LA QUE SE IMPORTA UN VALOR DE 367.08 USD.|1|2025-11-14 17:05:02|
3471|5600799|160|10|PESO DE 2,295.97  KG, LA PRESENTE OPERACION SE RELACIONA CON LOS PEDIMENTOS 25 16 3471 5600792,25 16|1|2025-11-14 15:49:03|
3471|5600797|160|8|CONOCIMIENTO DE EMBARQUE, SIENDO ESTA LA TERCERA OPERACION DE LA QUE SE IMPORTAN 3 BULTOS, CON UN|1|2025-11-14 17:05:02|
1925|5700213|160|6|BULTOS, CON UN PESO DE 68.16 KG.OPERACION DE CONFORMIDAD CON EL ARTICULO 54 DE LA LEY ADUANERA EN VIGOR, CON DOCUMENTOS|1|2025-11-12 18:15:00|
3471|5600796|160|13|OPERACION DE CONFORMIDAD CON EL ARTICULO 54 DE LA LEY ADUANERA EN VIGOR, CON DOCUMENTOS E INFORMACION|1|2025-11-14 17:16:03|
1925|5700235|160|1|SE PRESENTA COMPROBANTE DE VALOR ELECTRONICO CON LOS DATOS CONTENIDOS EN FACTURA COMERCIAL CUMPLIENDO CON LOS REQUISITOS|1|2025-11-13 10:48:03|
1925|5700214|160|4|EMPAQUE-IMMEX-PROSECEL CONTENEDOR: EITU1170290 SE DESPACHA CON NUMERO DE SELLO: EMCWHB4384.DE CONFORMIDAD CON EL|1|2025-11-12 18:15:01|
3043|5603479|523|4|RETORNO DE IMPORTACION TEMPORAL CON EL PROGRAMA IMMEX NO. 482023 CONFORME ART. 108 DE LA LEY ADUANERA|1|2025-11-21 12:54:02|
3471|5600859|160|3|-FACTURA COMERCIAL|1|2025-11-14 17:16:03|
1925|5001390|160|5|INFORMACIONPROPORCIONADOS POR EL CLIENTE.LOS CONTENEDORES: TCNU2280605 Y EITU1858298 SE DESPACHAN CON NUMEROS DE SELLOS:|1|2025-11-13 13:04:03|
1925|5100828|160|7|EMBARQUE EGLV143559585404 SE SUBDIVIDE DE CONFORMIDAD CON EL ART.65 DEL REGLAMENTO DELA LEY ADUANERA, SIENDO ESTA LA|1|2025-11-12 16:35:04|
1925|5100831|160|4|3.1.8-FACTURA-IMMEX-PROSECOPERACION DE CONFORMIDAD CON EL ARTICULO 54 DE LA LEY ADUANERA EN VIGOR, CON DOCUMENTOS E|1|2025-11-12 16:35:03|
1925|5100857|160|6|OPERACION DE LA QUE SE IMPORTAN 2 BULTOS, CON UN PESO DE 1,292.48 KGSEL CONOCIMIENTO DE EMBARQUE EGLV143574065734 SE|1|2025-11-19 11:27:02|
1925|5700199|160|3|EN MATERIA DE COMERCIO EXTERIOR 1.9.18 EN VIGOR.-CONOCIMIENTO MARITIMO REVALIDADO-CARTA 3.1.8-FACTURA-LISTA DE EMPAQUEEL|1|2025-11-13 10:23:01|
