Patente|Pedimento|SeccionAduanera|ClaveContribucion|FormaPago|ImportePago|TipoPedimento|FechaPagoReal
1925|5001395|160|15|0|290|1|2025-11-13 11:32:04|
3471|5600789|160|1|0|445|1|2025-11-19 18:29:04|
1925|5700337|160|1|0|445|1|2025-11-21 12:23:01|
3471|5600793|160|23|0|46|1|2025-11-14 15:49:02|
1925|5700275|160|23|0|46|1|2025-11-19 09:51:01|
1925|5700369|160|15|0|290|1|2025-11-21 18:50:03|
1925|5100855|160|23|0|46|1|2025-11-19 11:25:05|
1925|5700203|160|1|0|445|1|2025-11-13 10:28:03|
1925|5700288|160|1|0|445|1|2025-11-26 17:53:03|
1925|5700224|160|15|0|290|1|2025-11-12 18:26:02|
3577|5102343|521|23|0|46|1|2025-11-04 15:46:01|
3043|5003554|523|23|0|46|1|2025-11-14 15:08:03|
1925|5700297|160|1|0|445|1|2025-11-27 13:25:01|
1925|5700326|160|1|0|445|1|2025-11-20 12:24:02|
1925|5700319|160|15|0|290|1|2025-11-28 11:23:03|
3471|5600951|160|15|0|290|1|2025-11-27 17:47:14|
1925|5700368|160|1|0|445|1|2025-11-21 18:47:04|
1925|5700204|160|1|0|445|1|2025-11-13 10:37:02|
3471|5600946|160|1|0|445|1|2025-11-28 20:35:00|
3897|5611730|240|1|6|16714|1|2025-11-19 10:50:23|
3577|5102343|521|1|0|445|1|2025-11-04 15:46:01|
1925|5700359|160|23|0|46|1|2025-11-21 11:54:06|
3577|5102462|521|15|0|290|1|2025-11-27 14:03:01|
1925|5700214|160|23|0|46|1|2025-11-12 18:15:01|
3471|5600786|160|23|0|46|1|2025-11-19 19:35:01|
1925|5700201|160|15|0|290|1|2025-11-13 10:26:03|
3471|5600733|160|1|0|1223|1|2025-11-20 21:45:02|
3471|5600794|160|23|0|46|1|2025-11-14 15:50:01|
3577|5102392|521|1|0|445|1|2025-11-18 13:44:01|
1925|5001426|160|23|0|46|1|2025-11-19 12:00:02|
1925|5700331|160|1|0|445|1|2025-11-21 12:15:02|
1925|5700334|160|23|0|46|1|2025-11-21 12:48:02|
1925|5700199|160|1|0|445|1|2025-11-13 10:23:01|
1925|5700360|160|15|0|290|1|2025-11-21 13:23:02|
3577|5102461|521|15|0|290|1|2025-11-27 14:01:04|
3043|5603480|523|15|0|290|1|2025-11-24 21:03:01|
1925|5700332|160|15|0|290|1|2025-11-21 12:20:01|
3043|5603319|523|1|0|7582|1|2025-11-11 18:09:01|
1925|5700368|160|23|0|46|1|2025-11-21 18:47:04|
3471|5600798|160|1|0|445|1|2025-11-14 16:30:06|
1925|5700306|160|15|0|290|1|2025-11-28 11:04:03|
3577|5102434|521|15|0|290|1|2025-11-20 14:38:01|
1925|5700218|160|15|0|290|1|2025-11-13 10:05:03|
3471|5600893|160|1|0|11099|1|2025-11-21 23:57:02|
1925|5700289|160|23|0|46|1|2025-11-26 17:57:07|
1925|5700286|160|15|0|290|1|2025-11-26 17:34:04|
1925|5100857|160|23|0|46|1|2025-11-19 11:27:02|
1925|5700241|160|15|0|290|1|2025-11-13 11:22:02|
1890|5110449|750|15|0|290|1|2025-11-11 10:21:00|
1925|5700336|160|23|0|46|1|2025-11-21 12:23:00|
1925|5700334|160|15|0|290|1|2025-11-21 12:48:02|
1925|5700207|160|23|0|46|1|2025-11-13 11:02:03|
3471|5600953|160|15|0|290|1|2025-11-27 17:41:04|
3471|5000891|160|23|0|46|1|2025-11-21 23:58:01|
1925|5700340|160|15|0|290|1|2025-11-22 10:52:02|
1925|5700200|160|23|0|46|1|2025-11-13 10:25:05|
1925|5100857|160|15|0|290|1|2025-11-19 11:27:02|
1925|5700308|160|15|0|290|1|2025-11-28 11:14:03|
1925|5700307|160|15|0|290|1|2025-11-28 11:14:02|
3577|5102410|521|1|0|445|1|2025-11-18 12:09:02|
1925|5100857|160|1|0|445|1|2025-11-19 11:27:02|
1925|5700294|160|1|0|445|1|2025-11-26 18:00:10|
1925|5700313|160|15|0|290|1|2025-11-28 11:33:01|
3577|5102337|521|15|0|290|1|2025-11-05 11:14:03|
3577|5102391|521|23|0|46|1|2025-11-13 19:28:01|
1925|5700311|160|1|0|445|1|2025-11-28 11:14:06|
1925|5700363|160|23|0|46|1|2025-11-21 13:21:03|
1925|5700349|160|1|0|445|1|2025-11-24 13:18:01|
3471|5600780|160|15|0|290|1|2025-11-19 19:29:03|
3471|5600863|160|23|0|46|1|2025-11-14 16:10:03|
1925|5001386|160|15|0|290|1|2025-11-13 13:04:02|
3471|5600862|160|1|0|445|1|2025-11-14 16:48:01|
3471|5600864|160|1|0|445|1|2025-11-14 16:48:03|
3043|5003533|523|1|0|445|1|2025-11-14 09:51:01|
1925|5700229|160|1|0|445|1|2025-11-13 09:40:02|
3471|5600727|160|1|0|445|1|2025-11-13 09:40:06|
1925|5700314|160|23|0|46|1|2025-11-28 11:33:03|
1925|5700235|160|1|0|445|1|2025-11-13 10:48:03|
3471|5600785|160|15|0|290|1|2025-11-19 19:35:02|
1925|5100854|160|15|0|290|1|2025-11-19 11:25:05|
3577|5102454|521|23|0|46|1|2025-11-27 14:00:01|
3043|5603321|523|23|0|46|1|2025-11-10 18:13:01|
3471|5600902|160|1|0|5757|1|2025-11-21 23:57:01|
1925|5700371|160|23|0|46|1|2025-11-21 18:43:02|
3471|5600895|160|23|0|46|2|2025-11-15 11:53:02|
3577|5102368|521|15|0|290|1|2025-11-13 19:27:00|
1925|5700336|160|1|0|445|1|2025-11-21 12:23:00|
1925|5700200|160|1|0|445|1|2025-11-13 10:25:05|
1925|5700242|160|1|0|445|1|2025-11-13 11:23:02|
3897|5611766|240|1|6|16714|1|2025-11-19 12:10:21|
1925|5700308|160|1|0|445|1|2025-11-28 11:14:03|
1925|5700362|160|23|0|46|1|2025-11-21 13:25:02|
1925|5001426|160|1|0|445|1|2025-11-19 12:00:02|
3471|5600734|160|23|0|46|1|2025-11-20 21:45:00|
1647|5016705|240|23|0|46|1|2025-11-22 11:13:03|
1925|5700228|160|23|0|46|1|2025-11-13 09:35:05|
1925|5700306|160|23|0|46|1|2025-11-28 11:04:03|
1925|5700211|160|23|0|46|1|2025-11-12 18:07:01|
3471|5600864|160|23|0|46|1|2025-11-14 16:48:03|
1925|5700280|160|1|0|445|1|2025-11-19 10:02:01|
3471|5600943|160|15|0|290|1|2025-11-27 18:24:03|
1925|5700289|160|15|0|290|1|2025-11-26 17:57:07|
1925|5700230|160|1|0|445|1|2025-11-13 09:40:03|
3471|5600864|160|15|0|290|1|2025-11-14 16:48:03|
1925|5700240|160|23|0|46|1|2025-11-13 11:24:02|
3471|5600795|160|1|0|445|1|2025-11-14 15:49:02|
1925|5001425|160|15|0|290|1|2025-11-19 12:01:01|
3471|5600735|160|23|0|46|1|2025-11-20 16:20:03|
3471|5600796|160|15|0|290|1|2025-11-14 17:16:03|
3471|5600764|160|1|0|445|1|2025-11-19 19:00:03|
1925|5700277|160|15|0|290|1|2025-11-19 09:58:01|
3471|5600943|160|1|0|445|1|2025-11-27 18:24:03|
1925|5001388|160|1|0|445|1|2025-11-13 13:04:02|
3471|5600861|160|1|0|445|1|2025-11-14 16:09:03|
3471|5600766|160|1|0|445|1|2025-11-19 18:35:03|
1925|5100828|160|23|0|46|1|2025-11-12 16:35:04|
3471|5600945|160|23|0|46|1|2025-11-27 18:24:02|
3043|5603321|523|1|9|7565|1|2025-11-10 18:13:01|
1925|5700366|160|1|0|445|1|2025-11-21 18:25:03|
3577|5102369|521|1|0|445|1|2025-11-12 13:58:01|
3577|5102333|521|23|0|46|1|2025-11-05 15:32:01|
3577|5102368|521|1|0|445|1|2025-11-13 19:27:00|
1925|5700224|160|23|0|46|1|2025-11-12 18:26:02|
1925|5001386|160|23|0|46|1|2025-11-13 13:04:02|
1925|5100828|160|15|0|290|1|2025-11-12 16:35:04|
3471|5600769|160|1|0|457|1|2025-11-19 16:47:04|
3043|5003411|523|15|0|290|1|2025-11-04 16:55:01|
3577|5102434|521|1|0|445|1|2025-11-20 14:38:01|
1925|5700307|160|23|0|46|1|2025-11-28 11:14:02|
1925|5700301|160|23|0|46|1|2025-11-28 10:52:03|
1925|5700212|160|1|0|445|1|2025-11-12 18:08:01|
1925|5001390|160|1|0|445|1|2025-11-13 13:04:03|
3471|5600765|160|23|0|46|1|2025-11-19 19:00:02|
3471|5600860|160|1|0|445|1|2025-11-14 16:30:07|
1925|5700275|160|1|0|445|1|2025-11-19 09:51:01|
1925|5700201|160|1|0|445|1|2025-11-13 10:26:03|
1925|5700312|160|23|0|46|1|2025-11-28 11:37:01|
1925|5700335|160|23|0|46|1|2025-11-21 12:21:01|
3577|5102390|521|1|0|698|1|2025-11-19 14:46:01|
1925|5700371|160|1|0|445|1|2025-11-21 18:43:02|
3897|5611617|240|1|0|445|1|2025-11-13 13:20:05|
3577|5102457|521|1|0|445|1|2025-11-26 11:09:01|
1925|5700280|160|23|0|46|1|2025-11-19 10:02:01|
1925|5700232|160|23|0|46|1|2025-11-13 09:50:05|
3471|5600866|160|15|0|290|1|2025-11-14 16:09:02|
3471|5600803|160|1|0|445|1|2025-11-19 18:35:03|
1925|5100830|160|15|0|290|1|2025-11-12 16:35:03|
3471|5600798|160|23|0|46|1|2025-11-14 16:30:06|
3471|5600754|160|23|0|46|1|2025-11-19 15:03:05|
3043|5003651|523|1|0|445|1|2025-11-28 16:50:03|
3471|5600770|160|23|0|46|1|2025-11-19 18:29:05|
3471|5600795|160|23|0|46|1|2025-11-14 15:49:02|
3471|5600903|160|15|0|290|1|2025-11-21 23:57:01|
3897|5611766|240|1|0|445|1|2025-11-19 12:10:21|
1925|5700225|160|1|0|445|1|2025-11-12 18:30:04|
3471|5600894|160|15|0|290|1|2025-11-21 23:57:03|
1647|5006873|240|1|9|39605|1|2025-11-01 09:27:01|
1925|5700306|160|1|0|445|1|2025-11-28 11:04:03|
1647|5006994|240|1|9|20915|1|2025-11-14 17:36:10|
3471|5600902|160|15|0|290|1|2025-11-21 23:57:01|
3471|5600871|160|15|0|290|1|2025-11-27 18:38:03|
1925|5700292|160|23|0|46|1|2025-11-27 10:15:01|
3577|5102457|521|23|0|46|1|2025-11-26 11:09:01|
3471|5600950|160|15|0|290|1|2025-11-27 18:19:02|
3043|5003533|523|15|0|290|1|2025-11-14 09:51:01|
3897|5611341|240|1|6|16857|1|2025-11-05 11:01:07|
1925|5700356|160|1|0|445|1|2025-11-21 11:51:02|
3897|5611723|240|1|0|445|1|2025-11-19 10:50:17|
1925|5700229|160|23|0|46|1|2025-11-13 09:40:02|
1925|5700282|160|23|0|46|1|2025-11-19 10:04:01|
1925|5700214|160|1|0|445|1|2025-11-12 18:15:01|
3471|5600781|160|1|0|445|1|2025-11-19 19:29:03|
1925|5700279|160|23|0|46|1|2025-11-19 09:58:02|
1925|5700296|160|15|0|290|1|2025-11-26 18:05:02|
3471|5600796|160|23|0|46|1|2025-11-14 17:16:03|
1925|5100858|160|23|0|46|1|2025-11-19 11:48:01|
1925|5700364|160|23|0|46|1|2025-11-21 13:25:03|
1925|5001394|160|23|0|46|1|2025-11-13 11:32:07|
3471|5600787|160|1|0|445|1|2025-11-20 10:54:04|
1925|5700347|160|23|0|46|1|2025-11-24 13:15:00|
3043|5003654|523|15|0|290|1|2025-11-28 16:50:02|
1925|5700349|160|15|0|290|1|2025-11-24 13:18:01|
3471|5600739|160|15|0|290|1|2025-11-20 18:29:03|
3471|5600945|160|1|0|445|1|2025-11-27 18:24:02|
1925|5700318|160|1|0|445|1|2025-11-28 11:24:02|
1925|5700208|160|1|0|445|1|2025-11-13 11:04:05|
1925|5700342|160|1|0|445|1|2025-11-22 10:56:02|
3577|5102460|521|1|0|445|1|2025-11-26 14:06:01|
3471|5600794|160|1|0|445|1|2025-11-14 15:50:01|
1925|5700352|160|23|0|46|1|2025-11-20 11:38:05|
3153|5000830|800|15|0|290|1|2025-11-06 14:52:00|
3577|5102461|521|23|0|46|1|2025-11-27 14:01:04|
3471|5600902|160|23|0|46|1|2025-11-21 23:57:01|
3471|5600778|160|23|0|46|1|2025-11-21 18:31:03|
1905|5017408|160|15|0|290|1|2025-11-14 18:36:06|
3577|5102374|521|23|0|46|1|2025-11-12 14:55:01|
1925|5700298|160|15|0|290|1|2025-11-27 10:17:00|
1925|5700316|160|1|0|445|1|2025-11-28 11:26:01|
1925|5100854|160|1|0|445|1|2025-11-19 11:25:05|
1925|5001374|160|15|0|290|1|2025-11-01 11:06:01|
1925|5700217|160|15|0|290|1|2025-11-13 09:58:01|
1925|5700206|160|1|0|445|1|2025-11-13 10:47:04|
1925|5700212|160|15|0|290|1|2025-11-12 18:08:01|
1925|5700314|160|1|0|445|1|2025-11-28 11:33:03|
3043|5003653|523|15|0|290|1|2025-11-28 16:50:03|
1925|5700216|160|15|0|290|1|2025-11-12 18:20:01|
1925|5001427|160|23|0|46|1|2025-11-19 12:00:05|
1925|5001421|160|1|0|445|1|2025-11-19 12:01:02|
1925|5700233|160|23|0|46|1|2025-11-13 10:43:02|
1925|5700348|160|23|0|46|1|2025-11-24 13:17:00|
1925|5700212|160|23|0|46|1|2025-11-12 18:08:01|
3577|5102332|521|15|0|290|1|2025-11-06 10:54:01|
1925|5700316|160|23|0|46|1|2025-11-28 11:26:01|
1925|5700273|160|15|0|290|1|2025-11-19 09:44:04|
1925|5700367|160|23|0|46|1|2025-11-21 18:30:05|
1925|5001389|160|15|0|290|1|2025-11-13 11:32:02|
3471|5600789|160|15|0|290|1|2025-11-19 18:29:04|
1925|5700202|160|15|0|290|1|2025-11-13 10:26:04|
1925|5700227|160|1|0|445|1|2025-11-13 09:35:04|
3043|5003411|523|23|0|46|1|2025-11-04 16:55:01|
1925|5001423|160|1|0|445|1|2025-11-19 12:01:02|
1925|5700351|160|1|0|445|1|2025-11-28 14:22:01|
3471|5600779|160|23|0|46|1|2025-11-21 12:26:01|
1925|5700218|160|1|0|445|1|2025-11-13 10:05:03|
3471|5600952|160|15|0|290|1|2025-11-27 17:41:05|
1925|5700305|160|15|0|290|1|2025-11-28 11:04:02|
3577|5102403|521|23|0|46|1|2025-11-18 13:44:01|
1647|5006873|240|15|0|290|1|2025-11-01 09:27:01|
3471|5600792|160|1|0|445|1|2025-11-14 17:05:01|
1925|5001393|160|23|0|46|1|2025-11-13 11:32:03|
1925|5700369|160|1|0|445|1|2025-11-21 18:50:03|
1925|5700352|160|1|0|445|1|2025-11-20 11:38:05|
1925|5700298|160|1|0|445|1|2025-11-27 10:17:00|
3471|5600735|160|1|0|730|1|2025-11-20 16:20:03|
3471|5600859|160|1|0|445|1|2025-11-14 17:16:03|
1925|5001389|160|23|0|46|1|2025-11-13 11:32:02|
1925|5700200|160|15|0|290|1|2025-11-13 10:25:05|
1925|5700241|160|1|0|445|1|2025-11-13 11:22:02|
3577|5102378|521|15|0|290|1|2025-11-12 14:56:01|
3471|5600785|160|1|0|445|1|2025-11-19 19:35:02|
3471|5600732|160|23|0|46|1|2025-11-20 16:20:02|
3471|5600794|160|15|0|290|1|2025-11-14 15:50:01|
1925|5700370|160|1|0|445|1|2025-11-21 18:48:06|
3471|5600771|160|1|0|445|1|2025-11-19 18:29:03|
3471|5600768|160|1|0|445|1|2025-11-19 16:47:03|
1925|5700215|160|1|0|445|1|2025-11-12 18:20:01|
3043|5003534|523|15|0|290|1|2025-11-14 09:51:01|
1925|5700327|160|15|0|290|1|2025-11-20 12:24:03|
3043|5603482|520|1|9|890|1|2025-11-20 18:42:00|
3577|5102460|521|15|0|290|1|2025-11-26 14:06:01|
1647|5006994|240|15|0|290|1|2025-11-14 17:36:10|
3043|5603319|523|23|0|46|1|2025-11-11 18:09:01|
3471|5600797|160|15|0|290|1|2025-11-14 17:05:02|
1925|5700234|160|15|0|290|1|2025-11-13 10:44:02|
1925|5100825|160|23|0|46|1|2025-11-12 16:35:02|
3471|5600821|160|23|0|46|1|2025-11-20 10:14:05|
1925|5100861|160|15|0|290|1|2025-11-19 11:34:02|
3043|5603323|520|15|0|290|1|2025-11-10 18:13:00|
3471|5600867|160|23|0|46|1|2025-11-14 16:09:02|
3471|5600739|160|23|0|46|1|2025-11-20 18:29:03|
3043|5603481|520|23|0|46|1|2025-11-20 18:47:01|
3577|5102428|521|1|0|445|1|2025-11-19 12:27:01|
3577|5102332|521|1|0|445|1|2025-11-06 10:54:01|
1925|5001387|160|1|0|445|1|2025-11-13 11:32:02|
1925|5700327|160|1|0|445|1|2025-11-20 12:24:03|
3043|5603323|520|23|0|46|1|2025-11-10 18:13:00|
1925|5700235|160|15|0|290|1|2025-11-13 10:48:03|
3577|5102319|521|15|0|290|1|2025-11-03 11:59:01|
1925|5700331|160|15|0|290|1|2025-11-21 12:15:02|
1925|5700208|160|23|0|46|1|2025-11-13 11:04:05|
3577|5102430|521|15|0|290|1|2025-11-20 13:35:01|
1925|5700370|160|15|0|290|1|2025-11-21 18:48:06|
3471|5600767|160|1|0|445|1|2025-11-21 15:26:02|
1925|5700330|160|23|0|46|1|2025-11-21 12:14:01|
1925|5001425|160|1|0|445|1|2025-11-19 12:01:01|
3577|5102333|521|15|0|290|1|2025-11-05 15:32:01|
1925|5700330|160|15|0|290|1|2025-11-21 12:14:01|
1925|5100824|160|15|0|290|1|2025-11-12 16:35:04|
3577|5102433|521|1|0|445|1|2025-11-20 12:23:02|
3897|5611723|240|1|6|16714|1|2025-11-19 10:50:17|
3577|5102333|521|1|0|445|1|2025-11-05 15:32:01|
1925|5700343|160|23|0|46|1|2025-11-22 10:57:01|
1925|5700355|160|1|0|445|1|2025-11-20 11:41:02|
1925|5700288|160|15|0|290|1|2025-11-26 17:53:03|
3043|5003623|523|1|0|445|1|2025-11-26 14:38:01|
1925|5700368|160|15|0|290|1|2025-11-21 18:47:04|
3577|5102434|521|23|0|46|1|2025-11-20 14:38:01|
3471|5600799|160|1|0|501|1|2025-11-14 15:49:03|
3577|5102368|521|23|0|46|1|2025-11-13 19:27:00|
1925|5700332|160|1|0|445|1|2025-11-21 12:20:01|
1925|5001393|160|15|0|290|1|2025-11-13 11:32:03|
3043|5603320|523|15|0|290|1|2025-11-10 18:13:01|
1925|5001391|160|23|0|46|1|2025-11-13 11:32:03|
1925|5700273|160|23|0|46|1|2025-11-19 09:44:04|
3471|5600788|160|15|0|290|1|2025-11-20 10:54:04|
3471|5600946|160|15|0|290|1|2025-11-28 20:35:00|
3043|5603391|523|23|0|46|1|2025-11-11 18:12:02|
3043|5003411|523|1|0|445|1|2025-11-04 16:55:01|
1925|5700286|160|23|0|46|1|2025-11-26 17:34:04|
1647|5017166|240|23|0|46|1|2025-11-27 16:22:03|
1925|5700287|160|23|0|46|1|2025-11-26 17:43:03|
3471|5000891|160|15|0|290|1|2025-11-21 23:58:01|
1925|5001426|160|15|0|290|1|2025-11-19 12:00:02|
1925|5700329|160|1|0|445|1|2025-11-20 12:28:02|
1647|5006994|240|23|0|46|1|2025-11-14 17:36:10|
1925|5700333|160|15|0|290|1|2025-11-21 12:20:02|
3043|5603320|523|23|0|46|1|2025-11-10 18:13:01|
1925|5700226|160|23|0|46|1|2025-11-12 18:32:01|
3471|5600727|160|23|0|46|1|2025-11-13 09:40:06|
3471|5600799|160|15|0|290|1|2025-11-14 15:49:03|
1925|5700361|160|15|0|290|1|2025-11-21 13:26:01|
3471|5600777|160|23|0|46|1|2025-11-21 12:26:02|
1925|5700293|160|23|0|46|1|2025-11-27 10:15:02|
3577|5102409|521|15|0|290|1|2025-11-18 15:59:02|
1925|5700278|160|23|0|46|1|2025-11-19 09:58:02|
1925|5700280|160|15|0|290|1|2025-11-19 10:02:01|
1925|5700199|160|23|0|46|1|2025-11-13 10:23:01|
1925|5700229|160|15|0|290|1|2025-11-13 09:40:02|
3471|5600860|160|23|0|46|1|2025-11-14 16:30:07|
3471|5600786|160|1|0|445|1|2025-11-19 19:35:01|
3577|5102319|521|1|0|445|1|2025-11-03 11:59:01|
3577|5102464|521|15|0|290|1|2025-11-27 12:08:02|
3471|5600776|160|15|0|290|1|2025-11-21 18:08:02|
3043|5603482|520|23|0|46|1|2025-11-20 18:42:00|
3471|5600736|160|15|0|290|1|2025-11-20 16:19:03|
3471|5600821|160|1|0|445|1|2025-11-20 10:14:05|
1925|5700354|160|23|0|46|1|2025-11-20 11:40:02|
1925|5700342|160|23|0|46|1|2025-11-22 10:56:02|
1925|5700355|160|15|0|290|1|2025-11-20 11:41:02|
1925|5001428|160|1|0|445|1|2025-11-19 12:00:03|
1925|5700294|160|23|0|46|1|2025-11-26 18:00:10|
3577|5102409|521|23|0|46|1|2025-11-18 15:59:02|
3577|5102392|521|23|0|46|1|2025-11-18 13:44:01|
1925|5700333|160|23|0|46|1|2025-11-21 12:20:02|
1925|5700228|160|15|0|290|1|2025-11-13 09:35:05|
1925|5700360|160|1|0|445|1|2025-11-21 13:23:02|
1925|5700337|160|23|0|46|1|2025-11-21 12:23:01|
1925|5700302|160|1|0|445|1|2025-11-28 11:39:01|
3577|5102331|521|1|0|445|1|2025-11-03 16:09:01|
1925|5700353|160|23|0|46|1|2025-11-20 11:39:04|
3043|5603479|523|15|0|290|1|2025-11-21 12:54:02|
3043|5003654|523|1|0|445|1|2025-11-28 16:50:02|
1647|5016705|240|1|9|56070|1|2025-11-22 11:13:03|
3471|5600736|160|1|0|43082|1|2025-11-20 16:19:03|
1925|5700341|160|23|0|46|1|2025-11-22 10:54:02|
1925|5001424|160|15|0|290|1|2025-11-19 12:00:02|
