Patente|Pedimento|SeccionAduanera|ClaveContribucion|FormaPago|ImportePago|TipoPedimento|FechaPagoReal
1925|5700274|160|15|0|290|1|2025-11-19 09:49:01|
1925|5700351|160|23|0|46|1|2025-11-28 14:22:01|
3471|5600780|160|23|0|46|1|2025-11-19 19:29:03|
1925|5700232|160|15|0|290|1|2025-11-13 09:50:05|
3043|5603395|520|15|0|290|1|2025-11-11 18:09:01|
3471|5600952|160|1|0|445|1|2025-11-27 17:41:05|
3577|5102446|521|23|0|46|1|2025-11-24 15:27:03|
1925|5700338|160|1|0|445|1|2025-11-22 10:50:02|
1925|5700209|160|1|0|445|1|2025-11-12 17:57:01|
3043|5003652|523|1|0|445|1|2025-11-28 16:50:02|
3577|5102456|521|23|0|46|1|2025-11-27 13:51:00|
3577|5102446|521|1|0|445|1|2025-11-24 15:27:03|
3471|5600871|160|1|0|486|1|2025-11-27 18:38:03|
1925|5700273|160|1|0|445|1|2025-11-19 09:44:04|
1925|5700233|160|1|0|445|1|2025-11-13 10:43:02|
1925|5100832|160|23|0|46|1|2025-11-12 16:40:01|
3577|5102427|521|1|0|445|1|2025-11-20 11:33:02|
1925|5100826|160|23|0|46|1|2025-11-12 16:35:01|
1925|5700362|160|1|0|445|1|2025-11-21 13:25:02|
3043|5003554|523|1|0|445|1|2025-11-14 15:08:03|
1925|5700326|160|23|0|46|1|2025-11-20 12:24:02|
1925|5700206|160|15|0|290|1|2025-11-13 10:47:04|
3043|5603322|520|1|0|4460|1|2025-11-10 18:03:00|
1925|5700345|160|15|0|290|1|2025-11-22 10:59:02|
3043|5003622|523|15|0|290|1|2025-11-26 14:38:02|
1925|5001392|160|15|0|290|1|2025-11-13 13:04:03|
1647|5006933|240|1|9|37825|1|2025-11-10 10:37:06|
3043|5603322|520|15|0|290|1|2025-11-10 18:03:00|
3577|5102363|521|1|0|445|1|2025-11-07 15:33:01|
3043|5603391|523|15|0|290|1|2025-11-11 18:12:02|
1925|5001390|160|15|0|290|1|2025-11-13 13:04:03|
3471|5600736|160|23|0|46|1|2025-11-20 16:19:03|
3577|5102454|521|1|0|445|1|2025-11-27 14:00:01|
1925|5001374|160|1|0|445|1|2025-11-01 11:06:01|
1925|5100860|160|1|0|445|1|2025-11-19 11:28:07|
1925|5700272|160|15|0|290|1|2025-11-19 09:43:01|
1925|5700317|160|15|0|290|1|2025-11-28 11:25:04|
3897|5611725|240|1|6|16714|1|2025-11-19 10:50:18|
1925|5700356|160|15|0|290|1|2025-11-21 11:51:02|
1925|5100859|160|15|0|290|1|2025-11-19 11:28:06|
1890|5110449|750|23|0|46|1|2025-11-11 10:21:00|
3153|5000830|800|23|0|46|1|2025-11-06 14:52:00|
3043|5603395|520|23|0|46|1|2025-11-11 18:09:01|
3577|5102462|521|23|0|46|1|2025-11-27 14:03:01|
3577|5102433|521|15|0|290|1|2025-11-20 12:23:02|
1925|5700283|160|15|0|290|1|2025-11-19 10:05:03|
1925|5001389|160|1|0|445|1|2025-11-13 11:32:02|
3471|5600727|160|15|0|290|1|2025-11-13 09:40:06|
1905|5019086|160|1|0|445|1|2025-11-13 17:17:02|
3471|5600768|160|15|0|290|1|2025-11-19 16:47:03|
3471|5600778|160|15|0|290|1|2025-11-21 18:31:03|
3577|5102457|521|15|0|290|1|2025-11-26 11:09:01|
1925|5700232|160|1|0|445|1|2025-11-13 09:50:05|
1925|5001387|160|15|0|290|1|2025-11-13 11:32:02|
3577|5102426|521|1|0|445|1|2025-11-19 13:30:01|
1925|5700371|160|15|0|290|1|2025-11-21 18:43:02|
1925|5001394|160|15|0|290|1|2025-11-13 11:32:07|
1925|5700297|160|23|0|46|1|2025-11-27 13:25:01|
1925|5001387|160|23|0|46|1|2025-11-13 11:32:02|
1925|5700327|160|23|0|46|1|2025-11-20 12:24:03|
3897|5611854|240|1|0|445|1|2025-11-21 11:50:17|
3043|5603319|523|15|0|290|1|2025-11-11 18:09:01|
3471|5600764|160|15|0|290|1|2025-11-19 19:00:03|
1905|5019086|160|15|0|290|1|2025-11-13 17:17:02|
3043|5003577|523|15|0|290|1|2025-11-19 18:13:01|
3471|5600863|160|1|0|455|1|2025-11-14 16:10:03|
1905|5019086|160|23|0|46|1|2025-11-13 17:17:02|
1925|5700333|160|1|0|445|1|2025-11-21 12:20:02|
1925|5700335|160|15|0|290|1|2025-11-21 12:21:01|
3471|5600860|160|15|0|290|1|2025-11-14 16:30:07|
1905|5017408|160|1|0|445|1|2025-11-14 18:36:06|
3577|5102382|521|1|0|445|1|2025-11-19 14:44:02|
1925|5100856|160|15|0|290|1|2025-11-19 11:27:03|
3897|5611271|240|1|6|16907|1|2025-11-03 16:00:09|
3471|5600770|160|1|0|445|1|2025-11-19 18:29:05|
3043|5603392|523|1|9|2225|1|2025-11-18 18:43:01|
3471|5600754|160|1|0|445|1|2025-11-19 15:03:05|
3471|5600893|160|23|0|46|1|2025-11-21 23:57:02|
1925|5100861|160|1|0|445|1|2025-11-19 11:34:02|
1925|5100827|160|15|0|290|1|2025-11-12 16:35:05|
3471|5600871|160|23|0|46|1|2025-11-27 18:38:03|
1925|5700320|160|15|0|290|1|2025-11-28 11:22:01|
3577|5102429|521|23|0|46|1|2025-11-20 12:22:01|
1925|5001423|160|23|0|46|1|2025-11-19 12:01:02|
1925|5700227|160|15|0|290|1|2025-11-13 09:35:04|
3577|5102403|521|15|0|290|1|2025-11-18 13:44:01|
1925|5700225|160|15|0|290|1|2025-11-12 18:30:04|
3043|5603392|523|23|0|46|1|2025-11-18 18:43:01|
3577|5102382|521|15|0|290|1|2025-11-19 14:44:02|
1925|5700365|160|23|0|46|1|2025-11-21 13:40:02|
3471|5600781|160|15|0|290|1|2025-11-19 19:29:03|
3043|5003653|523|23|0|46|1|2025-11-28 16:50:03|
1925|5700205|160|23|0|46|1|2025-11-13 10:42:02|
1925|5700227|160|23|0|46|1|2025-11-13 09:35:04|
1925|5700230|160|15|0|290|1|2025-11-13 09:40:03|
3471|5600735|160|15|0|290|1|2025-11-20 16:20:03|
3043|5603393|523|1|9|2225|1|2025-11-11 18:15:01|
1925|5700231|160|1|0|445|1|2025-11-13 09:49:02|
3471|5600732|160|1|0|445|1|2025-11-20 16:20:02|
1925|5100823|160|15|0|290|1|2025-11-12 16:31:00|
3577|5102456|521|15|0|290|1|2025-11-27 13:51:00|
3471|5600895|160|1|0|445|2|2025-11-15 11:53:02|
1925|5100827|160|1|0|445|1|2025-11-12 16:35:05|
1925|5700223|160|23|0|46|1|2025-11-12 18:20:02|
3471|5600733|160|23|0|46|1|2025-11-20 21:45:02|
1925|5001374|160|23|0|46|1|2025-11-01 11:06:01|
3471|5600787|160|15|0|290|1|2025-11-20 10:54:04|
3897|5611854|240|1|6|19068|1|2025-11-21 11:50:17|
3577|5102426|521|15|0|290|1|2025-11-19 13:30:01|
3471|5600867|160|1|0|445|1|2025-11-14 16:09:02|
1925|5700350|160|15|0|290|1|2025-11-24 13:18:02|
3577|5102378|521|1|0|445|1|2025-11-12 14:56:01|
3043|5003652|523|23|0|46|1|2025-11-28 16:50:02|
3043|5603394|520|1|0|446|1|2025-11-11 18:08:02|
1925|5700272|160|23|0|46|1|2025-11-19 09:43:01|
3471|5600778|160|1|0|445|1|2025-11-21 18:31:03|
1925|5700209|160|15|0|290|1|2025-11-12 17:57:01|
3471|5600951|160|23|0|46|1|2025-11-27 17:47:14|
3043|5603482|520|15|0|290|1|2025-11-20 18:42:00|
3043|5003532|523|23|0|46|1|2025-11-26 14:38:01|
1925|5700276|160|23|0|46|1|2025-11-19 09:52:01|
1925|5001388|160|23|0|46|1|2025-11-13 13:04:02|
1925|5100855|160|1|0|445|1|2025-11-19 11:25:05|
1925|5700224|160|1|0|445|1|2025-11-12 18:26:02|
3471|5600798|160|15|0|290|1|2025-11-14 16:30:06|
1925|5700347|160|1|0|445|1|2025-11-24 13:15:00|
1925|5700210|160|1|0|445|1|2025-11-12 17:57:01|
1925|5700234|160|1|0|445|1|2025-11-13 10:44:02|
3471|5600947|160|23|0|46|1|2025-11-28 20:17:01|
1925|5700311|160|23|0|46|1|2025-11-28 11:14:06|
3471|5600948|160|1|0|445|1|2025-11-27 18:38:02|
1925|5700215|160|23|0|46|1|2025-11-12 18:20:01|
1925|5700210|160|23|0|46|1|2025-11-12 17:57:01|
3471|5600863|160|15|0|290|1|2025-11-14 16:10:03|
3043|5003623|523|23|0|46|1|2025-11-26 14:38:01|
1925|5700315|160|1|0|445|1|2025-11-28 11:31:02|
1925|5700238|160|1|0|445|1|2025-11-13 14:41:01|
3577|5102343|521|15|0|290|1|2025-11-04 15:46:01|
3471|5600791|160|23|0|46|1|2025-11-19 18:35:03|
3043|5003532|523|15|0|290|1|2025-11-26 14:38:01|
3471|5600790|160|23|0|46|1|2025-11-19 18:29:02|
3471|5600733|160|15|0|290|1|2025-11-20 21:45:02|
3577|5102337|521|23|0|46|1|2025-11-05 11:14:03|
1647|5006873|240|23|0|46|1|2025-11-01 09:27:01|
1925|5700354|160|1|0|445|1|2025-11-20 11:40:02|
1925|5700206|160|23|0|46|1|2025-11-13 10:47:04|
3471|5600944|160|15|0|290|1|2025-11-27 19:08:01|
3471|5600949|160|15|0|290|1|2025-11-27 18:39:02|
1637|5201476|521|1|0|1067|1|2025-11-06 23:20:01|
3471|5600803|160|23|0|46|1|2025-11-19 18:35:03|
1925|5700270|160|15|0|290|1|2025-11-19 09:41:03|
3577|5102374|521|1|0|445|1|2025-11-12 14:55:01|
1925|5700337|160|15|0|290|1|2025-11-21 12:23:01|
3577|5102463|521|15|0|290|1|2025-11-27 12:08:01|
1925|5700352|160|15|0|290|1|2025-11-20 11:38:05|
1925|5700309|160|15|0|290|1|2025-11-28 11:14:04|
3471|5600765|160|1|0|445|1|2025-11-19 19:00:02|
3577|5102461|521|1|0|445|1|2025-11-27 14:01:04|
3471|5600780|160|1|0|445|1|2025-11-19 19:29:03|
3577|5102426|521|23|0|46|1|2025-11-19 13:30:01|
1925|5001386|160|1|0|445|1|2025-11-13 13:04:02|
1925|5700316|160|15|0|290|1|2025-11-28 11:26:01|
3471|5600821|160|15|0|290|1|2025-11-20 10:14:05|
1925|5700225|160|23|0|46|1|2025-11-12 18:30:04|
1925|5700317|160|1|0|445|1|2025-11-28 11:25:04|
1925|5700358|160|1|0|445|1|2025-11-21 11:53:01|
1925|5100831|160|23|0|46|1|2025-11-12 16:35:03|
1925|5700362|160|15|0|290|1|2025-11-21 13:25:02|
3471|5600950|160|1|0|445|1|2025-11-27 18:19:02|
3471|5600740|160|15|0|290|1|2025-11-20 18:28:04|
1925|5700210|160|15|0|290|1|2025-11-12 17:57:01|
1925|5700276|160|15|0|290|1|2025-11-19 09:52:01|
1925|5700357|160|1|0|445|1|2025-11-21 11:53:02|
1925|5700344|160|15|0|290|1|2025-11-22 10:59:01|
3471|5600767|160|15|0|290|1|2025-11-21 15:26:02|
3471|5600788|160|23|0|46|1|2025-11-20 10:54:04|
1925|5700312|160|15|0|290|1|2025-11-28 11:37:01|
3897|5611429|240|1|6|16959|1|2025-11-07 15:30:12|
3043|5603393|523|23|0|46|1|2025-11-11 18:15:01|
1925|5100824|160|23|0|46|1|2025-11-12 16:35:04|
3577|5102332|521|23|0|46|1|2025-11-06 10:54:01|
1925|5700282|160|1|0|445|1|2025-11-19 10:04:01|
3471|5600782|160|23|0|46|1|2025-11-19 15:41:01|
3577|5102374|521|15|0|290|1|2025-11-12 14:55:01|
3471|5600788|160|1|0|445|1|2025-11-20 10:54:04|
3577|5102455|521|1|0|445|1|2025-11-26 14:06:01|
1925|5700313|160|23|0|46|1|2025-11-28 11:33:01|
3043|5603394|520|23|0|46|1|2025-11-11 18:08:02|
3471|5600858|160|15|0|290|1|2025-11-14 17:16:03|
1925|5700279|160|15|0|290|1|2025-11-19 09:58:02|
3043|5603392|523|15|0|290|1|2025-11-18 18:43:01|
3577|5102455|521|23|0|46|1|2025-11-26 14:06:01|
3577|5102369|521|15|0|290|1|2025-11-12 13:58:01|
1925|5700329|160|23|0|46|1|2025-11-20 12:28:02|
1925|5700278|160|1|0|445|1|2025-11-19 09:58:02|
3043|5003651|523|15|0|290|1|2025-11-28 16:50:03|
1925|5100823|160|1|0|445|1|2025-11-12 16:31:00|
3471|5600862|160|15|0|290|1|2025-11-14 16:48:01|
3043|5603393|523|15|0|290|1|2025-11-11 18:15:01|
1925|5700303|160|1|0|445|1|2025-11-28 10:59:01|
3043|5003412|523|11|0|2395|1|2025-11-26 17:04:02|
3577|5102430|521|1|0|445|1|2025-11-20 13:35:01|
1925|5700235|160|23|0|46|1|2025-11-13 10:48:03|
3577|5102429|521|15|0|290|1|2025-11-20 12:22:01|
1925|5700286|160|1|0|445|1|2025-11-26 17:34:04|
3897|5611632|240|1|6|16720|1|2025-11-13 13:30:14|
1925|5700236|160|15|0|290|1|2025-11-13 10:49:01|
3577|5102430|521|23|0|46|1|2025-11-20 13:35:01|
3471|5600903|160|1|0|24585|1|2025-11-21 23:57:01|
1925|5700239|160|15|0|290|1|2025-11-13 11:28:01|
3471|5600945|160|15|0|290|1|2025-11-27 18:24:02|
1925|5700369|160|23|0|46|1|2025-11-21 18:50:03|
1925|5700328|160|23|0|46|1|2025-11-20 12:26:03|
1925|5700288|160|23|0|46|1|2025-11-26 17:53:03|
1925|5700309|160|1|0|445|1|2025-11-28 11:14:04|
1905|5017408|160|23|0|46|1|2025-11-14 18:36:06|
1925|5001422|160|15|0|290|1|2025-11-19 12:00:01|
3471|5600797|160|23|0|46|1|2025-11-14 17:05:02|
3471|5600865|160|1|0|445|1|2025-11-14 16:48:02|
1925|5700213|160|23|0|46|1|2025-11-12 18:15:00|
3577|5102429|521|1|0|445|1|2025-11-20 12:22:01|
1925|5700326|160|15|0|290|1|2025-11-20 12:24:02|
3897|5611632|240|1|0|445|1|2025-11-13 13:30:14|
1925|5700363|160|1|0|445|1|2025-11-21 13:21:03|
1925|5700205|160|15|0|290|1|2025-11-13 10:42:02|
1647|5006933|240|15|0|290|1|2025-11-10 10:37:06|
3577|5102319|521|23|0|46|1|2025-11-03 11:59:01|
1925|5700209|160|23|0|46|1|2025-11-12 17:57:01|
1925|5001388|160|15|0|290|1|2025-11-13 13:04:02|
3043|5003534|523|23|0|46|1|2025-11-14 09:51:01|
1925|5700289|160|1|0|445|1|2025-11-26 17:57:07|
1925|5700270|160|23|0|46|1|2025-11-19 09:41:03|
3471|5600746|160|1|0|664|1|2025-11-20 21:45:01|
3471|5600797|160|1|0|445|1|2025-11-14 17:05:02|
1925|5700350|160|1|0|445|1|2025-11-24 13:18:02|
3577|5102378|521|23|0|46|1|2025-11-12 14:56:01|
3471|5600942|160|15|0|290|1|2025-11-27 18:24:03|
3577|5102408|521|1|0|445|1|2025-11-19 12:24:01|
3471|5600861|160|15|0|290|1|2025-11-14 16:09:03|
1925|5700342|160|15|0|290|1|2025-11-22 10:56:02|
1925|5001422|160|1|0|445|1|2025-11-19 12:00:01|
1925|5100829|160|15|0|290|1|2025-11-12 16:35:03|
3471|5600942|160|1|0|445|1|2025-11-27 18:24:03|
1925|5700305|160|23|0|46|1|2025-11-28 11:04:02|
1925|5700238|160|15|0|290|1|2025-11-13 14:41:01|
1925|5700233|160|15|0|290|1|2025-11-13 10:43:02|
1925|5700278|160|15|0|290|1|2025-11-19 09:58:02|
1925|5700226|160|15|0|290|1|2025-11-12 18:32:01|
3471|5600787|160|23|0|46|1|2025-11-20 10:54:04|
1925|5700283|160|23|0|46|1|2025-11-19 10:05:03|
3043|5603322|520|23|0|46|1|2025-11-10 18:03:00|
3577|5102401|521|23|0|46|1|2025-11-18 13:32:00|
3577|5102409|521|1|0|445|1|2025-11-18 15:59:02|
1925|5700331|160|23|0|46|1|2025-11-21 12:15:02|
3471|5600946|160|23|0|46|1|2025-11-28 20:35:00|
1925|5100856|160|1|0|445|1|2025-11-19 11:27:03|
1925|5700310|160|15|0|290|1|2025-11-28 11:13:02|
3471|5600953|160|1|0|445|1|2025-11-27 17:41:04|
3471|5600732|160|15|0|290|1|2025-11-20 16:20:02|
3577|5102433|521|23|0|46|1|2025-11-20 12:23:02|
1925|5700353|160|1|0|445|1|2025-11-20 11:39:04|
3471|5600783|160|15|0|290|1|2025-11-19 15:08:00|
1925|5001428|160|15|0|290|1|2025-11-19 12:00:03|
1925|5001391|160|15|0|290|1|2025-11-13 11:32:03|
1925|5700358|160|23|0|46|1|2025-11-21 11:53:01|
1925|5001390|160|23|0|46|1|2025-11-13 13:04:03|
1925|5100824|160|1|0|445|1|2025-11-12 16:35:04|
3043|5003577|523|23|0|46|1|2025-11-19 18:13:01|
3897|5611429|240|1|0|445|1|2025-11-07 15:30:12|
1637|5201476|521|15|0|290|1|2025-11-06 23:20:01|
3471|5600950|160|23|0|46|1|2025-11-27 18:19:02|
1925|5700344|160|23|0|46|1|2025-11-22 10:59:01|
1925|5700340|160|1|0|445|1|2025-11-22 10:52:02|
3043|5003654|523|23|0|46|1|2025-11-28 16:50:02|
3471|5600785|160|23|0|46|1|2025-11-19 19:35:02|
3471|5600783|160|23|0|46|1|2025-11-19 15:08:00|
1925|5700241|160|23|0|46|1|2025-11-13 11:22:02|
1925|5100859|160|23|0|46|1|2025-11-19 11:28:06|
1925|5700344|160|1|0|445|1|2025-11-22 10:59:01|
1925|5700202|160|1|0|445|1|2025-11-13 10:26:04|
1925|5100831|160|15|0|290|1|2025-11-12 16:35:03|
1925|5700334|160|1|0|445|1|2025-11-21 12:48:02|
1925|5700228|160|1|0|445|1|2025-11-13 09:35:05|
3471|5600894|160|1|0|445|1|2025-11-21 23:57:03|
1925|5700301|160|1|0|445|1|2025-11-28 10:52:03|
3471|5600892|160|23|0|46|1|2025-11-21 23:57:02|
3471|5600862|160|23|0|46|1|2025-11-14 16:48:01|
1925|5700347|160|15|0|290|1|2025-11-24 13:15:00|
1925|5700356|160|23|0|46|1|2025-11-21 11:51:02|
3471|5600947|160|15|0|290|1|2025-11-28 20:17:01|
1925|5700329|160|15|0|290|1|2025-11-20 12:28:02|
1925|5700359|160|1|0|445|1|2025-11-21 11:54:06|
1925|5700305|160|1|0|445|1|2025-11-28 11:04:02|
3577|5102390|521|15|0|290|1|2025-11-19 14:46:01|
1925|5700365|160|15|0|290|1|2025-11-21 13:40:02|
1925|5700346|160|15|0|290|1|2025-11-24 13:12:02|
1925|5700361|160|1|0|445|1|2025-11-21 13:26:01|
1925|5700357|160|23|0|46|1|2025-11-21 11:53:02|
3577|5102464|521|1|0|445|1|2025-11-27 12:08:02|
1925|5700364|160|1|0|445|1|2025-11-21 13:25:03|
1925|5700355|160|23|0|46|1|2025-11-20 11:41:02|
1925|5100823|160|23|0|46|1|2025-11-12 16:31:00|
1925|5700214|160|15|0|290|1|2025-11-12 18:15:01|
3471|5600770|160|15|0|290|1|2025-11-19 18:29:05|
1925|5700277|160|1|0|445|1|2025-11-19 09:58:01|
1925|5700364|160|15|0|290|1|2025-11-21 13:25:03|
3043|5603394|520|15|0|290|1|2025-11-11 18:08:02|
1925|5100826|160|1|0|445|1|2025-11-12 16:35:01|
1925|5700341|160|1|0|445|1|2025-11-22 10:54:02|
1925|5700328|160|15|0|290|1|2025-11-20 12:26:03|
3471|5600792|160|15|0|290|1|2025-11-14 17:05:01|
1925|5700203|160|23|0|46|1|2025-11-13 10:28:03|
1925|5700320|160|23|0|46|1|2025-11-28 11:22:01|
1925|5700311|160|15|0|290|1|2025-11-28 11:14:06|
3471|5600894|160|23|0|46|1|2025-11-21 23:57:03|
3043|5003622|523|23|0|46|1|2025-11-26 14:38:02|
1925|5700339|160|23|0|46|1|2025-11-22 10:51:00|
3577|5102337|521|1|0|445|1|2025-11-05 11:14:03|
3043|5603479|523|1|9|890|1|2025-11-21 12:54:02|
3471|5600781|160|23|0|46|1|2025-11-19 19:29:03|
3471|5600793|160|15|0|290|1|2025-11-14 15:49:02|
3043|5003577|523|1|0|445|1|2025-11-19 18:13:01|
3043|5603323|520|1|9|4450|1|2025-11-10 18:13:00|
3471|5600866|160|23|0|46|1|2025-11-14 16:09:02|
1925|5100881|160|23|0|46|2|2025-11-01 08:54:00|
1925|5700239|160|23|0|46|1|2025-11-13 11:28:01|
1925|5700304|160|15|0|290|1|2025-11-28 11:04:02|
1925|5700203|160|15|0|290|1|2025-11-13 10:28:03|
1925|5700271|160|1|0|445|1|2025-11-19 09:42:02|
1925|5700271|160|15|0|290|1|2025-11-19 09:42:02|
3471|5600859|160|15|0|290|1|2025-11-14 17:16:03|
1925|5700281|160|1|0|445|1|2025-11-19 10:04:02|
3577|5102455|521|15|0|290|1|2025-11-26 14:06:01|
1925|5700312|160|1|0|445|1|2025-11-28 11:37:01|
3471|5600796|160|1|0|445|1|2025-11-14 17:16:03|
1925|5700298|160|23|0|46|1|2025-11-27 10:17:00|
3471|5000891|160|1|0|17607|1|2025-11-21 23:58:01|
1925|5700332|160|23|0|46|1|2025-11-21 12:20:01|
3577|5102363|521|15|0|290|1|2025-11-07 15:33:01|
3471|5600767|160|23|0|46|1|2025-11-21 15:26:02|
3043|5603480|523|1|9|890|1|2025-11-24 21:03:01|
3577|5102363|521|23|0|46|1|2025-11-07 15:33:01|
3577|5102369|521|23|0|46|1|2025-11-12 13:58:01|
1925|5700343|160|1|0|445|1|2025-11-22 10:57:01|
3577|5102428|521|23|0|46|1|2025-11-19 12:27:01|
1925|5700274|160|23|0|46|1|2025-11-19 09:49:01|
3471|5600746|160|15|0|290|1|2025-11-20 21:45:01|
1925|5700215|160|15|0|290|1|2025-11-12 18:20:01|
1925|5001392|160|23|0|46|1|2025-11-13 13:04:03|
1925|5700230|160|23|0|46|1|2025-11-13 09:40:03|
1925|5700370|160|23|0|46|1|2025-11-21 18:48:06|
1925|5700236|160|1|0|445|1|2025-11-13 10:49:01|
3577|5102454|521|15|0|290|1|2025-11-27 14:00:01|
1925|5700301|160|15|0|290|1|2025-11-28 10:52:03|
3043|5603391|523|1|0|2230|1|2025-11-11 18:12:02|
1925|5001395|160|23|0|46|1|2025-11-13 11:32:04|
3577|5102456|521|1|0|445|1|2025-11-27 13:51:00|
1925|5700272|160|1|0|445|1|2025-11-19 09:43:01|
3471|5600803|160|15|0|290|1|2025-11-19 18:35:03|
3577|5102331|521|23|0|46|1|2025-11-03 16:09:01|
1925|5700363|160|15|0|290|1|2025-11-21 13:21:03|
3471|5600973|160|15|0|290|2|2025-11-25 09:41:01|
3577|5102410|521|15|0|290|1|2025-11-18 12:09:02|
3043|5003653|523|1|0|445|1|2025-11-28 16:50:03|
1925|5700304|160|23|0|46|1|2025-11-28 11:04:02|
3471|5600783|160|1|0|445|1|2025-11-19 15:08:00|
3577|5102427|521|15|0|290|1|2025-11-20 11:33:02|
3471|5600766|160|23|0|46|1|2025-11-19 18:35:03|
1925|5700353|160|15|0|290|1|2025-11-20 11:39:04|
1925|5700303|160|23|0|46|1|2025-11-28 10:59:01|
3471|5600771|160|23|0|46|1|2025-11-19 18:29:03|
3471|5600795|160|15|0|290|1|2025-11-14 15:49:02|
3471|5600973|160|1|0|24585|2|2025-11-25 09:41:01|
3471|5600777|160|15|0|290|1|2025-11-21 12:26:02|
1925|5700240|160|1|0|445|1|2025-11-13 11:24:02|
1925|5700320|160|1|0|445|1|2025-11-28 11:22:01|
1925|5700302|160|23|0|46|1|2025-11-28 11:39:01|
1925|5700276|160|1|0|445|1|2025-11-19 09:52:01|
1925|5700282|160|15|0|290|1|2025-11-19 10:04:01|
1925|5700216|160|1|0|445|1|2025-11-12 18:20:01|
1925|5001394|160|1|0|445|1|2025-11-13 11:32:07|
1925|5700217|160|23|0|46|1|2025-11-13 09:58:01|
3471|5600951|160|1|0|445|1|2025-11-27 17:47:14|
3471|5600779|160|15|0|290|1|2025-11-21 12:26:01|
1925|5700296|160|23|0|46|1|2025-11-26 18:05:02|
1925|5700307|160|1|0|445|1|2025-11-28 11:14:02|
1925|5700234|160|23|0|46|1|2025-11-13 10:44:02|
1925|5700366|160|23|0|46|1|2025-11-21 18:25:03|
3471|5600865|160|23|0|46|1|2025-11-14 16:48:02|
1925|5700223|160|1|0|445|1|2025-11-12 18:20:02|
1925|5001424|160|23|0|46|1|2025-11-19 12:00:02|
3471|5600734|160|15|0|290|1|2025-11-20 21:45:00|
3577|5102408|521|23|0|46|1|2025-11-19 12:24:01|
1925|5001425|160|23|0|46|1|2025-11-19 12:01:01|
1925|5001427|160|15|0|290|1|2025-11-19 12:00:05|
1925|5700217|160|1|0|445|1|2025-11-13 09:58:01|
1925|5001393|160|1|0|445|1|2025-11-13 11:32:03|
1925|5700226|160|1|0|445|1|2025-11-12 18:32:01|
3471|5600944|160|23|0|46|1|2025-11-27 19:08:01|
1925|5700277|160|23|0|46|1|2025-11-19 09:58:01|
3471|5600769|160|15|0|290|1|2025-11-19 16:47:04|
3471|5600867|160|15|0|290|1|2025-11-14 16:09:02|
1925|5700208|160|15|0|290|1|2025-11-13 11:04:05|
1925|5700349|160|23|0|46|1|2025-11-24 13:18:01|
1925|5700240|160|15|0|290|1|2025-11-13 11:24:02|
1925|5700302|160|15|0|290|1|2025-11-28 11:39:01|
1925|5001421|160|15|0|290|1|2025-11-19 12:01:02|
3577|5102390|521|23|0|46|1|2025-11-19 14:46:01|
3043|5603480|523|23|0|46|1|2025-11-24 21:03:01|
1925|5100858|160|1|0|445|1|2025-11-19 11:48:01|
3577|5102392|521|15|0|290|1|2025-11-18 13:44:01|
3577|5102401|521|1|0|445|1|2025-11-18 13:32:00|
1925|5700294|160|15|0|290|1|2025-11-26 18:00:10|
3897|5611725|240|1|0|445|1|2025-11-19 10:50:18|
3043|5603479|523|23|0|46|1|2025-11-21 12:54:02|
1925|5100830|160|23|0|46|1|2025-11-12 16:35:03|
3471|5600734|160|1|0|569|1|2025-11-20 21:45:00|
3577|5102391|521|15|0|290|1|2025-11-13 19:28:01|
3471|5600861|160|23|0|46|1|2025-11-14 16:09:03|
3577|5102331|521|15|0|290|1|2025-11-03 16:09:01|
1925|5700297|160|15|0|290|1|2025-11-27 13:25:01|
1925|5700238|160|23|0|46|1|2025-11-13 14:41:01|
3471|5600944|160|1|0|445|1|2025-11-27 19:08:01|
1925|5700201|160|23|0|46|1|2025-11-13 10:26:03|
3043|5003652|523|15|0|290|1|2025-11-28 16:50:02|
1925|5700340|160|23|0|46|1|2025-11-22 10:52:02|
1925|5700237|160|23|0|46|1|2025-11-13 11:29:01|
3471|5600859|160|23|0|46|1|2025-11-14 17:16:03|
1925|5700207|160|15|0|290|1|2025-11-13 11:02:03|
1925|5700360|160|23|0|46|1|2025-11-21 13:23:02|
1925|5001391|160|1|0|445|1|2025-11-13 11:32:03|
1925|5700283|160|1|0|445|1|2025-11-19 10:05:03|
1925|5700242|160|15|0|290|1|2025-11-13 11:23:02|
1925|5700223|160|15|0|290|1|2025-11-12 18:20:02|
3577|5102464|521|23|0|46|1|2025-11-27 12:08:02|
3577|5102391|521|1|0|445|1|2025-11-13 19:28:01|
3043|5003554|523|15|0|290|1|2025-11-14 15:08:03|
1925|5100829|160|23|0|46|1|2025-11-12 16:35:03|
3043|5603481|520|1|0|892|1|2025-11-20 18:47:01|
1925|5700204|160|23|0|46|1|2025-11-13 10:37:02|
1925|5700351|160|15|0|290|1|2025-11-28 14:22:01|
1925|5700336|160|15|0|290|1|2025-11-21 12:23:00|
3043|5603320|523|1|9|7565|1|2025-11-10 18:13:01|
1925|5700213|160|15|0|290|1|2025-11-12 18:15:00|
1647|5016705|240|15|0|290|1|2025-11-22 11:13:03|
1925|5700318|160|15|0|290|1|2025-11-28 11:24:02|
3471|5600948|160|15|0|290|1|2025-11-27 18:38:02|
1925|5700357|160|15|0|290|1|2025-11-21 11:53:02|
3471|5600786|160|15|0|290|1|2025-11-19 19:35:01|
