Patente|Pedimento|SeccionAduanera|Fraccion|SecuenciaFraccion|SubdivisionFraccion|DescripcionMercancia|PrecioUnitario|ValorAduana|ValorComercial|ValorDolares|CantidadUMComercial|UnidadMedidaComercial|CantidadUMTarifa|UnidadMedidaTarifa|ValorAgregado|ClaveVinculacion|MetodoValorizacion|CodigoMercanciaProducto|MarcaMercanciaProducto|ModeloMercanciaProducto|PaisOrigenDestino|PaisCompradorVendedor|EntidadFedOrigen|EntidadFedDestino|EntidadFedComprador|EntidadFedVendedor|TipoOperacion|ClaveDocumento|FechaPagoReal
3471|5600860|160|87082999|53|99|PARTE DE LA CARROCERIA|116.56000|5828|5828|315.00|50.000|6|50.00000|6||1|6||||CHN|CHN| | | | |1|IN|2025-11-14 16:30:07|
3471|5600944|160|98020019|212|00|TORNILLO DE ACERO DE USO AUTOMOTRIZ|0.36994|4315|4315|233.28|11664.000|6|233.28000|1||1|6||||CHN|CHN| | | | |1|IN|2025-11-27 19:08:01|
1925|5700343|160|85365099|27|08|INTERRUPTOR AUTOMOTRIZ|253.91538|33009|33009|1805.70|130.000|6|203.68000|1||1|6||||CHN|CHN| | | | |1|IN|2025-11-22 10:57:01|
3471|5600798|160|87082999|172|99|PARTE DE LA CARROCERIA|18.68056|1345|1345|72.72|72.000|6|72.00000|6||1|6||||CHN|CHN| | | | |1|IN|2025-11-14 16:30:06|
1925|5700347|160|39199099|19|00|PLACA ADHESIVA|6.58462|856|856|46.80|130.000|6|14.40000|1||1|6||||CHN|CHN| | | | |1|IN|2025-11-24 13:15:00|
3471|5600787|160|87082999|154|99|PARTE DE LA CARROCERIA|36.37143|2546|2546|139.30|70.000|6|70.00000|6||1|6||||CHN|CHN| | | | |1|IN|2025-11-20 10:54:04|
1925|5700341|160|87082201|7|00|PARABRISAS|2505.18750|40083|40083|2192.64|16.000|6|16.00000|6||1|6||||CHN|CHN| | | | |1|IN|2025-11-22 10:54:02|
3471|5600864|160|87082999|84|99|PARTE PARA CARROCERIA|204.60000|4092|4092|221.20|20.000|6|20.00000|6||1|6||||CHN|CHN| | | | |1|IN|2025-11-14 16:48:03|
1925|5700218|160|87082999|101|99|ENSAMBLE DE MONTAJE DE VOLANTE|88.80000|8880|8880|480.00|100.000|6|100.00000|6||1|6||||CHN|CHN| | | | |1|IN|2025-11-13 10:05:03|
1925|5700343|160|87082901|18|00|GUARDABARROS|29.80000|3874|3874|211.90|130.000|6|130.00000|6||1|6||||CHN|CHN| | | | |1|IN|2025-11-22 10:57:01|
1925|5700355|160|87082919|177|00|PUERTA|4500.50000|27003|27003|1477.14|6.000|6|6.00000|6||1|6||||CHN|CHN| | | | |1|IN|2025-11-20 11:41:02|
1925|5700349|160|73181599|1|03|TORNILLO DE ACERO DE USO AUTOMOTRIZ|0.36538|95|95|5.20|260.000|6|60.20000|1||1|6||||CHN|CHN| | | | |1|IN|2025-11-24 13:18:01|
3471|5600796|160|84253101|8|00|CABRESTANTE|1312.76563|84017|84017|4541.44|64.000|6|64.00000|6||1|6||||CHN|CHN| | | | |1|IN|2025-11-14 17:16:03|
1925|5700331|160|87089999|59|99|SOPORTE|97.44000|9744|9744|533.00|100.000|6|100.00000|6||1|6||||CHN|CHN| | | | |1|IN|2025-11-21 12:15:02|
3471|5600944|160|98020019|205|00|PERNOS ROSCADOS DE USO AUTOMOTRIZ|2.77431|1598|1598|86.40|576.000|6|11.52000|1||1|6||||CHN|CHN| | | | |1|IN|2025-11-27 19:08:01|
3471|5600862|160|40169999|43|07|ELEMENTO DE CAUCHO|39.96000|3996|3996|216.00|100.000|6|2.00000|1||1|6||||CHN|CHN| | | | |1|IN|2025-11-14 16:48:01|
3471|5600798|160|39199099|10|00|ETIQUETA AUTOADHESIVA|0.37500|27|27|1.44|72.000|6|1.44000|1||1|6||||CHN|CHN| | | | |1|IN|2025-11-14 16:30:06|
3471|5600944|160|39269099|9|06|CINCHO DE PLASTICO|0.92480|4661|4661|252.00|5040.000|6|100.80000|1||1|6||||CHN|CHN| | | | |1|IN|2025-11-27 19:08:01|
1925|5700369|160|85389001|8|00|CUBIERTA PARA INTERRUPTOR|1.64500|658|658|36.00|400.000|6|400.00000|6||1|6||||CHN|CHN| | | | |1|IN|2025-11-21 18:50:03|
3471|5600792|160|73269099|90|03|ABRAZADERA|5.18056|1492|1492|80.64|288.000|6|5.76000|1||1|6||||CHN|CHN| | | | |1|IN|2025-11-14 17:05:01|
1925|5700347|160|40093106|41|02|TUBO DE CAUCHO|17.73333|532|532|29.10|30.000|6|3.32000|1||1|6||||CHN|CHN| | | | |1|IN|2025-11-24 13:15:00|
3471|5600787|160|87085099|214|04|EJE|425.75000|59605|59605|3260.60|140.000|6|140.00000|6||1|6||||CHN|CHN| | | | |1|IN|2025-11-20 10:54:04|
1925|5700287|160|87089999|3|99|TUBO PREFORMADO|33.66000|3366|3366|182.00|100.000|6|100.00000|6||1|6||||CHN|CHN| | | | |1|IN|2025-11-26 17:43:03|
3471|5600895|160|94019999|114|01|PARTE PARA ASIENTO|2.22000|444|444|24.00|200.000|6|4.00000|1||1|6||||CHN|CHN| | | | |1|IN|2025-11-15 11:53:02|
3471|5600895|160|84213199|35|00|FILTRO DE AIRE|175.00000|700|700|37.84|4.000|6|0.08000|1||1|6||||CHN|CHN| | | | |1|IN|2025-11-15 11:53:02|
1925|5700287|160|87088099|10|00|AMORTIGUADORES|472.77000|94554|94554|5112.00|200.000|6|200.00000|6||1|6||||CHN|CHN| | | | |1|IN|2025-11-26 17:43:03|
1925|5700329|160|39235001|10|00|TAPON DE PLASTICO|1.28077|333|333|18.20|260.000|6|54.56000|1||1|6||||CHN|CHN| | | | |1|IN|2025-11-20 12:28:02|
1925|5700347|160|94019999|27|01|PARTE PARA ASIENTO|25.77143|2706|2706|148.05|105.000|6|52.94000|1||1|6||||CHN|CHN| | | | |1|IN|2025-11-24 13:15:00|
3471|5600798|160|73181599|78|03|TORNILLO DE ACERO DE USO AUTOMOTRIZ|0.36806|53|53|2.88|144.000|6|2.88000|1||1|6||||CHN|CHN| | | | |1|IN|2025-11-14 16:30:06|
1925|5700357|160|49089099|160|99|ETIQUETAS ADHESIVAS IMPRESA DE PLASTICO|3.83333|115|115|6.30|30.000|6|0.63000|1||1|6||||CHN|CHN| | | | |1|IN|2025-11-21 11:53:02|
3471|5600948|160|87082999|17|99|PARTE DE LA CARROCERIA PARA VEHICULOS AUTOMOTORES|2.58889|1864|1864|100.80|720.000|6|720.00000|6||1|6||||CHN|CHN| | | | |1|IN|2025-11-27 18:38:02|
3471|5600792|160|39269099|18|06|SUJETADOR AUTOMOTRIZ|1.11111|240|240|12.96|216.000|6|4.32000|1||1|6||||CHN|CHN| | | | |1|IN|2025-11-14 17:05:01|
3471|5600860|160|70091099|23|02|ESPEJO|70.10000|1402|1402|75.80|20.000|6|0.40000|1||1|6||||CHN|CHN| | | | |1|IN|2025-11-14 16:30:07|
3471|5600944|160|87082999|127|99|PARTE DE CARROCERIA|5.92014|1705|1705|92.16|288.000|6|288.00000|6||1|6||||CHN|CHN| | | | |1|IN|2025-11-27 19:08:01|
3471|5600776|160|40169304|23|01|EMPAQUE|5.66667|408|408|22.32|72.000|6|1.44000|1||1|6||||CHN|CHN| | | | |1|IN|2025-11-21 18:08:02|
3471|5600797|160|73269099|3|99|EMBALAJE METALICO|241.16667|1447|1447|78.24|6.000|6|82.28000|1||1|6||||CHN|CHN| | | | |1|A1|2025-11-14 17:05:02|
1925|5700348|160|73269099|1|99|EMBALAJE METALICO|147.00000|882|882|48.24|6.000|6|27.19000|1||1|6||||CHN|CHN| | | | |1|A1|2025-11-24 13:17:00|
1925|5700329|160|40169999|72|99|PLACA ADHESIVA|1.09615|285|285|15.60|260.000|6|85.41000|1||1|6||||CHN|CHN| | | | |1|IN|2025-11-20 12:28:02|
1925|5700345|160|87089999|14|99|SOPORTE|7.49231|974|974|53.30|130.000|6|130.00000|6||1|6||||CHN|CHN| | | | |1|IN|2025-11-22 10:59:02|
1925|5700200|160|87087099|31|99|RIN CON NEUMATICO|1135.00000|9080|9080|490.80|8.000|6|8.00000|6||1|6||||CHN|CHN| | | | |1|IN|2025-11-13 10:25:05|
3471|5600862|160|73181606|109|03|TUERCA DE ACERO|1.29500|1554|1554|84.00|1200.000|6|24.00000|1||1|6||||CHN|CHN| | | | |1|IN|2025-11-14 16:48:01|
1925|5700339|160|87082919|50|00|PUERTA|4524.06667|67861|67861|3712.20|15.000|6|15.00000|6||1|6||||CHN|CHN| | | | |1|IN|2025-11-22 10:51:00|
1925|5700355|160|87081099|125|00|PARACHOQUES|88.83750|7107|7107|388.80|80.000|6|80.00000|6||1|6||||CHN|CHN| | | | |1|IN|2025-11-20 11:41:02|
3471|5600944|160|87089999|157|99|TUBO DE CONEXION|14.61111|2104|2104|113.76|144.000|6|144.00000|6||1|6||||CHN|CHN| | | | |1|IN|2025-11-27 19:08:01|
3471|5600858|160|87082999|43|99|PARTE PARA CARROCERIA|91.58000|9158|9158|495.00|100.000|6|100.00000|6||1|6||||CHN|CHN| | | | |1|IN|2025-11-14 17:16:03|
3471|5600778|160|85122002|124|00|CALAVERA|306.19444|22046|22046|1206.00|72.000|6|1.44000|1||1|6||||CHN|CHN| | | | |1|IN|2025-11-21 18:31:03|
3471|5600778|160|87088005|250|00|PARTE DE LA SUSPENSION|364.69444|26258|26258|1436.40|72.000|6|72.00000|6||1|6||||CHN|CHN| | | | |1|IN|2025-11-21 18:31:03|
3471|5600895|160|70091099|22|02|ESPEJO|70.10000|1402|1402|75.80|20.000|6|0.40000|1||1|6||||CHN|CHN| | | | |1|IN|2025-11-15 11:53:02|
3471|5600796|160|87141099|118|00|PARTES PARA MOTOCICLETA|16.45833|1185|1185|64.08|72.000|6|72.00000|6||1|6||||CHN|CHN| | | | |1|IN|2025-11-14 17:16:03|
3471|5600778|160|40169304|25|01|SELLO|2.01389|290|290|15.84|144.000|6|2.88000|1||1|6||||CHN|CHN| | | | |1|IN|2025-11-21 18:31:03|
3471|5600778|160|94019999|335|01|PARTE PARA ASIENTO|8.40278|605|605|33.12|72.000|6|1.44000|1||1|6||||CHN|CHN| | | | |1|IN|2025-11-21 18:31:03|
3471|5600798|160|90328999|225|00|SENSOR DE TEMPERATURA|12.58333|906|906|48.96|72.000|6|72.00000|6||1|6||||CHN|CHN| | | | |1|IN|2025-11-14 16:30:06|
3471|5600944|160|98020019|214|00|TORNILLO DE ACERO DE USO AUTOMOTRIZ|0.55489|7218|7218|390.24|13008.000|6|260.16000|1||1|6||||CHN|CHN| | | | |1|IN|2025-11-27 19:08:01|
1925|5700329|160|39269014|101|00|CINCHO DE PLASTICO|0.54835|1996|1996|109.20|3640.000|6|331.99000|1||1|6||||CHN|CHN| | | | |1|IN|2025-11-20 12:28:02|
1925|5700339|160|87089999|44|99|TUBOS PREFORMADOS PARA REFRIGERANTE|12.96667|389|389|21.30|30.000|6|30.00000|6||1|6||||CHN|CHN| | | | |1|IN|2025-11-22 10:51:00|
3471|5600792|160|73181606|75|03|TUERCA DE ACERO|1.29482|2051|2051|110.88|1584.000|6|31.68000|1||1|6||||CHN|CHN| | | | |1|IN|2025-11-14 17:05:01|
3471|5600798|160|73181401|50|00|TORNILLOS DE USO AUTOMOTRIZ|0.18403|53|53|2.88|288.000|6|5.76000|1||1|6||||CHN|CHN| | | | |1|IN|2025-11-14 16:30:06|
1925|5700343|160|87089999|45|99|TUBOS PREFORMADOS PARA REFRIGERANTE|56.47500|2259|2259|123.60|40.000|6|40.00000|6||1|6||||CHN|CHN| | | | |1|IN|2025-11-22 10:57:01|
1925|5700327|160|73182403|40|00|PASADOR|0.18269|190|190|10.40|1040.000|6|30.78000|1||1|6||||CHN|CHN| | | | |1|IN|2025-11-20 12:24:03|
1925|5700297|160|90271001|2|00|SENSOR DE OXIGENO|195.14000|19514|19514|1055.00|100.000|6|100.00000|6||1|6||||CHN|CHN| | | | |1|IN|2025-11-27 13:25:01|
3471|5600792|160|87082919|139|00|PUERTA|4554.88000|113872|113872|6155.25|25.000|6|25.00000|6||1|6||||CHN|CHN| | | | |1|IN|2025-11-14 17:05:01|
1925|5700343|160|85122002|25|00|CALAVERA|306.19444|33069|33069|1809.00|108.000|6|262.10000|1||1|6||||CHN|CHN| | | | |1|IN|2025-11-22 10:57:01|
3471|5600778|160|87082999|206|99|PARTE DE LA CARROCERIA|106.75000|3843|3843|210.24|36.000|6|36.00000|6||1|6||||CHN|CHN| | | | |1|IN|2025-11-21 18:31:03|
3471|5600895|160|87082999|81|99|PARTE DE CARROCERIA|202.40000|9108|9108|492.30|45.000|6|45.00000|6||1|6||||CHN|CHN| | | | |1|IN|2025-11-15 11:53:02|
3471|5600860|160|94019999|114|01|PARTE PARA ASIENTO|2.22000|444|444|24.00|200.000|6|4.00000|1||1|6||||CHN|CHN| | | | |1|IN|2025-11-14 16:30:07|
1925|5700359|160|94019999|17|01|PARTES PARA AUTO|3.47500|556|556|30.40|160.000|6|17.26000|1||1|6||||CHN|CHN| | | | |1|IN|2025-11-21 11:54:06|
1925|5700357|160|40093205|104|01|TUBO DE CAUCHO|89.40000|3576|3576|195.60|40.000|6|0.83000|1||1|6||||CHN|CHN| | | | |1|IN|2025-11-21 11:53:02|
3471|5600866|160|40169304|10|01|SELLO|2.03500|407|407|22.00|200.000|6|4.00000|1||1|6||||CHN|CHN| | | | |1|IN|2025-11-14 16:09:02|
3471|5600950|160|87089203|85|99|SILENCIADOR|1779.92593|96116|96116|5196.42|54.000|6|54.00000|6||1|6||||CHN|CHN| | | | |1|IN|2025-11-27 18:19:02|
1925|5700327|160|87082999|56|99|PARTE DE LA CARROCERÍA|363.38889|6541|6541|357.84|18.000|6|18.00000|6||1|6||||CHN|CHN| | | | |1|IN|2025-11-20 12:24:03|
1925|5700339|160|87082201|45|00|PARABRISAS|2505.18750|40083|40083|2192.64|16.000|6|16.00000|6||1|6||||CHN|CHN| | | | |1|IN|2025-11-22 10:51:00|
3471|5600862|160|73181606|112|03|TUERCA DE SUJECION DE ACERO|0.55506|4274|4274|231.00|7700.000|6|154.00000|1||1|6||||CHN|CHN| | | | |1|IN|2025-11-14 16:48:01|
3471|5600862|160|73181599|96|03|PERNO ROSCADO FIJO|1.66500|333|333|18.00|200.000|6|4.00000|1||1|6||||CHN|CHN| | | | |1|IN|2025-11-14 16:48:01|
1925|5700287|160|87082999|7|99|parte de carroceria|127.80000|1278|1278|69.10|10.000|6|10.00000|6||1|6||||CHN|CHN| | | | |1|IN|2025-11-26 17:43:03|
1925|5700327|160|87089999|113|99|TUBOS PREFORMADOS PARA REFRIGERANTE|8.40769|1093|1093|59.80|130.000|6|130.00000|6||1|6||||CHN|CHN| | | | |1|IN|2025-11-20 12:24:03|
3471|5600948|160|87082999|32|99|PARTE DE LA CARROCERIA|12.39583|1785|1785|96.48|144.000|6|144.00000|6||1|6||||CHN|CHN| | | | |1|IN|2025-11-27 18:38:02|
3471|5600862|160|49089099|48|99|ETIQUETAS ADHESIVAS IMPRESA DE PLASTICO|3.33000|333|333|18.00|100.000|6|2.00000|1||1|6||||CHN|CHN| | | | |1|IN|2025-11-14 16:48:01|
1925|5700357|160|85365099|71|08|INTERRUPTOR DE PROXIMIDAD|105.85000|8468|8468|463.20|80.000|6|3.31000|1||1|6||||CHN|CHN| | | | |1|IN|2025-11-21 11:53:02|
1925|5700345|160|87082999|34|99|PARTE PARA CARROCERIA|235.45385|30609|30609|1674.40|130.000|6|130.00000|6||1|6||||CHN|CHN| | | | |1|IN|2025-11-22 10:59:02|
3471|5600792|160|87089999|200|99|SOPORTE|1.47917|213|213|11.52|144.000|6|144.00000|6||1|6||||CHN|CHN| | | | |1|IN|2025-11-14 17:05:01|
3471|5600794|160|87088005|99|00|SOPORTE DE BARRA ESTABILIZADORA|3.69965|2131|2131|115.20|576.000|6|576.00000|6||1|6||||CHN|CHN| | | | |1|IN|2025-11-14 15:50:01|
3471|5600776|160|87088005|119|00|SOPORTE DE BARRA ESTABILIZADORA|3.65625|2106|2106|115.20|576.000|6|576.00000|6||1|6||||CHN|CHN| | | | |1|IN|2025-11-21 18:08:02|
3471|5600778|160|98020019|57|00|PERNOS ROSCADOS DE USO AUTOMOTRIZ|1.82639|263|263|14.40|144.000|6|2.88000|1||1|6||||CHN|CHN| | | | |1|IN|2025-11-21 18:31:03|
3471|5600798|160|73269099|106|99|BLOQUE DE SUJECION|0.18750|27|27|1.44|144.000|6|2.88000|1||1|6||||CHN|CHN| | | | |1|IN|2025-11-14 16:30:06|
3471|5600948|160|87089999|76|99|SOPORTE|9.43056|1358|1358|73.44|144.000|6|144.00000|6||1|6||||CHN|CHN| | | | |1|IN|2025-11-27 18:38:02|
3471|5600746|160|85044099|1|00|RECTIFICADOR DE CORRIENTE|90.48884|40539|40539|2217.60|448.000|6|448.00000|6||1|6||||CHN|CHN| | | | |1|A1|2025-11-20 21:45:01|
3471|5600946|160|98020019|245|00|TORNILLO DE ACERO DE USO AUTOMOTRIZ|2.03472|1172|1172|63.36|576.000|6|11.52000|1||1|6||||CHN|CHN| | | | |1|IN|2025-11-28 20:35:00|
3471|5600895|160|40169999|21|07|GOMA ANTIVIBRACION|2.40500|481|481|26.00|200.000|6|4.00000|1||1|6||||CHN|CHN| | | | |1|IN|2025-11-15 11:53:02|
3471|5600792|160|87082999|167|99|PARTE DEL CHASIS|246.23611|17729|17729|958.32|72.000|6|72.00000|6||1|6||||CHN|CHN| | | | |1|IN|2025-11-14 17:05:01|
1925|5700351|160|87082999|43|99|PARTE DE LA CARROCERÍA|17.57000|1757|1757|95.00|100.000|6|100.00000|6||1|6||||CHN|CHN| | | | |1|IN|2025-11-28 14:22:01|
1925|5700355|160|87082999|106|99|PARTE DE CARROCERÍA|4.38750|351|351|19.20|80.000|6|80.00000|6||1|6||||CHN|CHN| | | | |1|IN|2025-11-20 11:41:02|
3471|5600942|160|87089203|12|99|SILENCIADOR|1779.92593|96116|96116|5196.42|54.000|6|54.00000|6||1|6||||CHN|CHN| | | | |1|IN|2025-11-27 18:24:03|
3471|5600798|160|87082999|170|99|PARTE DE LA CARROCERIA|467.13636|20554|20554|1111.00|44.000|6|44.00000|6||1|6||||CHN|CHN| | | | |1|IN|2025-11-14 16:30:06|
1925|5700361|160|87082999|13|99|PARTE DE LA CARROCERÍA|34.73750|2779|2779|152.00|80.000|6|80.00000|6||1|6||||CHN|CHN| | | | |1|IN|2025-11-21 13:26:01|
1925|5700339|160|87082919|48|00|PUERTA|4524.06667|67861|67861|3712.20|15.000|6|15.00000|6||1|6||||CHN|CHN| | | | |1|IN|2025-11-22 10:51:00|
3471|5600798|160|49019991|46|00|MANUAL DE USUARIO|18.12000|906|906|49.00|50.000|6|50.00000|6||1|6||||CHN|CHN| | | | |1|IN|2025-11-14 16:30:06|
3471|5600796|160|87082999|43|99|PARTE DE LA CARROCERIA|2.58333|186|186|10.08|72.000|6|72.00000|6||1|6||||CHN|CHN| | | | |1|IN|2025-11-14 17:16:03|
1925|5700331|160|73181599|19|03|TORNILLO DE ACERO DE USO AUTOMOTRIZ|1.27949|998|998|54.60|780.000|6|27.44000|1||1|6||||CHN|CHN| | | | |1|IN|2025-11-21 12:15:02|
1925|5700343|160|87089999|12|99|TUBERIA PREFORMADA|51.18333|6142|6142|336.00|120.000|6|120.00000|6||1|6||||CHN|CHN| | | | |1|IN|2025-11-22 10:57:01|
3471|5600864|160|87088005|90|00|PARTE DE LA SUSPENSION|143.38889|2581|2581|139.50|18.000|6|18.00000|6||1|6||||CHN|CHN| | | | |1|IN|2025-11-14 16:48:03|
