Patente|Pedimento|SeccionAduanera|ConsecutivoRemesa|NumeroSeleccion|FechaInicioReconocimiento|HoraInicioReconocimiento|FechaFinReconocimiento|HoraFinReconocimiento|Fraccion|SecuenciaFraccion|ClaveDocumento|TipoOperacion|GradoIncidencia|FechaSeleccion
1925|5700227|160|0|1|2025-11-14|15:29|2025-11-14|20:55|00000000|0|A1|1|C|2025-11-14|
3471|5600668|160|0|1|2025-11-01|13:35|2025-11-01|17:20|00000000|0|A1|1|C|2025-11-01|
1925|5100859|160|0|1|2025-11-21|20:05|2025-11-21|23:51|00000000|0|A1|1|C|2025-11-21|
3577|5102460|521|0|1|2025-11-26|17:20|2025-11-26|18:33|00000000|0|AF|1|C|2025-11-26|
1925|5700358|160|0|1|2025-11-26|14:13|2025-11-26|17:57|00000000|0|A1|1|C|2025-11-26|
1647|5016705|240|45|1|2025-11-13|14:26|2025-11-13|16:48|00000000|0|RT|2|C|2025-11-13|
1925|5100825|160|0|1|2025-11-14|09:23|2025-11-14|13:07|00000000|0|IN|1|C|2025-11-14|
1925|5700228|160|0|1|2025-11-14|15:29|2025-11-14|20:56|00000000|0|IN|1|C|2025-11-14|
3043|5003532|520|2|1|2025-11-14|13:44|2025-11-14|14:32|00000000|0|IN|1|C|2025-11-14|
3471|5600767|160|0|1|2025-11-22|14:18|2025-11-22|18:49|00000000|0|A1|1|C|2025-11-22|
1925|5001395|160|0|1|2025-11-14|14:33|2025-11-14|20:46|00000000|0|A1|1|C|2025-11-14|
1925|5700234|160|0|1|2025-11-15|10:54|2025-11-15|12:58|00000000|0|IN|1|C|2025-11-15|
3471|5600667|160|0|1|2025-11-01|13:35|2025-11-01|17:16|00000000|0|IN|1|C|2025-11-01|
