Patente|Pedimento|SeccionAduanera|FechaFacturacion|NumeroFactura|TerminoFacturacion|MonedaFacturacion|ValorDolares|ValorMonedaExtranjera|PaisFacturacion|EntidadFedFacturacion|IndentFiscalProveedor|ProveedorMercancia|CalleProveedor|NumInteriorProveedor|NumExteriorProveedor|CpProveedor|MunicipioProveedor|FechaPagoReal
3178|6000147|160|2025-12-04|COVE267WJ1UQ1|CIF| ||| | |91330100757206158|ZHEJIANG CFMOTO POWER CO.,LTD||||||2026-01-08 16:23:03|
3471|6400068|160|2025-12-13|COVE257W61KB7|CIF| ||| | |91330100757206158|ZHEJIANG CFMOTO POWER CO., LTD||||||2026-01-09 11:57:01|
3471|6400102|160|2025-12-11|COVE267WA22K2|CIF| ||| | |91330100757206158|ZHEJIANG CFMOTO POWER CO., LTD||||||2026-01-14 11:08:04|
3471|6400046|160|2025-12-10|COVE257W0PGD4|CIF| ||| | |91330100757206158|ZHEJIANG CFMOTO POWER CO., LTD||||||2026-01-07 16:06:03|
3471|6400098|160|2025-12-11|COVE267WTC134|CIF| ||| | |91330100757206158|ZHEJIANG CFMOTO POWER CO., LTD||||||2026-01-15 09:13:02|
3471|6400047|160|2025-12-10|COVE257W0PGD4|CIF| ||| | |91330100757206158|ZHEJIANG CFMOTO POWER CO., LTD||||||2026-01-07 16:06:03|
3471|6400063|160|2025-12-13|COVE267WG59J3|CIF| ||| | |91330100757206158|ZHEJIANG CFMOTO POWER CO., LTD||||||2026-01-08 18:20:10|
3178|6000240|160|2025-12-14|COVE267WXRWF8|CIF| ||| | |91330100757206158|ZHEJIANG CFMOTO POWER CO.,LTD||||||2026-01-15 18:27:05|
3178|6000519|160|2025-12-12|COVE267WSHVB5|CIF| ||| | |91330100757206158|ZHEJIANG CFMOTO POWER CO.,LTD||||||2026-01-13 22:28:01|
3471|6400065|160|2025-12-13|COVE257W598Y1|CIF| ||| | |91330100757206158|ZHEJIANG CFMOTO POWER CO., LTD||||||2026-01-08 17:13:05|
3471|6400203|160|2025-12-19|COVE267WKSAN7|CIF| ||| | |91330100757206158|ZHEJIANG CFMOTO POWER CO., LTD||||||2026-01-09 12:45:04|
3471|6400006|160|2025-12-11|COVE257W0ZT16|CIF| ||| | |91330100757206158|ZHEJIANG CFMOTO POWER CO., LTD||||||2026-01-08 14:49:01|
3577|6300039|521|2026-01-12|COVE267WUY604|DAP|USD|1855.43|1855.43|CHN| |91330100757206158|ZHEJIANG CFMOTO POWER CO.,LTD|WUZHOU ROAD||116|311100|HANGZHOU  YUHANG ECONOMIC DEVELOPMENT ZONE|2026-01-15 13:54:01|
3471|6400089|160|2025-12-15|COVE257W3EG43|CIF| ||| | |91330100757206158|ZHEJIANG CFMOTO POWER CO., LTD||||||2026-01-08 16:37:02|
3471|6400044|160|2025-12-10|COVE257W0NHI6|CIF| ||| | |91330100757206158|ZHEJIANG CFMOTO POWER CO., LTD||||||2026-01-07 16:14:05|
3471|6400148|160|2025-12-03|COVE267W8BSN2|CIF| ||| | |91330100757206158|ZHEJIANG CFMOTO POWER CO., LTD||||||2026-01-02 17:08:05|
