Patente|Pedimento|SeccionAduanera|NumeroGuia|TipoGuia|FechaPagoReal
3043|6600094|523|000006096736|M|2026-01-19 18:27:01|
3471|6400325|160|EGLV143574071394|M|2026-01-30 10:05:05|
3577|6300132|521|480-00299316|M|2026-01-28 14:57:02|
1925|6000043|160|EGLV143574071165|M|2026-01-22 14:06:03|
3178|6000240|160|EGLV143574070100|M|2026-01-15 18:27:05|
3471|6400158|160|EGLV143559688114|M|2026-01-08 17:22:06|
3471|6400153|160|EGLV143559711299|M|2026-01-05 12:13:02|
3471|6400195|160|EGLV147502110842|M|2026-01-28 23:25:02|
3471|6400193|160|EGLV147502110842|M|2026-01-28 23:25:03|
3471|6400179|160|COSU6437934360|M|2026-01-16 10:11:04|
1925|6100035|160|EGLV143574070495|M|2026-01-24 12:26:01|
3471|6400028|160|EGLV143574069403|M|2026-01-02 13:48:01|
1614|6000080|160|EGLV143559688220|M|2026-01-20 11:17:06|
1925|6100033|160|EGLV143574070495|M|2026-01-24 12:24:02|
3471|6400380|160|EGLV143574071262|M|2026-01-30 09:49:04|
3043|6000076|523|000006083840|M|2026-01-08 14:19:02|
3471|6400149|160|EGLV143559711192|M|2026-01-02 16:54:02|
3577|6300060|521|489-62298482|M|2026-01-23 16:53:01|
1925|6000115|160|EGLV143574071254|M|2026-01-29 11:23:04|
3577|6300087|521|887695315045|H|2026-01-20 13:29:02|
3043|6600094|523|000006095077|M|2026-01-19 18:27:01|
3471|6400053|160|031F605854|M|2026-01-08 10:23:01|
3471|6400178|160|COSU6437934360|M|2026-01-16 10:11:03|
3471|6400196|160|EGLV147502110842|M|2026-01-28 23:24:02|
3471|6400252|160|EGLV143559688238|M|2026-01-28 14:24:04|
3043|6600119|520|031251895421|M|2026-01-19 18:46:03|
3178|6000847|160|EGLV143574071009|M|2026-01-24 12:17:03|
3471|6400014|160|EGLV143559688203|M|2026-01-09 18:05:09|
3471|6400021|160|EGLV143574069403|M|2026-01-02 11:46:03|
3043|6600188|520|031421730094|M|2026-01-31 13:50:02|
1925|6000118|160|EGLV143574071254|M|2026-01-29 11:23:02|
3043|6000066|523|000006079571|M|2026-01-14 11:19:02|
3043|6000116|523|000006084151|M|2026-01-15 16:13:01|
1614|6000508|160|EGLV143574071173|M|2026-01-28 13:34:05|
3178|6000971|160|EGLV143574071009|M|2026-01-24 12:02:13|
3471|6400208|160|EGLV143559688246|M|2026-01-17 11:39:03|
1925|6100031|160|EGLV143574070495|M|2026-01-24 12:10:07|
3577|6300024|521|489-62298482|M|2026-01-05 19:02:01|
3178|6000232|160|EGLV143574070100|M|2026-01-15 22:15:01|
3043|6600188|520|031456348902|M|2026-01-31 13:50:02|
3471|6400232|160|ZIMUSHH32000379|M|2026-01-28 15:10:03|
3471|6400025|160|EGLV143574069403|M|2026-01-02 17:50:08|
3577|6300069|521|489-62298961|M|2026-01-15 13:55:01|
1614|6000073|160|EGLV143559711353|M|2026-01-08 09:59:00|
3043|6600095|523|000006095076|M|2026-01-19 18:48:01|
1925|6000110|160|EGLV143574071254|M|2026-01-29 11:24:01|
1925|6000116|160|EGLV143574071254|M|2026-01-29 11:23:02|
3043|6000064|523|000006079055|M|2026-01-07 16:40:01|
3471|6400217|160|EGLV143559688246|M|2026-01-19 18:01:03|
3471|6400162|160|ZIMUSHH31998857|M|2026-01-28 14:30:03|
3471|6400249|160|EGLV143559688238|M|2026-01-28 14:24:02|
3471|6400050|160|031F605854|M|2026-01-07 17:58:03|
3043|6600096|523|000006096736|M|2026-01-19 18:33:01|
3178|6000841|160|EGVL143574070363|M|2026-01-22 13:43:05|
3043|6600095|523|000006095074|M|2026-01-19 18:48:01|
3043|6600189|520|031448175734|M|2026-01-31 13:51:01|
3471|6400197|160|EGLV147502110842|M|2026-01-28 23:24:02|
3178|6000917|160|EGLV143574071009|M|2026-01-23 13:03:05|
3577|6300024|521|9511675423|H|2026-01-05 19:02:01|
1925|6610024|160|031F609949|M|2026-01-22 11:29:02|
3178|6000314|160|EGLV143574070100|M|2026-01-15 18:27:04|
3043|6600189|520|031427005096|M|2026-01-31 13:51:01|
3471|6400448|160|EGLV143500556352|M|2026-01-31 10:44:02|
3471|6400047|160|031F605854|M|2026-01-07 16:06:03|
3043|6600095|523|000006096739|M|2026-01-19 18:48:01|
3043|6600189|520|031456141839|M|2026-01-31 13:51:01|
1614|6001098|160|EGLV143574071173|M|2026-01-28 16:24:01|
3178|6000518|160|EGLV143574070088|M|2026-01-13 22:28:02|
3471|6400105|160|EGLV143559711299|M|2026-01-05 14:54:04|
3178|6000872|160|EGLV143574070363|M|2026-01-22 14:02:04|
3471|6400101|160|031F605855|M|2026-01-15 09:13:03|
3471|6400240|160|031F613363|M|2026-01-26 09:17:02|
3043|6600188|520|031425781752|M|2026-01-31 13:50:02|
3577|6300022|521|9511678385|H|2026-01-06 11:18:00|
1614|6000094|160|EGLV143574069420|M|2026-01-19 17:38:08|
1925|6000051|160|EGLV143574071165|M|2026-01-22 14:05:05|
3471|6400016|160|EGLV143559688203|M|2026-01-08 11:16:04|
1614|6000516|160|EGLV143574071173|M|2026-01-28 13:35:03|
3043|6600189|520|031421730094|M|2026-01-31 13:51:01|
3043|6600095|523|000006096740|M|2026-01-19 18:48:01|
3043|6600118|520|031246080650|M|2026-01-19 18:30:04|
1614|6000509|160|EGLV143574071173|M|2026-01-28 13:34:03|
3471|6400250|160|EGLV143559688238|M|2026-01-28 14:24:03|
3471|6400017|160|EGLV143559688203|M|2026-01-08 11:16:03|
3471|6400049|160|031F605854|M|2026-01-07 14:59:02|
3577|6300041|521|3628347726|H|2026-01-19 18:30:01|
3043|6000066|523|000006079055|M|2026-01-14 11:19:02|
1925|6100032|160|EGLV143574070495|M|2026-01-24 12:13:01|
3043|6600188|520|031424540422|M|2026-01-31 13:50:02|
3043|6600096|523|000006096741|M|2026-01-19 18:33:01|
3178|6000231|160|EGLV143574070100|M|2026-01-15 20:38:01|
3043|6600095|523|000006096736|M|2026-01-19 18:48:01|
3471|6400076|160|EGLV143559688106|M|2026-01-08 16:37:03|
3471|6400198|160|EGLV147502110842|M|2026-01-28 23:25:03|
3471|6400271|160|EGLV143559689048|M|2026-01-30 20:26:01|
1925|6100106|160|031F609949|M|2026-01-22 18:58:04|
3577|6300042|521|489-62298482|M|2026-01-23 16:53:01|
3043|6600096|523|000006095079|M|2026-01-19 18:33:01|
1614|6000507|160|EGLV143574071173|M|2026-01-28 13:34:02|
3471|6400030|160|EGLV143574069382|M|2026-01-02 16:54:01|
3471|6400248|160|EGLV143559689064|M|2026-01-26 09:32:03|
3577|6300086|521|3109103126|H|2026-01-19 18:47:00|
1925|6000029|160|EGLV143559711337|M|2026-01-22 14:00:07|
3471|6400255|160|EGLV143559688238|M|2026-01-28 14:24:04|
1614|6000510|160|EGLV143574071173|M|2026-01-28 13:34:06|
3471|6400180|160|COSU6437934360|M|2026-01-16 10:11:02|
3577|6300088|521|8701435901|H|2026-01-21 17:18:01|
1614|6000074|160|EGLV143559711353|M|2026-01-08 10:05:04|
1925|6100025|160|031F609949|M|2026-01-22 11:32:02|
3043|6600189|520|031424163395|M|2026-01-31 13:51:01|
3471|6400254|160|EGLV143559688238|M|2026-01-22 17:27:05|
3577|6300022|521|489-62298482|M|2026-01-06 11:18:00|
1925|6100023|160|031F609949|M|2026-01-22 11:56:01|
3043|6600094|523|000006095080|M|2026-01-19 18:27:01|
1925|6000119|160|EGLV143574071254|M|2026-01-29 11:46:00|
3471|6400020|160|EGLV143574069403|M|2026-01-02 19:42:02|
3471|6400062|160|EGLV143574070096|M|2026-01-09 16:01:02|
3471|6400069|160|EGLV143574070096|M|2026-01-09 11:58:02|
3471|6400124|160|EGLV143559688556|M|2026-01-19 15:06:02|
3471|6400201|160|EGLV147502110842|M|2026-01-28 23:25:01|
3043|6600188|520|031425914770|M|2026-01-31 13:50:02|
1614|6000083|160|EGLV143559688220|M|2026-01-20 11:18:02|
3471|6400174|160|COSU6437934360|M|2026-01-16 10:44:03|
3471|6400216|160|EGLV143559688246|M|2026-01-20 12:39:01|
3577|6300040|521|489-62298961|M|2026-01-07 11:44:01|
1925|6000049|160|EGLV143574071165|M|2026-01-22 14:05:05|
3471|6400006|160|EGLV143574070070|M|2026-01-08 14:49:01|
1614|6000081|160|EGLV143559688220|M|2026-01-20 11:17:06|
1614|6000079|160|EGLV143559688220|M|2026-01-20 11:17:05|
1614|6000511|160|EGLV143574071173|M|2026-01-23 19:24:02|
1925|6000030|160|EGLV143559711337|M|2026-01-22 13:59:02|
3471|6400086|160|EGLV143559711345|M|2026-01-08 17:14:04|
3577|6300041|521|489-62298961|M|2026-01-19 18:30:01|
1614|6000072|160|EGLV143559711353|M|2026-01-07 20:04:00|
3471|6400166|160|SHACB25074765|M|2026-01-07 14:52:01|
3471|6400059|160|EGLV143574070070|M|2026-01-08 15:17:02|
3471|6400060|160|EGLV143574070070|M|2026-01-08 15:16:01|
3178|6000539|160|EGLV143574070088|M|2026-01-16 17:25:05|
1614|6000088|160|EGLV143574069420|M|2026-01-19 17:37:05|
3577|6300042|521|3448476415|H|2026-01-23 16:53:01|
3178|6000150|160|EGLV143559711205|M|2026-01-08 17:37:04|
3471|6400244|160|031F613363|M|2026-01-22 15:23:02|
3043|6600119|520|031245468587|M|2026-01-19 18:46:03|
1925|6000042|160|EGLV143574071165|M|2026-01-22 14:06:02|
1614|6000089|160|EGLV143574069420|M|2026-01-19 17:38:04|
3471|6400083|160|EGLV143559711345|M|2026-01-08 17:14:05|
3043|6600094|523|000006096737|M|2026-01-19 18:27:01|
3577|6300023|521|489-62298482|M|2026-01-06 10:23:01|
3471|6400073|160|EGLV143559688017|M|2026-01-09 16:38:04|
1925|6000050|160|EGLV143574071165|M|2026-01-22 14:05:04|
3043|6600095|523|000006096738|M|2026-01-19 18:48:01|
1925|6000048|160|EGLV143574071165|M|2026-01-22 14:05:03|
3471|6400015|160|EGLV143559688203|M|2026-01-09 18:05:07|
3577|6300023|521|9511681443|H|2026-01-06 10:23:01|
3043|6000065|523|000006079571|M|2026-01-07 16:39:01|
