Patente|Pedimento|SeccionAduanera|Fraccion|SecuenciaFraccion|SecuenciaObservacion|Observaciones|FechaPagoReal
3471|6400025|160|87082902|71|2|No.Parte|2026-01-02 17:50:08|
3471|6400146|160|98020019|162|1|FRACCION ORIGINAL 7318160603|2026-01-03 00:54:01|
3471|6400100|160|98020019|203|2|No.Parte|2026-01-15 09:26:01|
3471|6400025|160|87089999|154|3|5HYV-183500-6000|2026-01-02 17:50:08|
3471|6400014|160|98020019|271|2|No.Parte|2026-01-09 18:05:09|
1925|6700024|160|98020019|82|1|25CFTT176702-7-INFA ORIGINAL: 7318.15.99.03No. De parte: 30024-122100110|2026-01-13 10:50:03|
1925|6700025|160|39269099|59|1|25CFTT176702-3-INNo. De parte: 5HY0-043012|2026-01-13 10:52:07|
1614|6000517|160|63079099|1|1|NP: 9060-152100|2026-01-28 13:35:03|
1925|6000111|160|98020019|197|1|FA. ORIGINAL: 3919909900No. De parte: 5HYV-046006-9000|2026-01-29 11:24:04|
3178|6000518|160|87089999|164|1|7030-010500-10000|2026-01-13 22:28:02|
3178|6000516|160|84099199|68|1|0NYV-190001-2000|2026-01-13 21:54:01|
3471|6400014|160|87082999|67|2|No.Parte|2026-01-09 18:05:09|
3471|6400120|160|82079099|20|1|25CFMABTTP120|2026-01-05 12:21:05|
3471|6400094|160|87089999|65|3|5HYV-082100-6000|2026-01-15 08:44:02|
3471|6400146|160|98020019|229|1|25CFTT406465-8, FRACCION ORIGINAL 7318159903|2026-01-03 00:54:01|
3471|6400160|160|40169999|5|2|No.Parte|2026-01-03 12:28:01|
3471|6400025|160|83023091|29|3|5HYV-222070-6000|2026-01-02 17:50:08|
3471|6400029|160|98020019|275|1|25CFTT406467-5,FRACCION ORIGINAL 8708509904|2026-01-02 16:54:02|
3471|6400100|160|84818022|45|3|5HYV-354600-9001|2026-01-15 09:26:01|
3471|6400120|160|82074004|5|2|No.Parte|2026-01-05 12:21:05|
3178|6000154|160|98020019|17|1|NO.PARTE|2026-01-09 12:32:04|
1925|6700024|160|70091099|32|1|25CFTT176702-6-INNo. De parte: 5HY0-260120-10000|2026-01-13 10:50:03|
1925|6700024|160|87082999|186|1|25CFTT176702-7-INNo. De parte: 5SYV-030204-6000-H1M|2026-01-13 10:50:03|
1614|6000518|160|87082201|135|1|5HYV-031999-6000-H1|2026-01-28 13:35:05|
1925|6000112|160|73269099|3|1|No. De parte: TBT070|2026-01-29 11:24:02|
3178|6000518|160|39269099|145|1|5HYV-353520-9001|2026-01-13 22:28:02|
3178|6000518|160|94019999|60|1|5ASV-134000-6000|2026-01-13 22:28:02|
3178|6000154|160|98020019|55|3|FRACCION ORIGINAL: 7326200699|2026-01-09 12:32:04|
3471|6400146|160|39269099|11|2|No.Parte|2026-01-03 00:54:01|
3471|6400094|160|39269099|5|1|25CFTT406481-1|2026-01-15 08:44:02|
3471|6400029|160|85371006|80|1|25CFTT406467-5|2026-01-02 16:54:02|
3471|6400025|160|85291009|46|1|25CFTT406475-6|2026-01-02 17:50:08|
3471|6400019|160|85122002|27|1|25CFTT406475-1|2026-01-02 19:08:02|
3471|6400160|160|87082999|39|1|25CFTT406465-4|2026-01-03 12:28:01|
3471|6400098|160|87082999|59|1|25CFTT406481-4|2026-01-15 09:13:02|
3471|6400148|160|98020019|136|1|25CFTT406465-10, FRACCION ORIGINAL 7318160603|2026-01-02 17:08:05|
3471|6400014|160|98020019|183|3|NO.PARTE|2026-01-09 18:05:09|
3178|6000516|160|87082999|17|1|5HYV-031458-6000-H1M|2026-01-13 21:54:01|
3178|6000518|160|39263002|110|2|NO. FACTURA: 25CFTT406482-6-IN|2026-01-13 22:28:02|
1614|6000518|160|87082999|149|1|5HYV-221090-6000-H1M|2026-01-28 13:35:05|
1614|6000518|160|87089999|41|1|5HYV-183500-6000|2026-01-28 13:35:05|
1925|6700024|160|87082999|137|1|25CFTT176702-7-INNo. De parte: 5HY0-031499-0MP0M|2026-01-13 10:50:03|
3178|6000520|160|87082999|40|2|NO. FACTURA: 25CFTT406482-9-IN|2026-01-13 22:28:01|
3178|6000154|160|98020019|146|2|5SYV-190008-6000-10|2026-01-09 12:32:04|
3471|6400021|160|87082999|16|3|5HYV-032050-6000-H1M|2026-01-02 11:46:03|
3471|6400100|160|98020019|195|2|No.Parte|2026-01-15 09:26:01|
3471|6400029|160|98020019|237|2|No.Parte|2026-01-02 16:54:02|
3471|6400146|160|87089999|121|3|5HYV-183420A|2026-01-03 00:54:01|
3471|6400019|160|98020019|205|1|25CFTT406475-1,FRACCION ORIGINAL 7326909999|2026-01-02 19:08:02|
3471|6400029|160|98020019|258|2|No.Parte|2026-01-02 16:54:02|
3471|6400096|160|87082999|6|3|5HYV-030030-6000|2026-01-15 09:00:04|
3471|6400025|160|87089999|143|1|25CFTT406475-6|2026-01-02 17:50:08|
3471|6400014|160|39235001|5|1|25CFTT406514-5|2026-01-09 18:05:09|
1925|6700024|160|87082999|132|1|25CFTT176702-7-INNo. De parte: 5HY0-031455-0MP0M|2026-01-13 10:50:03|
3178|6000518|160|98020019|119|3|NO. FACTURA: 25CFTT406482-6-IN|2026-01-13 22:28:02|
3471|6400251|160|98020019|55|1|25CFTT177764-3 FRACCION ORIGINAL 8708292300|2026-01-28 14:24:03|
1614|6000518|160|90262003|67|1|TFQ002|2026-01-28 13:35:05|
3178|6000518|160|87087006|92|1|5HYV-070501-6000|2026-01-13 22:28:02|
3178|6000518|160|98020019|44|1|30204-122810|2026-01-13 22:28:02|
3178|6000154|160|98020019|25|2|30006-102075810|2026-01-09 12:32:04|
3471|6400019|160|39269020|6|3|5ASV-190001-6000|2026-01-02 19:08:02|
3471|6400100|160|87082999|92|2|No.Parte|2026-01-15 09:26:01|
3471|6400029|160|98020019|267|3|5HYV-190030-6000|2026-01-02 16:54:02|
3471|6400148|160|85371099|34|1|25CFTT406465-10|2026-01-02 17:08:05|
3471|6400148|160|87082999|54|1|25CFTT406465-9|2026-01-02 17:08:05|
3471|6400029|160|87088099|128|3|5HYV-050500-6001|2026-01-02 16:54:02|
3471|6400100|160|40169304|26|1|25CFTT406481-6|2026-01-15 09:26:01|
3471|6400021|160|87082999|35|1|25CFTT406475-3|2026-01-02 11:46:03|
3178|6000154|160|98020019|6|3|FRACCION ORIGINAL: 7318159903|2026-01-09 12:32:04|
1925|6700024|160|87082999|188|1|25CFTT176702-7-INNo. De parte: 5SYV-031200-6000-H1M|2026-01-13 10:50:03|
3178|6000518|160|98020019|71|1|5HY0-223036|2026-01-13 22:28:02|
1614|6000518|160|98020019|102|1|5HYV-353407-9000|2026-01-28 13:35:05|
1925|6000120|160|73269099|3|1|No. De parte: TBT054|2026-01-29 11:23:04|
3178|6000518|160|98020019|38|3|NO. FACTURA: 25CFTT406482-6-IN|2026-01-13 22:28:02|
3178|6000520|160|87082999|16|2|NO. FACTURA: 25CFTT406482-9-IN|2026-01-13 22:28:01|
3178|6000154|160|85364199|65|2|5BWV-150510-5300|2026-01-09 12:32:04|
3471|6400021|160|87082999|48|2|No.Parte|2026-01-02 11:46:03|
3471|6400102|160|87082101|53|3|5HYV-341200-6000|2026-01-14 11:08:04|
3471|6400029|160|85371006|83|2|No.Parte|2026-01-02 16:54:02|
