Patente|Pedimento|SeccionAduanera|Fraccion|SecuenciaFraccion|ClavePermiso|FirmaDescargo|NumeroPermiso|ValorComercialDolares|CantidadMUMTarifa|FechaPagoReal
1925|6000109|160|98020019|30|C1||1931R825050575|19.20|960.00000|2026-01-29 11:24:04|
3577|6300042|521|98020019|84|C1||1931R826001518|17.20|1.00000|2026-01-23 16:53:01|
1925|6000029|160|98020019|90|C1||1931R825050575|4.32|144.00000|2026-01-22 14:00:07|
1614|6000090|160|98020019|264|C1||1931R825050424|31.68|144.00000|2026-01-19 17:38:06|
3471|6400146|160|98020019|183|C1||1931R825050424|9.60|960.00000|2026-01-03 00:54:01|
3471|6400029|160|98020019|257|C1||1931R825051346|9.60|120.00000|2026-01-02 16:54:02|
3471|6400174|160|98020019|189|C1||1931R825050547|6.80|136.00000|2026-01-16 10:44:03|
1925|6100028|160|98020019|100|C1||1931R826001314|6.80|136.00000|2026-01-22 17:03:05|
1925|6100026|160|98020019|190|C1||1931R826001628|16.32|68.00000|2026-01-22 11:33:02|
3471|6400010|160|98020019|92|C1||1931R825050547|331.20|1440.00000|2026-01-08 11:27:03|
1925|6100028|160|98020019|188|C1||1931R826001628|35.65|23.00000|2026-01-22 17:03:05|
3471|6400217|160|98020019|214|C1||1931R825038867|2760.00|120.00000|2026-01-19 18:01:03|
3577|6300042|521|98020019|97|C1||1931R825051346|1.20|101.00000|2026-01-23 16:53:01|
3178|6000841|160|98020019|73|C1||1931R825050575|12.96|144.00000|2026-01-22 13:43:05|
1925|6100038|160|98020019|184|C1||1931R825050550|22.40|160.00000|2026-01-24 13:04:01|
3471|6400249|160|98020019|9|C1||1931R826001314|24.00|160.00000|2026-01-28 14:24:02|
3471|6400029|160|98020019|167|C1||1931R825050575|134.40|480.00000|2026-01-02 16:54:02|
1925|6100107|160|98020019|151|C1||1931R826001628|105.40|68.00000|2026-01-22 19:00:05|
3471|6400019|160|98020019|193|C1||1931R825051346|57.12|136.00000|2026-01-02 19:08:02|
1925|6000031|160|98020019|11|C1||1931R825050575|216.00|7200.00000|2026-01-22 13:59:04|
3178|6000239|160|98020019|172|C1||1931R825038867|3336.48|144.00000|2026-01-17 12:44:03|
1614|6000510|160|98020019|99|C1||1931R825050547|277.20|9240.00000|2026-01-28 13:34:06|
3178|6000154|160|98020019|16|C1||1931R825050575|60.48|864.00000|2026-01-09 12:32:04|
1925|6100026|160|98020019|210|C1||1931R826001628|54.40|68.00000|2026-01-22 11:33:02|
