Patente|Pedimento|SeccionAduanera|Fraccion|SecuenciaFraccion|SubdivisionFraccion|DescripcionMercancia|PrecioUnitario|ValorAduana|ValorComercial|ValorDolares|CantidadUMComercial|UnidadMedidaComercial|CantidadUMTarifa|UnidadMedidaTarifa|ValorAgregado|ClaveVinculacion|MetodoValorizacion|CodigoMercanciaProducto|MarcaMercanciaProducto|ModeloMercanciaProducto|PaisOrigenDestino|PaisCompradorVendedor|EntidadFedOrigen|EntidadFedDestino|EntidadFedComprador|EntidadFedVendedor|TipoOperacion|ClaveDocumento|FechaPagoReal
3471|6400100|160|98020019|173|00|TORNILLO DE ACERO DE USO AUTOMOTRIZ|0.36000|72|72|4.00|200.000|6|4.00000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-15 09:26:01|
1925|6100040|160|87089999|208|99|TUBERIA PERFORMADA PARA AUTOMOVIL|44.72500|1789|1789|100.40|40.000|6|40.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-24 12:58:04|
3178|6000847|160|98020019|125|00|CABLES|50.24375|8039|8039|451.20|160.000|6|10.56000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-24 12:17:03|
3178|6000234|160|87082201|50|00|PARTES DE LA CARROCERIA PARA VEHICULOS AUTOMOTORES|8.58500|1717|1717|96.00|200.000|6|200.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-15 22:14:01|
1614|6000508|160|85371099|110|99|MODULO DE CONTROL|866.03125|27713|27713|1574.72|32.000|6|14.72000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-28 13:34:05|
3471|6400014|160|98020019|267|00|ETIQUETA AUTOADHESIVA|1.25000|90|90|5.04|72.000|6|1.44000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-09 18:05:09|
1614|6000091|160|73269099|7|99|EMBALAJE METALICO|1159.87500|27837|27837|1562.40|24.000|6|612.00000|1||1|6||||CHN|CHN| | | | |1|A1|2026-01-19 17:38:04|
1925|6000049|160|98020019|181|00|ABRAZADERA|3.36250|807|807|45.60|240.000|6|10.19844|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-22 14:05:05|
3577|6300120|521|87082999|48|99|PARTE PARA CARROCERIA|23.00000|460|460|25.76|20.000|6|20.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-26 14:38:00|
3178|6000954|160|98020019|178|00|TORNILLO DE ACERO DE USO AUTOMOTRIZ|1.24687|1197|1197|67.20|960.000|6|1.92000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-24 13:42:01|
1925|6100038|160|94019999|140|01|PARTE PARA ASIENTO|9.62188|3079|3079|172.80|320.000|6|34.51027|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-24 13:04:01|
3577|6300120|521|87082999|38|99|PARTE PARA CARROCERIA|23.00000|460|460|25.76|20.000|6|20.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-26 14:38:00|
1925|6000031|160|85129007|88|05|REFLECTOR DE USO AUTOMOTRIZ|1.78472|257|257|14.40|144.000|6|51.75391|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-22 13:59:04|
1614|6000076|160|87082999|40|99|PARTE PARA CARROCERIA|108.15000|8652|8652|485.60|80.000|6|80.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-20 11:17:03|
3471|6400014|160|87082999|73|99|PARTE DE LA CARROCERIA|110.50000|7956|7956|444.96|72.000|6|72.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-09 18:05:09|
1614|6000518|160|87088005|59|00|EJE DE MONTAJE DE BALANCIN DE SUSPENSION|11.61458|5575|5575|316.80|480.000|6|480.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-28 13:35:05|
3178|6000234|160|87082201|39|00|PARTES DE LA CARROCERIA PARA VEHICULOS AUTOMOTORES|36.65000|3665|3665|205.00|100.000|6|100.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-15 22:14:01|
3178|6000847|160|98020019|116|00|PARTES PARA ASIENTO|2.13750|342|342|19.20|160.000|6|36.80000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-24 12:17:03|
1925|6100040|160|98020019|163|00|ETIQUETA AUTOADHESIVA|0.18125|29|29|1.60|160.000|6|1.98209|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-24 12:58:04|
3178|6000234|160|87082999|49|99|PARTE PARA CARROCERIA|7.15000|715|715|40.00|100.000|6|100.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-15 22:14:01|
1614|6000508|160|87089999|134|99|TUBOS PREFORMADOS PARA REFRIGERANTE|202.39167|24287|24287|1380.00|120.000|6|120.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-28 13:34:05|
3471|6400014|160|87082999|96|99|PARTE DE LA CARROCERIA PARA VEHICULOS AUTOMOTORES|7.33333|1056|1056|59.04|144.000|6|144.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-09 18:05:09|
1614|6000078|160|39173999|73|00|DUCTO|16.39167|3934|3934|220.80|240.000|6|20.40000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-20 11:17:04|
3178|6000561|160|87082999|26|99|PARTE PARA CARROCERIA|4.62500|185|185|10.40|40.000|6|40.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-22 17:22:04|
3471|6400120|160|85366999|30|02|CLAVIJAS|26.60000|266|266|14.82|10.000|6|1.00000|1||1|6||||CHN|CHN| | | | |1|A1|2026-01-05 12:21:05|
1925|6100040|160|39269099|203|06|SELLO|3.38438|1083|1083|60.80|320.000|6|15.15448|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-24 12:58:04|
3178|6000954|160|98020019|231|00|ABRAZADERA DE ACERO|1.06875|1368|1368|76.80|1280.000|6|51.20000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-24 13:42:01|
3471|6400120|160|84672202|25|00|MAQUINA DE ASERRAR|1195.00000|2390|2390|133.35|2.000|6|2.00000|6||1|6||||CHN|CHN| | | | |1|A1|2026-01-05 12:21:05|
3178|6000917|160|87089999|3|99|SOPORTE|16.75000|1340|1340|75.20|80.000|6|80.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-23 13:03:05|
3471|6400219|160|87089999|22|99|SOPORTE DE REFUERZO DEL PILAR A IZQUIERDO|4.27500|171|171|9.60|40.000|6|40.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-20 12:40:05|
3471|6400067|160|70091099|16|02|ESPEJO|67.76471|5760|5760|322.15|85.000|6|1.70000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-09 09:45:04|
1614|6000508|160|98020019|170|00|CARDAN DE USO AUTOMOTRIZ|409.88021|78697|78697|4471.68|192.000|6|877.44000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-28 13:34:05|
3471|6400100|160|98020019|164|00|PERNOS ROSCADOS DE USO AUTOMOTRIZ|1.80000|180|180|10.00|100.000|6|2.00000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-15 09:26:01|
3178|6000954|160|98020019|281|00|SELLO|13.18375|10547|10547|592.00|800.000|6|16.80000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-24 13:42:01|
3178|6000954|160|87082999|35|99|PARTE PARA CARROCERIA|104.22388|6983|6983|391.95|67.000|6|67.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-24 13:42:01|
3178|6000234|160|87082999|65|99|PARTE PARA CARROCERIA|7.87000|787|787|44.00|100.000|6|100.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-15 22:14:01|
1614|6000518|160|87088099|18|00|AMORTIGUADORES|449.83000|44983|44983|2556.00|100.000|6|100.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-28 13:35:05|
3471|6400072|160|87082999|1|99|PARTE PARA CARROCERIA|48.52020|9607|9607|534.60|198.000|6|198.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-09 18:35:07|
1614|6000082|160|98020019|59|00|TORNILLO DE ACERO DE USO AUTOMOTRIZ|0.53417|641|641|36.00|1200.000|6|1.92000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-20 11:18:02|
1614|6000512|160|85371099|43|99|MODULO DE CONTROL INTELIGENTE|759.92000|75992|75992|4318.00|100.000|6|16.90000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-23 19:24:02|
3471|6400120|160|82075007|13|04|BROCAS DE CARBUROS|13.30000|133|133|7.41|10.000|6|10.00000|6||1|6||||CHN|CHN| | | | |1|A1|2026-01-05 12:21:05|
1925|6100040|160|87089999|145|99|TUBO DE CONEXION|11.04375|1767|1767|99.20|160.000|6|160.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-24 12:58:04|
1925|6100032|160|87082999|10|99|PARTE DE LA CARROCERÍA|30.64375|4903|4903|275.20|160.000|6|160.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-24 12:13:01|
3178|6000154|160|98020019|118|00|ETIQUETA AUTOADHESIVA|0.89583|129|129|7.20|144.000|6|4.65800|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-09 12:32:04|
3471|6400239|160|39232991|2|01|BOLSA DE PLASTICO|2.47500|594|594|33.60|240.000|6|4.80000|1||1|6||||CHN|CHN| | | | |1|A1|2026-01-22 09:57:02|
1614|6000076|160|87082999|36|99|PARTE PARA CARROCERIA|425.46667|6382|6382|358.20|15.000|6|15.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-20 11:17:03|
3178|6000154|160|39235001|80|00|TAPON|0.35764|103|103|5.76|288.000|6|46.72830|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-09 12:32:04|
1614|6000514|160|98020019|97|00|ARANDELA DE ACERO|0.17500|84|84|4.80|480.000|6|0.48000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-28 13:34:06|
3178|6000234|160|87082999|21|99|PARTE PARA CARROCERIA|37.73000|3773|3773|211.00|100.000|6|100.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-15 22:14:01|
1925|6100030|160|87082999|43|99|parte de carroceria|122.93333|3688|3688|207.00|30.000|6|30.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-24 12:09:04|
3178|6000954|160|98020019|262|00|ETIQUETA AUTOADHESIVA|0.18125|29|29|1.60|160.000|6|0.80000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-24 13:42:01|
3178|6000234|160|87082999|3|99|PARTE PARA CARROCERIA|20.38500|4077|4077|228.00|200.000|6|200.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-15 22:14:01|
3471|6400249|160|98020019|234|00|TUERCA|0.70469|451|451|25.60|640.000|6|12.80000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-28 14:24:02|
3471|6400072|160|87089999|45|99|CONJUNTO DE VIGA LATERAL DEL TABLERO DERECHO|254.10000|5082|5082|282.80|20.000|6|20.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-09 18:35:07|
1614|6000082|160|98020019|182|00|PERNOS ROSCADOS DE USO AUTOMOTRIZ|1.78333|214|214|12.00|120.000|6|24.00000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-20 11:18:02|
1925|6100028|160|87082999|135|99|PARTE DE CARROCERÍA|3.23529|220|220|12.24|68.000|6|68.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-22 17:03:05|
3471|6400061|160|98020019|168|00|ABRAZADERA DE ACERO|5.00588|1702|1702|95.20|340.000|6|6.80000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-09 16:01:03|
3178|6000847|160|98020019|80|00|PARTE PARA ASIENTO|8.19375|1311|1311|73.60|160.000|6|73.60000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-24 12:17:03|
3178|6000847|160|87082999|64|99|PARTE PARA CARROCERIA|26.01250|4162|4162|233.60|160.000|6|160.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-24 12:17:03|
3471|6400072|160|87088099|26|00|CONJUNTO DE MONTAJE DEL BRAZO OSCILANTE SUPERIOR|212.22500|16978|16978|944.80|80.000|6|80.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-09 18:35:07|
1925|6100028|160|49019991|115|00|MANUAL DE USUARIO|17.61765|1198|1198|66.64|68.000|6|68.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-22 17:03:05|
1614|6000084|160|98020019|28|00|ARNES PARA USO AUTOMOTRIZ|4018.02083|192865|192865|10824.96|48.000|6|0.10000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-20 11:18:03|
3471|6400061|160|87082999|88|99|PARTE PARA CARROCERIA|18.23529|1550|1550|86.70|85.000|6|85.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-09 16:01:03|
3471|6400249|160|98020019|266|00|ETIQUETA AUTOADHESIVA|1.23750|99|99|5.60|80.000|6|1.60000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-28 14:24:02|
3178|6000234|160|87082999|67|99|PARTE PARA CARROCERIA|158.25000|633|633|35.40|4.000|6|4.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-15 22:14:01|
1925|6100038|160|87089999|166|99|TUBERIA PERFORMADA PARA AUTOMOVIL|38.66250|3093|3093|173.60|80.000|6|80.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-24 13:04:01|
3577|6300060|521|84123199|20|00|CILINDRO NEUMATICO|242.50000|485|485|27.04|2.000|6|2.00000|6||1|6||||CHN|CHN| | | | |1|A1|2026-01-23 16:53:01|
3471|6400100|160|98020019|187|00|ARANDELA DE ACERO|0.18000|36|36|2.00|200.000|6|4.00000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-15 09:26:01|
1614|6001100|160|98020019|75|00|DISTRIBUIDOR DE VENTILACION|71.80208|6893|6893|391.68|96.000|6|11.81000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-28 16:48:06|
3178|6000154|160|98020019|151|00|CARDAN DE USO AUTOMOTRIZ|611.41667|88044|88044|4911.84|144.000|6|221.64200|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-09 12:32:04|
3471|6400185|160|73202005|30|01|RESORTE DE ACERO|1.42571|1497|1497|84.00|1050.000|6|21.00000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-20 18:24:04|
1925|6100109|160|84152001|89|00|EQUIPO DE AIRE ACONDICIONADO|1692.70588|28776|28776|1600.38|17.000|6|17.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-22 19:03:01|
3471|6400072|160|87082999|12|99|SOPORTE DE FIJACIÓN DEL PESTILLO DE LA PUERTA DELANTERA IZQUIERDA|9.00000|180|180|10.00|20.000|6|20.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-09 18:35:07|
3178|6000972|160|87082999|15|99|PARTE PARA CARROCERIA|780.00000|14040|14040|788.04|18.000|6|18.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-24 12:02:13|
1925|6100032|160|87088005|29|00|PARTE DE LA SUSPENSION|137.36111|4945|4945|277.56|36.000|6|36.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-24 12:13:01|
3471|6400061|160|98020019|202|00|ETIQUETA AUTOADHESIVA|1.07059|91|91|5.10|85.000|6|1.70000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-09 16:01:03|
3471|6400243|160|73269099|2|99|EMBALAJE METALICO|142.16667|853|853|48.24|6.000|6|390.00000|1||1|6||||CHN|CHN| | | | |1|A1|2026-01-22 15:02:02|
1614|6000085|160|73269099|3|99|EMBALAJE METALICO|219.50000|1317|1317|73.92|6.000|6|154.00000|1||1|6||||CHN|CHN| | | | |1|A1|2026-01-20 11:18:03|
3471|6400014|160|85122099|38|00|LUCES AUTOMOTRIZ|136.06944|9797|9797|547.92|72.000|6|1.44000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-09 18:05:09|
1614|6000508|160|87082999|12|99|PARTE PARA CARROCERIA|69.70000|2091|2091|118.80|30.000|6|30.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-28 13:34:05|
3178|6000233|160|73269099|2|99|EMBALAJE METALICO|849.28571|11890|11890|665.00|14.000|6|267.44900|1||1|6||||CHN|CHN| | | | |1|A1|2026-01-15 20:38:02|
1925|6100038|160|98020019|51|00|ABRAZADERA DE ACERO|4.27500|1368|1368|76.80|320.000|6|98.22180|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-24 13:04:01|
1925|6100030|160|87082999|56|99|PARTE DE LA CARROCERIA|103.87500|5817|5817|326.48|56.000|6|56.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-24 12:09:04|
3471|6400061|160|87082999|64|99|PARTE DE LA CARROCERIA|2.50588|213|213|11.90|85.000|6|85.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-09 16:01:03|
1614|6000510|160|85122099|55|00|FARO|762.73333|34323|34323|1950.30|45.000|6|19.35000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-28 13:34:06|
3471|6400014|160|87089999|178|99|TUBOS PREFORMADOS PARA REFRIGERANTE|50.59722|3643|3643|203.76|72.000|6|72.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-09 18:05:09|
3471|6400213|160|85044099|16|00|RECTIFICADOR DE CORRIENTE|347.60417|16685|16685|936.48|48.000|6|48.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-20 16:17:03|
3471|6400234|160|87089999|97|99|TUBOS PREFORMADOS PARA REFRIGERANTE|15.40000|308|308|17.40|20.000|6|20.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-22 15:22:02|
3471|6400014|160|87089203|147|99|PARTE DEL ESCAPE|25.93056|1867|1867|104.40|72.000|6|72.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-09 18:05:09|
3178|6000953|160|73181599|14|05|TORNILLO DE ACERO DE USO AUTOMOTRIZ|0.17917|43|43|2.40|240.000|6|1.92000|1||1|6||||CHN|CHN| | | | |1|A1|2026-01-24 13:42:01|
3178|6000954|160|98020019|220|00|ARANDELA DE ACERO|0.17813|171|171|9.60|960.000|6|115.20000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-24 13:42:01|
3471|6400061|160|84152001|25|00|EQUIPO DE AIRE ACONDICIONADO|1692.00000|33840|33840|1892.60|20.000|6|20.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-09 16:01:03|
3471|6400234|160|40169999|30|99|SOPORTE DE CAUCHO|1.59167|764|764|43.20|480.000|6|9.60000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-22 15:22:02|
1614|6000084|160|87082201|100|00|PARTES DE LA CARROCERIA PARA VEHICULOS AUTOMOTORES|0.35833|86|86|4.80|240.000|6|240.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-20 11:18:03|
3471|6400014|160|98020019|259|00|BLOQUE DE ACERO|0.18056|26|26|1.44|144.000|6|2.88000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-09 18:05:09|
1614|6000518|160|94019999|28|01|PARTE PARA ASIENTO|32.90833|3949|3949|224.40|120.000|6|26.40000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-28 13:35:05|
3471|6400014|160|87089412|150|91|PARTE DE LA DIRECCION|79.74306|11483|11483|642.24|144.000|6|144.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-09 18:05:09|
1925|6100038|160|87082999|29|99|PARTE PARA CARROCERIA|9.97500|1596|1596|89.60|160.000|6|160.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-24 13:04:01|
1925|6100040|160|98020019|2|00|CINCHO METALICO|0.53438|171|171|9.60|320.000|6|15.15448|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-24 12:58:04|
3471|6400014|160|84879006|34|00|ENGRASADORAS DE COPA STAUFFER|1.07292|927|927|51.84|864.000|6|17.28000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-09 18:05:09|
3471|6400255|160|98020019|115|00|ABRAZADERA DE ACERO|2.28750|1830|1830|104.00|800.000|6|16.00000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-28 14:24:04|
3471|6400072|160|87082999|5|99|CONJUNTO DE MONTAJE DEL CINTURÓN DE SEGURIDAD TRASERO|37.92500|1517|1517|84.40|40.000|6|40.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-09 18:35:07|
1614|6000084|160|87082999|95|99|PARTE PARA CARROCERIA|5.34167|641|641|36.00|120.000|6|120.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-20 11:18:03|
1614|6000512|160|85371006|13|00|MODULO DE CONTROL INTELIGENTE|203.97500|8159|8159|463.60|40.000|6|40.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-23 19:24:02|
3471|6400014|160|98020019|183|00|PERNOS ROSCADOS DE USO AUTOMOTRIZ|5.00694|1442|1442|80.64|288.000|6|5.76000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-09 18:05:09|
1925|6100032|160|94019999|36|01|PARTE PARA ASIENTO|26.19286|3667|3667|205.80|140.000|6|140.00000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-24 12:13:01|
1925|6100032|160|87082999|49|99|PARTE DE LA CARROCERÍA|9.08750|1454|1454|81.60|160.000|6|160.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-24 12:13:01|
3471|6400072|160|87088099|31|00|SOPORTE DE MONTAJE DEL AMORTIGUADOR TRASERO DERECHO|72.42500|2897|2897|161.20|40.000|6|40.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-09 18:35:07|
1925|6000046|160|73269099|2|99|EMBALAJE DE ACERO|218.00000|1308|1308|73.92|6.000|6|50.81025|1||1|6||||CHN|CHN| | | | |1|A1|2026-01-22 14:05:03|
1614|6000082|160|40169901|158|00|ARANDELA DE CAUCHO|0.71250|171|171|9.60|240.000|6|0.96000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-20 11:18:02|
3471|6400014|160|87089203|146|99|PROTECTOR AISLANTE DE CALOR PARA SILENCIADOR|20.91667|1506|1506|84.24|72.000|6|72.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-09 18:05:09|
1614|6000518|160|85364199|4|01|RELEVADOR DE ARRANQUE|59.31667|3559|3559|202.20|60.000|6|7.80000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-28 13:35:05|
3471|6400014|160|40093106|18|02|TUBO DE CAUCHO|17.34722|1249|1249|69.84|72.000|6|1.44000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-09 18:05:09|
3178|6000954|160|98020019|66|00|ENSAMBLE DE HEBILLA SUJETADORA IZQUIERDA|45.96875|7355|7355|412.80|160.000|6|36.00000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-24 13:42:01|
1925|6100034|160|39269099|119|06|SUJETADOR DE PLASTICO AUTOMOTRIZ|0.53750|86|86|4.80|160.000|6|31.03993|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-24 12:24:04|
3471|6400014|160|98020019|231|00|TUERCA|1.60833|579|579|32.40|360.000|6|7.20000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-09 18:05:09|
1614|6000518|160|98020019|76|00|TORNILLO DE ACERO DE USO AUTOMOTRIZ|0.52800|4224|4224|240.00|8000.000|6|56.00000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-28 13:35:05|
3471|6400014|160|98020019|188|00|TORNILLO DE ACERO DE USO AUTOMOTRIZ|0.53628|1892|1892|105.84|3528.000|6|70.56000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-09 18:05:09|
1614|6000082|160|98020019|168|00|TORNILLO DE ACERO DE USO AUTOMOTRIZ|0.35641|556|556|31.20|1560.000|6|9.36000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-20 11:18:02|
1925|6100029|160|73269099|6|99|EMBALAJE METÁLICO|234.50000|469|469|26.06|2.000|6|13.77780|1||1|6||||CHN|CHN| | | | |1|A1|2026-01-22 11:40:02|
3471|6400061|160|98020019|195|00|ETIQUETA AUTOADHESIVA|0.35294|30|30|1.70|85.000|6|1.70000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-09 16:01:03|
1925|6100040|160|98020019|80|00|TORNILLO DE ACERO DE USO AUTOMOTRIZ|0.89167|428|428|24.00|480.000|6|6.10233|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-24 12:58:04|
3577|6300042|521|98020019|102|00|DISTRIBUIDOR DE VENTILACION|34.33333|103|103|5.73|3.000|6|0.47000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-23 16:53:01|
3471|6400015|160|73269099|8|99|MANUFACTURA DE ACERO|0.36538|19|19|1.04|52.000|6|1.04000|1||1|6||||CHN|CHN| | | | |1|A1|2026-01-09 18:05:07|
1925|6100103|160|98020019|204|00|SUJETADOR DE PLASTICO AUTOMOTRIZ|0.54412|37|37|2.04|68.000|6|3.24954|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-22 18:55:02|
1614|6000082|160|98020019|163|00|CINCHO DE PLASTICO PARA USO AUTOMOTRIZ|1.06944|1155|1155|64.80|1080.000|6|4.32000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-20 11:18:02|
3471|6400014|160|98020019|271|00|ETIQUETA AUTOADHESIVA|0.36111|26|26|1.44|72.000|6|1.44000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-09 18:05:09|
1614|6000508|160|87082919|44|00|PUERTA|4355.73333|65336|65336|3712.50|15.000|6|15.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-28 13:34:05|
3471|6400014|160|87082999|67|99|SOPORTE DE CAJA DE ENGRANAJE DELANTERO|42.55556|3064|3064|171.36|72.000|6|72.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-09 18:05:09|
1925|6100036|160|87082999|14|99|PARTE PARA CARROCERIA|163.01667|9781|9781|549.00|60.000|6|60.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-24 12:28:02|
1925|6100033|160|73269099|2|99|EMBALAJE DE ACERO|150.66667|904|904|50.76|6.000|6|35.61409|1||1|6||||CHN|CHN| | | | |1|A1|2026-01-24 12:24:02|
3178|6000154|160|98020019|113|00|ETIQUETA AUTOADHESIVA|0.36111|52|52|2.88|144.000|6|4.65800|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-09 12:32:04|
3471|6400255|160|39263002|4|99|REFLECTOR DE USO AUTOMOTRIZ|200.10417|9605|9605|545.76|48.000|6|0.96000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-28 14:24:04|
3471|6400061|160|87082201|44|00|PARABRISAS|2450.31250|156820|156820|8770.56|64.000|6|64.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-09 16:01:03|
1614|6000078|160|87089999|24|99|SOPORTE|9.26667|1112|1112|62.40|120.000|6|120.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-20 11:17:04|
1925|6100105|160|87082999|57|99|PARTE PARA CARROCERÍA|5.39706|367|367|20.40|68.000|6|68.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-22 18:57:02|
3471|6400069|160|87082201|5|00|PARABRISAS|1369.09756|56133|56133|3139.37|41.000|6|41.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-09 11:58:02|
3178|6000954|160|98020019|267|00|ETIQUETA AUTOADHESIVA|0.89375|143|143|8.00|160.000|6|0.16000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-24 13:42:01|
