Patente|Pedimento|SeccionAduanera|Fraccion|SecuenciaFraccion|SubdivisionFraccion|DescripcionMercancia|PrecioUnitario|ValorAduana|ValorComercial|ValorDolares|CantidadUMComercial|UnidadMedidaComercial|CantidadUMTarifa|UnidadMedidaTarifa|ValorAgregado|ClaveVinculacion|MetodoValorizacion|CodigoMercanciaProducto|MarcaMercanciaProducto|ModeloMercanciaProducto|PaisOrigenDestino|PaisCompradorVendedor|EntidadFedOrigen|EntidadFedDestino|EntidadFedComprador|EntidadFedVendedor|TipoOperacion|ClaveDocumento|FechaPagoReal
1614|6000508|160|98020019|58|00|TORNILLO DE ACERO DE USO AUTOMOTRIZ|0.52708|253|253|14.40|480.000|6|8.16000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-28 13:34:05|
3471|6400249|160|87082999|118|99|PARTE DE LA CARROCERIA PARA VEHICULOS AUTOMOTORES|20.76563|6645|6645|377.60|320.000|6|320.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-28 14:24:02|
1925|6700024|160|39263002|38|99|GUARNICION PARA CARROCERIA DE PLASTICO|48.97917|2351|2351|129.12|48.000|6|79.43000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-13 10:50:03|
3471|6400061|160|39269099|10|06|EMPAQUE|2.68235|456|456|25.50|170.000|6|3.40000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-09 16:01:03|
3178|6000154|160|98020019|117|00|ETIQUETA AUTOADHESIVA|0.89583|129|129|7.20|144.000|6|4.65800|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-09 12:32:04|
1925|6700024|160|40081101|44|00|TIRA AISLANTE DE CAUCHO CELULAR|21.48958|2063|2063|113.28|96.000|6|8.97000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-13 10:50:03|
1614|6000508|160|85371006|94|00|MODULO DE CONTROL INTELIGENTE|203.97500|8159|8159|463.60|40.000|6|40.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-28 13:34:05|
1614|6000518|160|87082999|129|99|BASES PARA BATERIAS|11.96667|1436|1436|81.60|120.000|6|120.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-28 13:35:05|
3471|6400014|160|87082999|92|99|PARTE DE CARROCERIA|11.62500|1674|1674|93.60|144.000|6|144.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-09 18:05:09|
3577|6300120|521|87082999|32|99|PARTE PARA CARROCERIA|23.00000|460|460|25.76|20.000|6|20.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-26 14:38:00|
3471|6400249|160|98020019|242|00|ARANDELA DE ACERO|0.17500|28|28|1.60|160.000|6|3.20000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-28 14:24:02|
3178|6000154|160|87088005|139|00|PARTE DE LA SUSPENSION|518.00000|1554|1554|86.70|3.000|6|3.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-09 12:32:04|
3471|6400061|160|98020019|143|00|TORNILLO DE ACERO DE USO AUTOMOTRIZ|0.53529|91|91|5.10|170.000|6|3.40000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-09 16:01:03|
1614|6000518|160|98020019|100|00|PASADOR|3.52083|845|845|48.00|240.000|6|19.92000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-28 13:35:05|
3577|6300120|521|87082999|44|99|PARTE PARA CARROCERIA|23.00000|460|460|25.76|20.000|6|20.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-26 14:38:00|
3471|6400014|160|87082999|116|99|PARTE DE LA CARROCERIA|783.50000|23505|23505|1314.60|30.000|6|30.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-09 18:05:09|
1614|6001100|160|87088005|46|00|SOPORTE DE BARRA ESTABILIZADORA|3.52000|2464|2464|140.00|700.000|6|700.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-28 16:48:06|
3471|6400275|160|85044099|1|00|RECTIFICADOR DE CORRIENTE|87.11111|9408|9408|534.60|108.000|6|108.00000|6||1|6||||CHN|CHN| | | | |1|A1|2026-01-28 13:23:02|
1925|6700024|160|98020019|84|00|TUERCA|1.27539|653|653|35.84|512.000|6|113.15000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-13 10:50:03|
3178|6000154|160|85364199|65|01|RELEVADOR DE ARRANQUE|60.22500|7227|7227|403.20|120.000|6|6.61230|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-09 12:32:04|
3178|6000154|160|98020019|21|00|PERNOS ROSCADOS DE USO AUTOMOTRIZ|1.07465|619|619|34.56|576.000|6|13.98130|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-09 12:32:04|
3178|6000516|160|87082999|92|99|PARTE PARA CARROCERIA|3.22000|322|322|18.00|100.000|6|100.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-13 21:54:01|
3471|6400249|160|39263002|6|99|REFLECTOR DE USO AUTOMOTRIZ|1.76250|282|282|16.00|160.000|6|3.20000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-28 14:24:02|
3471|6400251|160|98020019|111|00|DUCTO|14.78333|3548|3548|201.60|240.000|6|4.80000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-28 14:24:03|
3471|6400014|160|87082999|114|99|PARTE DE CARROCERIA|28.06944|2021|2021|113.04|72.000|6|72.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-09 18:05:09|
1925|6000113|160|98020019|42|00|CALCOMANIA|0.52917|127|127|7.20|240.000|6|0.24000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-29 11:24:03|
1614|6000518|160|98020019|202|00|ETIQUETA ADHESIVA|0.35000|42|42|2.40|120.000|6|0.00100|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-28 13:35:05|
3471|6400061|160|87088099|105|00|AMORTIGUADORES|457.02000|22851|22851|1278.00|50.000|6|50.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-09 16:01:03|
3471|6400072|160|87088099|27|00|CONJUNTO DE MONTAJE DEL BRAZO OSCILANTE DELANTERO|143.57500|11486|11486|639.20|80.000|6|80.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-09 18:35:07|
3471|6400251|160|87082201|48|00|PARABRISAS|1347.55556|48512|48512|2756.52|36.000|6|36.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-28 14:24:03|
1925|6000111|160|85122099|45|00|FARO|762.73810|64070|64070|3640.56|84.000|6|36.12000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-29 11:24:04|
3471|6400061|160|87082999|76|99|PARTE DE LA CARROCERIA|16.98824|1444|1444|80.75|85.000|6|85.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-09 16:01:03|
3471|6000246|160|39174001|1|00|ACCESORIOS PARA CONEXION DE PLASTICO|9.85500|7884|7884|448.00|800.000|6|16.00000|1||1|6||||CHN|CHN| | | | |1|A1|2026-01-28 12:50:05|
1614|6000508|160|98020019|150|00|PERNOS ROSCADOS DE USO AUTOMOTRIZ|4.75333|1426|1426|81.00|300.000|6|0.45000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-28 13:34:05|
3178|6000518|160|98020019|35|00|TORNILLO DE ACERO DE USO AUTOMOTRIZ|0.18000|36|36|2.00|200.000|6|4.11530|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-13 22:28:02|
3471|6400014|160|87082999|120|99|PARTE DE LA CARROCERIA|8.04861|1159|1159|64.80|144.000|6|144.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-09 18:05:09|
3471|6400014|160|87082201|56|00|PARABRISAS|2437.62500|78004|78004|4362.56|32.000|6|32.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-09 18:05:09|
1925|6700025|160|85444299|101|04|CABLE CON CONEXIONES|32.41000|3241|3241|178.00|100.000|6|4.07000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-13 10:52:07|
3471|6400251|160|98020019|94|00|CUBIERTA PLASTICA DE TERMINALES|1.23750|99|99|5.60|80.000|6|1.60000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-28 14:24:03|
1614|6000518|160|84152001|183|00|EQUIPO DE AIRE ACONDICIONADO|1665.38235|56623|56623|3217.42|34.000|6|34.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-28 13:35:05|
3471|6400069|160|87082201|4|00|PARABRISAS|2450.40000|12252|12252|685.20|5.000|6|5.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-09 11:58:02|
1925|6000109|160|98020019|38|00|EMPAQUE|4.22500|507|507|28.80|120.000|6|0.72000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-29 11:24:04|
3471|6400232|160|84158299|1|00|SISTEMA DE SUMINISTRO DE AIRE|2844088.00000|2844088|2844088|162679.19|1.000|12|1.00000|6||1|6||||CHN|CHN| | | | |1|A1|2026-01-28 15:10:03|
3471|6400068|160|73269099|2|99|EMBALAJE METALICO|1069.00000|1069|1069|59.78|1.000|6|350.00000|1||1|6||||CHN|CHN| | | | |1|A1|2026-01-09 11:57:01|
3471|6400061|160|98020019|209|00|TORNILLO DE ACERO DE USO AUTOMOTRIZ|1.96765|669|669|37.40|340.000|6|6.80000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-09 16:01:03|
3471|6400251|160|98020019|106|00|CALAVERA|294.78750|23583|23583|1340.00|80.000|6|1.60000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-28 14:24:03|
1925|6000113|160|87082999|66|99|PARTE DE LA CARROCERÍA|388.05000|23283|23283|1323.00|60.000|6|60.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-29 11:24:03|
3471|6400014|160|87082999|78|99|PARTE DE LA CARROCERIA|163.60000|9816|9816|549.00|60.000|6|60.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-09 18:05:09|
1614|6000518|160|87083099|23|01|SISTEMA DE FRENADO|2724.13333|81724|81724|4643.70|30.000|6|30.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-28 13:35:05|
3471|6400251|160|90262003|80|00|MEDIDOR DE PRESION DE NEUMATICOS|3.35000|268|268|15.20|80.000|6|80.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-28 14:24:03|
1925|6700025|160|94012001|67|00|ASIENTO DEL PASAJERO|294.58333|3535|3535|194.16|12.000|6|12.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-13 10:52:07|
3471|6400061|160|87082999|74|99|PARTE DE LA CARROCERIA|426.98592|30316|30316|1695.48|71.000|6|71.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-09 16:01:03|
3471|6400061|160|98020019|177|00|PARTE DEL EJE|1208.34694|118418|118418|6622.84|98.000|6|1.96000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-09 16:01:03|
3178|6000518|160|87089412|190|91|PARTE DE LA DIRECCION|629.00000|10693|10693|598.06|17.000|6|17.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-13 22:28:02|
1614|6000508|160|87088005|138|00|PARTE DE LA SUSPENSION|91.00000|2730|2730|155.10|30.000|6|30.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-28 13:34:05|
1614|6000510|160|98020019|75|00|PERNOS ROSCADOS DE USO AUTOMOTRIZ|2.46389|887|887|50.40|360.000|6|81.72000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-28 13:34:06|
3471|6400061|160|87082999|82|99|PARTE DE LA CARROCERIA|150.56000|7528|7528|421.00|50.000|6|50.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-09 16:01:03|
1925|6000111|160|98020019|167|00|TORNILLO DE ACERO DE USO AUTOMOTRIZ|1.23125|591|591|33.60|480.000|6|1.09000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-29 11:24:04|
3471|6400251|160|40169999|24|99|SOPORTE DE CAUCHO|1.58438|507|507|28.80|320.000|6|6.40000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-28 14:24:03|
3471|6400061|160|98020019|201|00|ETIQUETA AUTOADHESIVA|7.50588|638|638|35.70|85.000|6|1.70000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-09 16:01:03|
3471|6400061|160|98020019|199|00|ETIQUETA AUTOADHESIVA|0.35294|30|30|1.70|85.000|6|1.70000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-09 16:01:03|
1614|6000508|160|85365099|112|08|INTERRUPTOR AUTOMOTRIZ|32.90833|3949|3949|224.40|120.000|6|1.20000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-28 13:34:05|
1925|6000119|160|98020019|132|00|SUJETADOR AUTOMOTRIZ|1.23125|591|591|33.60|480.000|6|2.88000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-29 11:46:00|
3471|6400014|160|87083099|133|01|COMPONENTE DE FRENOS|5.54167|399|399|22.32|72.000|6|72.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-09 18:05:09|
1614|6000518|160|98020019|68|00|PERNOS ROSCADOS DE USO AUTOMOTRIZ|4.92750|1971|1971|112.00|400.000|6|0.80000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-28 13:35:05|
1614|6000518|160|87082999|128|99|PARTE PARA CARROCERIA|12.67500|1521|1521|86.40|120.000|6|120.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-28 13:35:05|
3178|6000518|160|98020019|175|00|TUERCA|1.25250|501|501|28.00|400.000|6|32.60160|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-13 22:28:02|
3471|6400067|160|87088005|41|00|PARTE DE LA SUSPENSION|358.66667|4304|4304|240.72|12.000|6|12.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-09 09:45:04|
3471|6400014|160|98020019|200|00|PERNOS ROSCADOS DE USO AUTOMOTRIZ|0.89236|257|257|14.40|288.000|6|5.76000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-09 18:05:09|
3178|6000520|160|87082999|45|99|PARTES DE LA CARROCERIA PARA VEHICULOS AUTOMOTORES|36.65000|3665|3665|205.00|100.000|6|100.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-13 22:28:01|
3471|6400249|160|40169999|29|07|ELEMENTO DE CAUCHO|35.72500|2858|2858|162.40|80.000|6|1.60000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-28 14:24:02|
3471|6000246|160|73269099|8|99|SOPORTE DE METAL|148.36000|59344|59344|3372.00|400.000|6|8.00000|1||1|6||||CHN|CHN| | | | |1|A1|2026-01-28 12:50:05|
3471|6400067|160|87089199|47|00|RADIADOR|1379.64706|117270|117270|6558.60|85.000|6|85.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-09 09:45:04|
1925|6000109|160|85365099|74|08|INTERRUPTOR AUTOMOTRIZ|365.52500|14621|14621|830.80|40.000|6|10.48000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-29 11:24:04|
3471|6400251|160|90328999|81|00|CONTROLADOR|563.70000|45096|45096|2562.40|80.000|6|80.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-28 14:24:03|
3471|6400061|160|39174001|2|00|ACCESORIO PARA TUBERIA|33.25882|2827|2827|158.10|85.000|6|1.70000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-09 16:01:03|
3471|6400061|160|85364199|33|01|RELEVADOR DE ARRANQUE|60.25882|5122|5122|286.45|85.000|6|1.70000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-09 16:01:03|
1614|6000516|160|98020019|78|00|DIFERENCIAL|1715.72321|192161|192161|10918.88|112.000|6|996.80000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-28 13:35:03|
1925|6000111|160|87082919|43|00|PUERTA|4355.80000|21779|21779|1237.50|5.000|6|5.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-29 11:24:04|
3471|6400061|160|39235001|7|00|TAPON|0.35882|122|122|6.80|340.000|6|6.80000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-09 16:01:03|
