Patente|Pedimento|SeccionAduanera|RfcTransportista|CurpTransportista|NombreTransportista|PaisTransporte|IdentificadorTransporte|FechaPagoReal
3178|6000230|160|||EVERGREEN LINE|GBR|EVERLIBERAL|2026-01-16 08:31:01|
3178|6000233|160|||EVERGREEN LINE|GBR|EVERLIBERAL|2026-01-15 20:38:02|
1925|6000047|160|||EVER FEAT|LBR|EVERFEAT|2026-01-22 14:05:04|
3178|6000943|160|||EVERGREEN LINE|TWN|EVERLUNAR|2026-01-23 16:25:03|
1925|6000110|160|||EVER FASHION|LBR|EVERFASHION|2026-01-29 11:24:01|
3178|6000237|160|||EVERGREEN LINE|GBR|EVERLIBERAL|2026-01-16 20:15:01|
1614|6000090|160|||EVER LUNAR|TWN|0762-078E|2026-01-19 17:38:06|
3178|6000520|160|||EVERGREEN LINE|GBR|EVERLIBERAL|2026-01-13 22:28:01|
1925|6000046|160|||EVER FEAT|LBR|EVERFEAT|2026-01-22 14:05:03|
1925|6100030|160|||EVER LUNAR|TWN|EVERLUNAR|2026-01-24 12:09:04|
1925|6100040|160|||EVER LUNAR|TWN|EVERLUNAR|2026-01-24 12:58:04|
1925|6100037|160|||EVER LUNAR|TWN|EVERLUNAR|2026-01-24 12:30:02|
3178|6000909|160|||EVERGREEN LINE|TWN|EVERLUNAR|2026-01-23 18:25:01|
1614|6000085|160|||EVER LUNAR|TWN|0762-078E|2026-01-20 11:18:03|
3471|6400194|160|||EVERGREEN LINE|LBR|EVERFASHION|2026-01-28 23:25:02|
3471|6400251|160|||EVERGREEN LINE|LBR|EVERFASHION|2026-01-28 14:24:03|
3471|6400082|160|||EVERGREEN LINE|GBR|EVERLIBERAL|2026-01-08 15:45:03|
1925|6000109|160|||EVER FASHION|LBR|EVERFASHION|2026-01-29 11:24:04|
3178|6000910|160|||EVERGREEN LINE|TWN|EVERLUNAR|2026-01-23 18:25:03|
3471|6400007|160|||EVERGREEN LINE|GBR|EVERLIBERAL|2026-01-08 14:48:02|
3178|6000153|160|||EVERGREEN LINE|GBR|EVERLAMBENT|2026-01-08 16:05:03|
1925|6000027|160|||EVER LUNAR|TWN|EVERLUNAR|2026-01-22 14:00:03|
3471|6400121|160|||ZIM MEXICO INTEGRATED SHIPPING SERVICES S.DE.R.L. DE C.V|SGP|ZIMMOUNTBLANC|2026-01-05 12:21:00|
3471|6400050|160|||WAN HAI LINES LTD|SGP|WANHAIA09|2026-01-07 17:58:03|
3043|6000064|523|||KANSAS CITY SOUTHERN DE MEXICO|MEX|SNLU992954|2026-01-07 16:40:01|
