Patente|Pedimento|SeccionAduanera|ConsecutivoRemesa|NumeroSeleccion|FechaInicioReconocimiento|HoraInicioReconocimiento|FechaFinReconocimiento|HoraFinReconocimiento|Fraccion|SecuenciaFraccion|ClaveDocumento|TipoOperacion|GradoIncidencia|FechaSeleccion
1925|6100040|160|0|1|2026-01-27|13:06|2026-01-27|15:27|00000000|0|IN|1|C|2026-01-27|
3178|6000237|160|0|1|2026-01-19|12:24|2026-01-19|16:05|00000000|0|IN|1|C|2026-01-19|
3471|6400234|160|0|1|2026-01-28|13:51|2026-01-28|18:08|00000000|0|IN|1|C|2026-01-28|
1614|5005547|160|0|1|2026-01-02|15:04|2026-01-02|16:54|00000000|0|A1|1|C|2026-01-02|
3471|6400050|160|0|1|2026-01-09|11:41|2026-01-09|14:17|00000000|0|IN|1|C|2026-01-09|
3471|5601216|160|0|1|2026-01-03|14:16|2026-01-03|17:01|00000000|0|A1|1|C|2026-01-03|
1925|6100033|160|0|1|2026-01-27|11:14|2026-01-27|15:25|00000000|0|A1|1|C|2026-01-27|
3043|6000076|523|0|1|2026-01-09|12:01|2026-01-09|12:52|00000000|0|A1|1|C|2026-01-09|
3471|5601176|160|2|1|2026-01-03|09:08|2026-01-03|12:10|00000000|0|A1|1|C|2026-01-03|
3178|6000238|160|0|1|2026-01-19|12:24|2026-01-19|16:09|00000000|0|A1|1|C|2026-01-19|
3471|6400121|160|0|1|2026-01-07|19:05|2026-01-07|20:55|00000000|0|A1|1|C|2026-01-07|
1925|6000031|160|0|1|2026-01-24|16:27|2026-01-24|19:22|00000000|0|IN|1|C|2026-01-24|
3178|6000872|160|0|1|2026-01-23|13:33|2026-01-23|18:24|00000000|0|A1|1|C|2026-01-23|
1925|6000041|160|0|1|2026-01-27|16:44|2026-01-27|21:20|00000000|0|IN|1|C|2026-01-27|
1614|5005257|160|0|1|2026-01-02|07:25|2026-01-02|12:08|00000000|0|A1|1|C|2026-01-02|
3178|6000871|160|0|1|2026-01-23|13:33|2026-01-23|18:24|00000000|0|IN|1|C|2026-01-23|
3471|5600551|160|4|1|2026-01-03|09:08|2026-01-03|12:09|00000000|0|A1|1|C|2026-01-03|
1925|6000042|160|0|1|2026-01-27|16:44|2026-01-27|21:24|00000000|0|A1|1|C|2026-01-27|
3471|6400219|160|0|1|2026-01-22|07:58|2026-01-22|12:14|00000000|0|IN|1|C|2026-01-22|
3471|6400022|160|0|1|2026-01-06|09:25|2026-01-06|13:50|00000000|0|A1|1|C|2026-01-06|
3471|6400220|160|0|1|2026-01-22|07:58|2026-01-22|12:15|00000000|0|A1|1|C|2026-01-22|
1647|6004627|240|80|1|2026-01-24|12:54|2026-01-24|14:16|00000000|0|RT|2|C|2026-01-24|
3471|5601308|160|0|1|2026-01-05|16:27|2026-01-05|20:15|00000000|0|A1|1|C|2026-01-05|
1925|5001559|160|0|1|2026-01-03|13:07|2026-01-03|17:59|00000000|0|IN|1|C|2026-01-03|
3471|6400216|160|0|1|2026-01-21|12:25|2026-01-21|14:56|00000000|0|A1|1|C|2026-01-21|
3471|6400003|160|0|1|2026-01-10|10:30|2026-01-10|15:16|00000000|0|A1|1|C|2026-01-10|
3471|6400214|160|0|1|2026-01-22|15:05|2026-01-22|19:51|00000000|0|A1|1|C|2026-01-22|
3471|6400235|160|0|1|2026-01-28|13:51|2026-01-28|18:09|00000000|0|A1|1|C|2026-01-28|
3043|6600118|520|6|1|2026-01-14|12:33|2026-01-14|13:24|00000000|0|A1|2|C|2026-01-14|
3178|6000147|160|0|1|2026-01-09|15:33|2026-01-09|19:35|00000000|0|A1|1|C|2026-01-09|
3471|6400019|160|0|1|2026-01-06|15:55|2026-01-06|19:18|00000000|0|IN|1|C|2026-01-06|
1925|5001560|160|0|1|2026-01-03|13:07|2026-01-03|18:01|00000000|0|A1|1|C|2026-01-03|
1925|6100032|160|0|1|2026-01-27|11:14|2026-01-27|15:25|00000000|0|IN|1|C|2026-01-27|
3471|6400122|160|5|1|2026-01-07|19:05|2026-01-07|21:02|00000000|0|A1|1|C|2026-01-07|
3471|6400020|160|0|1|2026-01-06|15:55|2026-01-06|19:18|00000000|0|A1|1|C|2026-01-06|
3471|5601307|160|0|1|2026-01-05|16:27|2026-01-05|20:15|00000000|0|IN|1|C|2026-01-05|
1925|6100041|160|0|1|2026-01-27|13:06|2026-01-27|15:29|00000000|0|A1|1|C|2026-01-27|
1614|5005243|160|0|1|2026-01-02|15:04|2026-01-02|16:54|00000000|0|IN|1|C|2026-01-02|
1647|6004513|240|9|1|2026-01-06|15:18|2026-01-06|16:20|00000000|0|RT|2|C|2026-01-06|
3471|5601229|160|0|1|2026-01-03|14:16|2026-01-03|17:02|00000000|0|IN|1|C|2026-01-03|
1925|6000032|160|0|1|2026-01-24|16:27|2026-01-24|19:22|00000000|0|A1|1|C|2026-01-24|
3471|6400021|160|0|1|2026-01-06|09:25|2026-01-06|13:45|00000000|0|IN|1|C|2026-01-06|
3471|6400077|160|0|1|2026-01-14|12:25|2026-01-14|16:35|00000000|0|IN|1|C|2026-01-14|
1614|5005366|160|0|1|2026-01-02|07:25|2026-01-02|12:10|00000000|0|IN|1|C|2026-01-02|
3897|6600731|240|0|1|2026-01-29|18:24|2026-01-29|22:00|00000000|0|T3|1|C|2026-01-29|
3043|6600119|520|6|1|2026-01-14|12:33|2026-01-14|13:24|00000000|0|RT|2|C|2026-01-14|
1647|6004513|240|21|1|2026-01-07|11:39|2026-01-07|14:14|00000000|0|RT|2|C|2026-01-07|
1614|5005258|160|0|1|2026-01-02|07:40|2026-01-02|12:13|00000000|0|A1|1|C|2026-01-02|
1647|6004513|240|102|1|2026-01-11|11:00|2026-01-11|13:24|00000000|0|RT|2|C|2026-01-11|
3471|6400002|160|0|1|2026-01-10|10:30|2026-01-10|15:15|00000000|0|IN|1|C|2026-01-10|
3471|6400154|160|0|1|2026-01-14|07:08|2026-01-14|11:57|00000000|0|IN|1|C|2026-01-14|
1647|6004513|240|73|1|2026-01-10|10:02|2026-01-10|11:31|00000000|0|RT|2|C|2026-01-10|
1614|5005371|160|0|1|2026-01-02|07:40|2026-01-02|12:14|00000000|0|IN|1|C|2026-01-02|
3471|5601177|160|2|1|2026-01-03|09:08|2026-01-03|12:10|00000000|0|A1|1|C|2026-01-03|
3471|6500051|160|0|1|2026-01-09|11:41|2026-01-09|14:19|00000000|0|A1|1|C|2026-01-09|
1647|6004627|240|2|1|2026-01-19|15:27|2026-01-19|17:06|00000000|0|RT|2|C|2026-01-19|
3471|6400078|160|0|1|2026-01-14|12:25|2026-01-14|16:35|00000000|0|A1|1|C|2026-01-14|
3471|6400213|160|0|1|2026-01-22|15:05|2026-01-22|19:51|00000000|0|IN|1|C|2026-01-22|
3471|6400215|160|0|1|2026-01-21|12:25|2026-01-21|14:54|00000000|0|IN|1|C|2026-01-21|
1647|6004627|240|39|1|2026-01-21|14:02|2026-01-21|17:12|00000000|0|RT|2|C|2026-01-21|
3178|6000146|160|0|1|2026-01-09|15:33|2026-01-09|19:33|00000000|0|IN|1|C|2026-01-09|
