Patente|Pedimento|SeccionAduanera|ClaveCaso|IdentificadorCaso|TipoPedimento|ComplementoCaso|FechaValidacionPagoR
3043|6600188|520|ED|01702618LBC77|1||2026-01-31 13:50:02|
3471|6400249|160|ED|0436260NEVWQ5|1||2026-01-28 14:24:02|
1647|6004560|240|ED|0428260GVA6L8|1||2026-01-23 16:17:10|
1647|6004627|240|ED|0428260GX40P1|1||2026-01-30 19:58:02|
1925|6100026|160|ED|0428250E9O9N6|1||2026-01-22 11:33:02|
1647|6004627|240|ED|0428260GWKGC2|1||2026-01-30 19:58:02|
3471|6400162|160|ED|01922616WKMO1|1||2026-01-28 14:30:03|
3043|6600188|520|ED|01702618K9QL3|1||2026-01-31 13:50:02|
3471|6400103|160|ED|0438261CA3R44|1||2026-01-14 11:40:04|
3178|6000871|160|IM|482023|1||2026-01-22 14:02:03|
1925|6000115|160|ED|0436250MVK814|1||2026-01-29 11:23:04|
3178|6000520|160|IM|482023|1||2026-01-13 22:28:01|
1647|6004627|240|ED|0428260GW9LY5|1||2026-01-30 19:58:02|
1614|6000073|160|ED|0438251C2QTT1|1||2026-01-08 09:59:00|
1925|6000109|160|ED|0436260NC43I3|1||2026-01-29 11:24:04|
1614|6000515|160|CR|40|1||2026-01-28 13:35:02|
3043|6600189|520|ST|22|1||2026-01-31 13:51:01|
3043|6600189|520|PC||1||2026-01-31 13:51:01|
3577|6300022|521|ED|01922616GCKM7|1||2026-01-06 11:18:00|
1925|6000109|160|ED|0436250MVK748|1||2026-01-29 11:24:04|
3178|6000536|160|ED|01702618F9OQ3|1||2026-01-15 16:40:07|
1647|6004627|240|ED|0428260GW4QR1|1||2026-01-30 19:58:02|
3471|6400081|160|ED|01702518325K8|1||2026-01-08 15:44:02|
3471|6400292|160|IM|482023|1||2026-01-30 20:27:01|
1647|6004627|240|ED|0428260GW2JZ5|1||2026-01-30 19:58:02|
3471|6400220|160|CR|40|1||2026-01-20 12:40:04|
1925|6000111|160|ED|0436250MVK8Z5|1||2026-01-29 11:24:04|
1925|6000047|160|ED|01922616ROGE5|1||2026-01-22 14:05:04|
1647|6004627|240|ED|0428260GWKQR3|1||2026-01-30 19:58:02|
3471|6400215|160|ED|0436260ND50K5|1||2026-01-20 12:39:02|
1925|6000109|160|ED|0438261CN2RJ7|1||2026-01-29 11:24:04|
3577|6300022|521|ED|0170261868N66|1||2026-01-06 11:18:00|
3043|6600189|520|AT||1||2026-01-31 13:51:01|
3471|6400249|160|ED|0436260NEVIJ2|1||2026-01-28 14:24:02|
3577|6300109|521|ED|0438261CJ24G5|1||2026-01-27 11:03:01|
1925|6000111|160|PP|20239540|1||2026-01-29 11:24:04|
1925|6100026|160|ED|0436250N783I6|1||2026-01-22 11:33:02|
1647|6004627|240|ED|0428260GW80O6|1||2026-01-30 19:58:02|
1925|6000047|160|ED|01702618JPLU3|1||2026-01-22 14:05:04|
1925|6000118|160|ED|01922616XDBR7|1||2026-01-29 11:23:02|
3471|6400120|160|ED|017026185AAN1|1||2026-01-05 12:21:05|
3577|6300038|521|ED|0438261C5JEY1|1||2026-01-07 11:44:02|
3471|6400292|160|ED|01702618PNXR5|1||2026-01-30 20:27:01|
3471|6400048|160|ED|0436260N9CR91|1||2026-01-07 14:59:03|
1647|6004627|240|ED|0428260GXCJH2|1||2026-01-30 19:58:02|
3178|6000515|160|ED|0436260NBNDK5|1||2026-01-13 21:53:00|
1925|6000109|160|PP|20239540|1||2026-01-29 11:24:04|
1647|6004560|240|ED|0428260GUVKS8|1||2026-01-23 16:17:10|
3471|6400201|160|ED|01702618MH5Z5|1||2026-01-28 23:25:01|
1925|6000116|160|ED|0438261CN2RJ7|1||2026-01-29 11:23:02|
3471|6400148|160|ED|0436250N88KC6|1||2026-01-02 17:08:05|
1925|6000111|160|ED|0436250MX2DT5|1||2026-01-29 11:24:04|
3178|6000536|160|SO|AA|1||2026-01-15 16:40:07|
3471|6400325|160|CR|40|1||2026-01-30 10:05:05|
3471|6400210|160|ED|0438261CDYVK4|1||2026-01-17 11:17:03|
1647|6004627|240|ED|0428260GXBLE3|1||2026-01-30 19:58:02|
3577|6300038|521|CR|158|1||2026-01-07 11:44:02|
3471|6400201|160|CR|40|1||2026-01-28 23:25:01|
1647|6004627|240|ED|0428260GW0JW1|1||2026-01-30 19:58:02|
3471|6400025|160|CR|40|1||2026-01-02 17:50:08|
3577|6300138|521|ED|0438261CMD868|1||2026-01-28 14:48:01|
3178|6000237|160|ED|0436260ND44H8|1||2026-01-16 20:15:01|
1925|6000109|160|ED|0436250MZ8X26|1||2026-01-29 11:24:04|
3471|6400239|160|ED|01702618DEGF5|1||2026-01-22 09:57:02|
3043|6600188|520|ED|01702618LBCB4|1||2026-01-31 13:50:02|
3471|6400249|160|IM|482023|1||2026-01-28 14:24:02|
3471|6400238|160|CR|241|1||2026-01-22 09:57:03|
1925|6000111|160|ED|0436250MVK7A7|1||2026-01-29 11:24:04|
