Patente|Pedimento|SeccionAduanera|Fraccion|SecuenciaFraccion|ClaveCaso|IdentificadorCaso|ComplementoCaso|FechaPagoReal
1925|6100040|160|39269099|238|XP|S1|U|2026-01-24 12:58:04|
3178|6000954|160|98020019|190|EC|1||2026-01-24 13:42:01|
3471|6400241|160|73269099|7|XP|T9|U|2026-01-26 09:17:02|
3178|6000954|160|87082999|16|PS|XIX||2026-01-24 13:42:01|
3471|6400096|160|87082999|5|PS|XIX||2026-01-15 09:00:04|
1614|6000086|160|98020019|14|EC|1||2026-01-20 11:18:04|
3471|6400176|160|39269099|4|XP|S1|U|2026-01-16 10:44:01|
3471|6400240|160|98020019|178|EC|1||2026-01-26 09:17:02|
3471|6400240|160|98020019|126|EC|1||2026-01-26 09:17:02|
3471|6400100|160|98020019|167|EC|1||2026-01-15 09:26:01|
3471|6400219|160|87089999|18|EN|X|NOM-050-SCFI-2004|2026-01-20 12:40:05|
3471|6400183|160|73269099|2|XP|T1|U|2026-01-16 11:23:05|
3178|6000954|160|98020019|299|EC|1||2026-01-24 13:42:01|
3471|6400240|160|87082201|47|PS|XIX||2026-01-26 09:17:02|
3471|6400241|160|73269099|5|XP|T3|U|2026-01-26 09:17:02|
1925|6100036|160|87082999|93|PS|XIX||2026-01-24 12:28:02|
1925|6100040|160|87089999|208|EN|X|NOM-050-SCFI-2004|2026-01-24 12:58:04|
3471|6400240|160|98020019|177|EC|1||2026-01-26 09:17:02|
3577|6300120|521|87082999|33|PS|XIX||2026-01-26 14:38:00|
3178|6000847|160|87082999|156|PS|XIX||2026-01-24 12:17:03|
3471|6400176|160|39269099|5|EN|U|NOM-002-CONAGUA-2021|2026-01-16 10:44:01|
1614|6000084|160|87082999|102|PS|XIX||2026-01-20 11:18:03|
3178|6000539|160|90328999|51|PS|XIX||2026-01-16 17:25:05|
3471|6400240|160|82060001|26|PS|XIX||2026-01-26 09:17:02|
3471|6400240|160|98020019|134|EC|1||2026-01-26 09:17:02|
3471|6400176|160|98020019|119|EC|1||2026-01-16 10:44:01|
1614|6000082|160|98020019|241|EC|1||2026-01-20 11:18:02|
3471|6400094|160|39269099|8|XP|S1|U|2026-01-15 08:44:02|
3178|6000954|160|98020019|162|EC|1||2026-01-24 13:42:01|
1925|6100036|160|87082999|71|PS|XIX||2026-01-24 12:28:02|
3178|6000954|160|98020019|283|EC|1||2026-01-24 13:42:01|
3178|6000847|160|85044099|45|PS|XIX||2026-01-24 12:17:03|
3178|6000954|160|98020019|251|EC|1||2026-01-24 13:42:01|
3471|6400241|160|73269099|6|XP|T9|U|2026-01-26 09:17:02|
3471|6400240|160|85044099|34|PS|XIX||2026-01-26 09:17:02|
3471|6400240|160|98020019|170|EC|1||2026-01-26 09:17:02|
3471|6400178|160|70091099|19|EN|X|NOM-050-SCFI-2004|2026-01-16 10:11:03|
3178|6000535|160|87089999|31|EN|X|NOM-050-SCFI-2004|2026-01-19 13:00:04|
3471|6400176|160|39269099|9|XP|S3|U|2026-01-16 10:44:01|
3471|6400240|160|84152001|30|EN|X|NOM-050-SCFI-2004|2026-01-26 09:17:02|
1925|6100034|160|85365099|82|EN|X|NOM-024-SCFI-2013|2026-01-24 12:24:04|
3471|6400183|160|73269099|4|XP|T9|U|2026-01-16 11:23:05|
1614|6000082|160|73181599|52|EN|X|NOM-050-SCFI-2004|2026-01-20 11:18:02|
3471|6400100|160|87082999|70|PS|XIX||2026-01-15 09:26:01|
3471|6400247|160|98020019|66|EC|1||2026-01-26 11:44:04|
